"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.bread","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.shaja","pkg.wht.unshe","pkg.wht.millw","pkg.wht.millm","pkg.wht.milla","pkg.wht.maltw","pkg.wht.pbula","pkg.wht.allwh"
"862","SNNP","Jinka","January",2018,36.56441614,5.78310286,6.93,10.59,NA,10.03,NA,32.98,NA,NA,NA,19.11,NA,10.59
"863","SNNP","Dimeka","January",2018,36.45041198,4.892522922,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864","SNNP","Masha","January",2018,35.47956686,7.741652627,4.83,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA
"865","SNNP","Tepi","January",2018,35.36770327,7.320015599,5.9,12,NA,NA,NA,28.98,14,NA,35,NA,NA,12
"866","SNNP","Boniga","January",2018,36.24008346,7.388535704,6.68,15,14,14,NA,35,NA,NA,NA,24.78,NA,15
"867","SNNP","Chana","January",2018,36.11775846,6.226550231,4.52,15,14,NA,NA,40,NA,NA,40,NA,NA,15
"868","SNNP","Arbam- minch ","January",2018,37.5527474,6.024547891,6.09,15,NA,14,NA,30,NA,NA,NA,20.48,NA,15
"869","SNNP","Sawla","January",2018,36.87437474,6.300226567,NA,13.13,NA,12.69,NA,30,NA,NA,NA,NA,NA,13.13
"870","SNNP","Welayita","July",2017,NA,NA,4.71,11,NA,9.49,NA,25,NA,NA,60,20.83,NA,11
"871","SNNP","Bodite","July",2017,37.89064905,7.038034865,5.6,11.49,NA,NA,NA,25.5,NA,NA,40,14.13,NA,11.49
"872","SNNP","Jinka","July",2017,36.56441614,5.78310286,6.54,8.9,NA,8.42,NA,32,NA,NA,NA,19.41,NA,8.9
"873","SNNP","Dimeka","July",2017,36.45041198,4.892522922,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874","SNNP","Masha","July",2017,35.47956686,7.741652627,5,13,NA,12,NA,32,NA,13,NA,NA,NA,13
"875","SNNP","Tepi","July",2017,35.36770327,7.320015599,7,11.49,NA,10,NA,26.98,13,NA,NA,NA,NA,11.49
"876","SNNP","Boniga","July",2017,36.24008346,7.388535704,6.53,12,10,11,NA,32.5,NA,NA,NA,21.24,NA,12
"877","SNNP","Chana","July",2017,36.11775846,6.226550231,4.52,13,12,12,NA,NA,NA,NA,NA,NA,NA,13
"878","SNNP","Arbam- minch ","July",2017,37.5527474,6.024547891,3.5,14,NA,12,NA,30,NA,NA,NA,20,NA,14
"879","SNNP","Sawla","July",2017,36.87437474,6.300226567,3.34,9.52,NA,9.59,NA,NA,NA,NA,NA,NA,NA,9.52
"880","SNNP","Welayita","June",2018,NA,NA,4.91,16,NA,14.97,NA,32,NA,NA,60,34.79,20,16
"881","SNNP","Bodite","June",2018,37.89064905,7.038034865,8.33,14,NA,NA,NA,35.5,NA,NA,49.96,14.75,30,14
