"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat"
"11","ADDIS","addis ababa","March","2018","38.793806","9.023748","4.59","14.49",NA,"20.98",NA,"35","12.96",NA,"49.495","30.185","50"
"12","ADDIS","addis ababa","May","2018","38.793806","9.023748","5.065","16.245",NA,"19.745",NA,"32.4",NA,NA,"51.96","36.33",NA
"13","ADDIS","addis ababa","November","2017","38.793806","9.023748","4.55","13.96",NA,"15.49",NA,"36.945","14",NA,"50","26.04",NA
"14","ADDIS","addis ababa","October","2017","38.793806","9.023748","4.51","13.245",NA,"15",NA,"35","14",NA,"45","29.54",NA
"15","ADDIS","addis ababa","September","2017","38.793806","9.023748","4.565","13.725",NA,"14.985",NA,"34.495","14",NA,"45.25","30.45","50"
"16","AMHARA","Chuahit","April","2018","39.311961","10.643157","5.25","-","-","-","-","-","-","-","-","17.72","-"
"17","AMHARA","Gondar","April","2018","37.46149667","12.59878688","5.53","14.00","-","13.00","-","33.99","-","-","45.00","22.00","-"
"18","AMHARA","Esete","April","2018","37.88657423","10.92298692","5.21","11.10","-","-","-","36.00","-","-","40.00","13.50","-"
"19","AMHARA","Debre- Tabor ","April","2018","38.00833967","11.84769551","4.62","16.18","-","9.54","-","34.50","-","-","39.95","-","-"
"20","AMHARA","Kobo","April","2018","39.63127424","12.16406542","5.91","12.27","-","13.89","-","-","-","-","-","-","-"
"21","AMHARA","Weldiya","April","2018","39.6014117","11.82360232","5.25","12.06","-","15.49","-","40.00","-","-","-","24.40","-"
"22","AMHARA","Kombolcha","April","2018","39.73724188","11.07807805","4.75","11.38","-","-","16.17","38.00","-","-","-","-","-"
"23","AMHARA","Dessie","April","2018","39.63548793","11.11703902","4.38","11.00","-","10.00","11.50","40.00","-","-","-","34.05","-"
"24","AMHARA","Shewa- Robit ","April","2018","39.90269733","10.00580856","5.91","13.44","-","15.63","-","-","-","-","-","-","-"
"25","AMHARA","Debre-¦","April","2018","39.52890047","9.67650294","-","12.00","-","-","-","40.00","-","-","32.00","32.05","-"
"26","AMHARA","Chuahit","August","2017","39.311961","10.643157","4.42","-","-","-","-","-","-","-","-","-","-"
"27","AMHARA","Gondar","August","2017","37.46149667","12.59878688","4.38","12.00","-","11.00","-","35.00","-","-","38.00","16.00","-"
"28","AMHARA","Esete","August","2017","37.88657423","10.92298692","4.76","10.93","-","10.42","-","36.00","-","-","40.00","15.12","-"
"29","AMHARA","Debre- Tabor ","August","2017","38.00833967","11.84769551","4.57","11.98","-","13.19","-","34.00","-","-","38.00","18.06","-"
"30","AMHARA","Kobo","August","2017","39.63127424","12.16406542","4.13","11.04","-","-","-","-","-","-","-","-","-"
"31","AMHARA","Weldiya","August","2017","39.6014117","11.82360232","4.38","11.11","-","11.91","-","46.00","-","-","-","24.40","-"
"32","AMHARA","Kombolcha","August","2017","39.73724188","11.07807805","4.36","9.00","-","11.36","20.03","40.00","-","-","-","-","-"
"33","AMHARA","Dessie","August","2017","39.63548793","11.11703902","4.55","8.50","-","8.00","13.00","32.50","-","-","-","20.41","-"
"34","AMHARA","Shewa- Robit ","August","2017","39.90269733","10.00580856","4.87","11.93","-","-","-","-","-","-","-","-","-"
"35","AMHARA","Debre-¦","August","2017","39.52890047","9.67650294","5.54","10.50","9.49","-","-","37.42","-","-","28.00","35.59","-"
"36","AMHARA","Chuahit","December","2017","39.311961","10.643157","4.38","-","-","-","-","-","-","-","-","-","-"
"37","AMHARA","Gondar","December","2017","37.46149667","12.59878688","5.16","12.00","-","12.49","-","36.47","-","-","45.00","22.00","-"
"38","AMHARA","Esete","December","2017","37.88657423","10.92298692","5.25","9.51","-","9.82","-","36.00","-","-","40.00","-","-"
"39","AMHARA","Debre- Tabor ","December","2017","38.00833967","11.84769551","4.80","13.43","-","11.18","-","34.50","-","-","38.99","-","-"
"40","AMHARA","Kobo","December","2017","39.63127424","12.16406542","5.34","12.02","11.09","16.02","-","-","-","-","-","-","-"
"41","AMHARA","Weldiya","December","2017","39.6014117","11.82360232","-","11.58","-","12.55","-","41.47","15.00","-","-","24.40","-"
"42","AMHARA","Kombolcha","December","2017","39.73724188","11.07807805","4.75","10.00","-","-","13.69","35.00","-","-","-","-","-"
"43","AMHARA","Dessie","December","2017","39.63548793","11.11703902","4.55","10.00","-","8.50","12.00","31.50","-","-","-","19.25","-"
"44","AMHARA","Shewa- Robit ","December","2017","39.90269733","10.00580856","5.27","13.06","-","-","-","-","-","-","-","-","-"
"45","AMHARA","Debre-¦","December","2017","39.52890047","9.67650294","6.45","11.50","11.00","-","-","35.00","-","-","32.00","14.30","-"
"46","AMHARA","Chuahit","February","2018","39.311961","10.643157","5.25","-","-","-","-","-","-","-","-","-","-"
"47","AMHARA","Gondar","February","2018","37.46149667","12.59878688","5.53","12.00","-","13.00","-","35.50","-","-","40.00","22.00","-"
"48","AMHARA","Esete","February","2018","37.88657423","10.92298692","4.29","10.35","-","10.31","-","36.00","-","-","40.00","-","-"
"49","AMHARA","Debre- Tabor ","February","2018","38.00833967","11.84769551","4.44","13.39","-","10.38","-","34.50","-","-","38.99","-","-"
"50","AMHARA","Kobo","February","2018","39.63127424","12.16406542","5.53","11.95","-","13.01","-","-","-","-","-","-","-"
"51","AMHARA","Weldiya","February","2018","39.6014117","11.82360232","5.25","11.19","-","15.49","-","45.00","-","-","-","24.40","-"
"52","AMHARA","Kombolcha","February","2018","39.73724188","11.07807805","4.75","9.50","-","-","15.13","35.50","-","-","-","50.25","-"
"53","AMHARA","Dessie","February","2018","39.63548793","11.11703902","4.55","10.00","-","-","11.25","31.50","-","-","-","19.25","-"
"54","AMHARA","Shewa- Robit ","February","2018","39.90269733","10.00580856","5.87","12.95","-","-","-","-","-","-","-","-","-"
"55","AMHARA","Debre-¦","February","2018","39.52890047","9.67650294","6.44","11.25","-","-","-","37.42","-","-","30.98","31.75","-"
"56","AMHARA","Chuahit","January","2018","39.311961","10.643157","4.42","-","-","-","-","-","-","-","-","-","-"
"57","AMHARA","Gondar","January","2018","37.46149667","12.59878688","5.16","12.00","-","-","-","40.00","-","-","45.00","22.00","-"
"58","AMHARA","Esete","January","2018","37.88657423","10.92298692","4.31","8.19","-","8.10","-","36.00","-","-","40.00","12.54","-"
"59","AMHARA","Debre- Tabor ","January","2018","38.00833967","11.84769551","4.42","12.98","-","8.59","-","33.94","-","-","38.99","-","-"
"60","AMHARA","Kobo","January","2018","39.63127424","12.16406542","4.94","12.67","-","16.00","-","-","-","-","-","-","-"
"61","AMHARA","Weldiya","January","2018","39.6014117","11.82360232","4.80","10.42","-","11.83","-","41.47","-","-","-","24.40","-"
"62","AMHARA","Kombolcha","January","2018","39.73724188","11.07807805","4.75","10.00","-","12.28","13.69","35.00","-","-","-","48.67","-"
"63","AMHARA","Dessie","January","2018","39.63548793","11.11703902","-","10.25","-","8.75","11.62","31.50","-","-","-","20.41","-"
"64","AMHARA","Shewa- Robit ","January","2018","39.90269733","10.00580856","5.65","13.82","-","-","-","-","-","-","-","-","-"
"65","AMHARA","Debre-¦","January","2018","39.52890047","9.67650294","6.45","10.25","-","-","-","-","-","-","32.00","-","-"
"66","AMHARA","Chuahit","July","2017","39.311961","10.643157","4.42","-","-","-","-","-","-","-","-","-","-"
"67","AMHARA","Gondar","July","2017","37.46149667","12.59878688","4.38","12.00","-","10.49","-","32.40","-","-","37.42","16.00","-"
"68","AMHARA","Esete","July","2017","37.88657423","10.92298692","4.27","11.09","-","10.13","-","36.00","-","-","40.00","14.92","-"
"69","AMHARA","Debre- Tabor ","July","2017","38.00833967","11.84769551","4.66","11.99","-","10.89","-","32.98","-","-","38.99","9.65","-"
"70","AMHARA","Kobo","July","2017","39.63127424","12.16406542","4.12","10.21","-","12.39","-","-","-","-","-","-","-"
"71","AMHARA","Weldiya","July","2017","39.6014117","11.82360232","4.38","9.58","-","11.30","-","45.50","-","-","-","24.40","-"
"72","AMHARA","Kombolcha","July","2017","39.73724188","11.07807805","4.60","9.00","-","-","19.97","40.00","-","-","-","61.92","-"
"73","AMHARA","Dessie","July","2017","39.63548793","11.11703902","4.55","7.25","-","6.75","12.75","31.50","-","-","-","20.41","-"
"74","AMHARA","Shewa- Robit ","July","2017","39.90269733","10.00580856","4.87","11.94","-","-","-","-","-","-","-","-","-"
"75","AMHARA","Debre-¦","July","2017","39.52890047","9.67650294","4.94","9.50","8.80","-","-","30.98","-","-","28.00","35.59","-"
"76","AMHARA","Chuahit","June","2018","39.311961","10.643157","-","-","-","-","-","-","-","-","-","-","-"
"77","AMHARA","Gondar","June","2018","37.46149667","12.59878688","6.56","14.00","-","-","-","34.50","-","-","45.00","19.49","-"
"78","AMHARA","Esete","June","2018","37.88657423","10.92298692","4.39","12.53","-","11.89","-","36.00","-","-","40.00","15.68","-"
"79","AMHARA","Debre- Tabor ","June","2018","38.00833967","11.84769551","4.44","16.89","-","12.07","-","34.50","-","-","38.99","-","-"
"80","AMHARA","Kobo","June","2018","39.63127424","12.16406542","5.90","-","-","16.01","-","-","-","-","-","-","-"
"81","AMHARA","Weldiya","June","2018","39.6014117","11.82360232","7.00","13.08","-","16.26","-","40.00","-","-","-","24.40","-"
"82","AMHARA","Kombolcha","June","2018","39.73724188","11.07807805","6.03","13.77","-","11.95","17.06","35.00","-","-","-","-","-"
"83","AMHARA","Dessie","June","2018","39.63548793","11.11703902","-","14.09","-","12.42","13.12","38.99","-","-","-","32.63","-"
"84","AMHARA","Shewa- Robit ","June","2018","39.90269733","10.00580856","6.14","16.49","-","-","-","-","-","-","-","-","-"
"85","AMHARA","Debre-¦","June","2018","39.52890047","9.67650294","-","14.50","13.75","-","-","37.42","-","-","32.00","-","-"
"86","AMHARA","Chuahit","March","2018","39.311961","10.643157","5.30","-","-","-","-","-","-","-","-","-","-"
"87","AMHARA","Gondar","March","2018","37.46149667","12.59878688","4.80","14.00","-","13.00","-","35.00","-","-","40.00","22.00","-"
"88","AMHARA","Esete","March","2018","37.88657423","10.92298692","4.84","11.36","-","-","-","36.00","-","-","40.00","17.14","-"
"89","AMHARA","Debre- Tabor ","March","2018","38.00833967","11.84769551","4.44","14.72","-","-","-","36.88","-","-","39.95","-","-"
"90","AMHARA","Kobo","March","2018","39.63127424","12.16406542","5.61","12.02","-","12.86","-","-","-","-","-","-","-"
"91","AMHARA","Weldiya","March","2018","39.6014117","11.82360232","4.38","11.19","-","16.36","-","41.47","-","-","-","24.40","-"
"92","AMHARA","Kombolcha","March","2018","39.73724188","11.07807805","4.75","11.00","-","11.56","14.26","36.47","-","-","-","47.75","-"
"93","AMHARA","Dessie","March","2018","39.63548793","11.11703902","4.55","10.50","-","-","-","31.50","-","-","-","24.49","-"
"94","AMHARA","Shewa- Robit ","March","2018","39.90269733","10.00580856","5.93","12.93","-","-","-","-","-","-","-","-","-"
"95","AMHARA","Debre-¦","March","2018","39.52890047","9.67650294","6.52","12.00","-","-","-","35.00","-","-","30.98","33.79","-"
"96","AMHARA","Chuahit","May","2018","39.311961","10.643157","-","-","-","-","-","-","-","-","-","-","-"
"97","AMHARA","Gondar","May","2018","37.46149667","12.59878688","7.01","14.00","-","-","-","36.47","-","-","45.00","21.00","-"
"98","AMHARA","Esete","May","2018","37.88657423","10.92298692","4.66","12.28","-","9.96","-","36.00","-","-","40.00","-","-"
"99","AMHARA","Debre- Tabor ","May","2018","38.00833967","11.84769551","7.17","16.22","-","9.85","-","34.50","-","-","38.99","19.69","-"
"100","AMHARA","Kobo","May","2018","39.63127424","12.16406542","6.56","13.79","-","16.15","-","-","-","-","-","-","-"
"101","AMHARA","Weldiya","May","2018","39.6014117","11.82360232","6.06","11.19","-","15.52","-","40.00","-","-","-","24.40","-"
"102","AMHARA","Kombolcha","May","2018","39.73724188","11.07807805","5.97","13.79","-","11.95","17.19","38.00","-","-","-","-","-"
"103","AMHARA","Dessie","May","2018","39.63548793","11.11703902","-","14.17","-","12.42","13.39","38.99","-","-","-","32.78","-"
"104","AMHARA","Shewa- Robit ","May","2018","39.90269733","10.00580856","5.85","13.93","-","-","-","-","-","-","-","-","-"
"105","AMHARA","Debre-¦","May","2018","39.52890047","9.67650294","6.44","14.00","12.99","-","-","37.42","-","-","32.00","32.15","-"
"106","AMHARA","Chuahit","November","2017","39.311961","10.643157","4.42","-","-","-","-","-","-","-","-","-","-"
"107","AMHARA","Gondar","November","2017","37.46149667","12.59878688","4.61","14.00","-","13.00","-","36.47","-","-","42.43","18.00","-"
"108","AMHARA","Esete","November","2017","37.88657423","10.92298692","4.58","10.46","-","10.90","-","36.00","-","-","40.00","13.26","-"
"109","AMHARA","Debre- Tabor ","November","2017","38.00833967","11.84769551","4.62","14.94","-","12.82","-","34.00","-","-","38.99","-","-"
"110","AMHARA","Kobo","November","2017","39.63127424","12.16406542","5.61","12.12","-","-","-","-","-","-","-","-","-"
"111","AMHARA","Weldiya","November","2017","39.6014117","11.82360232","5.25","11.92","-","-","-","41.47","-","-","-","24.40","-"
"112","AMHARA","Kombolcha","November","2017","39.73724188","11.07807805","4.75","11.00","-","11.61","14.48","35.00","-","-","-","49.50","-"
"113","AMHARA","Dessie","November","2017","39.63548793","11.11703902","4.55","10.50","-","9.00","12.25","32.00","-","-","-","19.61","-"
"114","AMHARA","Shewa- Robit ","November","2017","39.90269733","10.00580856","5.09","12.62","-","-","-","-","-","-","-","-","-"
"115","AMHARA","Debre-¦","November","2017","39.52890047","9.67650294","5.09","10.75","10.00","-","-","35.00","-","-","32.00","35.87","-"
"116","AMHARA","Chuahit","October","2017","39.311961","10.643157","4.38","-","-","-","-","-","-","-","-","-","-"
"117","AMHARA","Gondar","October","2017","37.46149667","12.59878688","4.61","14.00","-","12.00","-","38.99","-","-","45.00","17.00","-"
"118","AMHARA","Esete","October","2017","37.88657423","10.92298692","3.79","10.29","-","11.06","-","36.00","-","-","40.00","15.28","-"
"119","AMHARA","Debre- Tabor ","October","2017","38.00833967","11.84769551","4.78","12.99","-","11.95","-","34.00","-","-","38.99","30.12","-"
"120","AMHARA","Kobo","October","2017","39.63127424","12.16406542","4.13","11.90","-","13.68","-","-","-","-","-","-","-"
"121","AMHARA","Weldiya","October","2017","39.6014117","11.82360232","5.25","11.15","-","12.33","-","46.00","-","-","-","24.40","-"
"122","AMHARA","Kombolcha","October","2017","39.73724188","11.07807805","4.75","10.50","-","11.61","13.42","38.99","-","-","-","49.50","-"
"123","AMHARA","Dessie","October","2017","39.63548793","11.11703902","4.55","10.00","-","9.00","12.00","31.50","-","-","-","19.61","-"
"124","AMHARA","Shewa- Robit ","October","2017","39.90269733","10.00580856","4.96","12.38","-","13.00","-","-","-","-","-","-","-"
"125","AMHARA","Debre-¦","October","2017","39.52890047","9.67650294","5.50","11.75","11.00","-","-","35.00","-","-","32.00","37.53","-"
"126","AMHARA","Chuahit","September","2017","39.311961","10.643157","4.42","-","-","-","-","-","-","-","-","-","-"
"127","AMHARA","Gondar","September","2017","37.46149667","12.59878688","4.38","14.00","-","12.00","-","33.99","-","-","38.00","16.00","-"
"128","AMHARA","Esete","September","2017","37.88657423","10.92298692","3.98","10.38","-","11.07","-","36.00","-","-","40.00","15.19","-"
"129","AMHARA","Debre- Tabor ","September","2017","38.00833967","11.84769551","4.72","11.74","-","10.56","-","34.00","-","-","38.99","12.43","-"
"130","AMHARA","Kobo","September","2017","39.63127424","12.16406542","4.13","12.49","-","12.25","-","-","-","-","-","-","-"
"131","AMHARA","Weldiya","September","2017","39.6014117","11.82360232","4.38","11.87","-","11.91","-","46.00","-","-","-","24.40","-"
"132","AMHARA","Kombolcha","September","2017","39.73724188","11.07807805","4.75","10.50","-","-","20.28","40.00","-","-","-","48.43","-"
"133","AMHARA","Dessie","September","2017","39.63548793","11.11703902","4.55","8.25","-","-","12.50","32.00","-","-","-","20.00","-"
"134","AMHARA","Shewa- Robit ","September","2017","39.90269733","10.00580856","-","10.94","-","12.63","-","-","-","-","-","-","-"
"135","AMHARA","Debre-¦","September","2017","39.52890047","9.67650294","5.18","10.50","9.75","-","-","30.98","-","-","28.00","32.16","-"
"136","AMHARa","Mota","April","2018","37.8807432","11.07475582","-","12.49","-","-","-","30.00","-","-","36.00","-","-"
"137","AMHARa","Debre- markos ","April","2018","37.72636868","10.33641293","5.19","11.59","-","14.49","20.00","27.50","-","-","42.43","26.95","-"
"138","AMHARa","Dembecha","April","2018","37.48251554","10.56669266","4.38","12.01","-","-","-","26.00","-","-","40.00","-","-"
"139","AMHARa","Bahir- Dar ","April","2018","37.3815488","11.58416449","3.97","17.49","-","-","-","35.00","-","-","40.00","25.00","-"
"140","AMHARa","Sekota","April","2018","39.03355257","12.62479803","4.38","10.85","-","-","-","42.43","-","-","45.00","-","-"
"141","AMHARa","Amde Work ","April","2018","38.85815043","12.45920199","4.67","14.09","-","-","-","-","-","-","-","-","-"
"142","AMHARa","Danigla","April","2018","36.83153176","11.25223153","5.25","17.14","-","-","14.95","35.00","-","-","50.00","28.03","-"
"143","AMHARa","Chagni","April","2018","36.50793596","10.95196565","-","13.00","-","-","-","30.00","-","-","40.00","16.67","-"
"144","AMHARa","Kemise","April","2018","39.85696873","10.71374234","4.68","11.20","12.05","12.70","-","38.99","-","-","-","-","-"
"145","AMHARa","Bati","April","2018","40.0181327","11.19153266","5.85","-","-","-","-","-","-","-","-","-","-"
"146","AMHARa","Mota","August","2017","37.8807432","11.07475582","3.89","9.50","-","-","-","30.00","-","-","35.00","-","-"
"147","AMHARa","Debre- markos ","August","2017","37.72636868","10.33641293","4.47","10.21","-","11.95","17.63","27.50","-","-","40.00","16.67","-"
"148","AMHARa","Dembecha","August","2017","37.48251554","10.56669266","4.38","10.52","-","-","21.06","28.00","-","-","40.00","-","-"
"149","AMHARa","Bahir- Dar ","August","2017","37.3815488","11.58416449","3.97","13.96","-","14.49","-","36.50","-","-","40.00","25.00","-"
"150","AMHARa","Sekota","August","2017","39.03355257","12.62479803","3.50","8.50","-","-","-","42.43","-","-","-","-","-"
"151","AMHARa","Amde Work ","August","2017","38.85815043","12.45920199","4.67","10.48","-","-","-","30.00","-","-","80.00","-","-"
"152","AMHARa","Danigla","August","2017","36.83153176","11.25223153","5.25","14.50","-","-","17.75","35.00","-","-","42.43","23.57","-"
"153","AMHARa","Chagni","August","2017","36.50793596","10.95196565","5.47","12.00","-","-","14.00","28.50","-","-","35.00","17.41","-"
"154","AMHARa","Kemise","August","2017","39.85696873","10.71374234","4.13","12.31","-","13.16","-","37.42","-","-","-","27.98","-"
"155","AMHARa","Bati","August","2017","40.0181327","11.19153266","5.00","-","-","-","-","-","-","-","30.00","-","-"
"156","AMHARa","Mota","December","2017","37.8807432","11.07475582","-","8.00","-","-","-","30.00","-","-","36.00","-","-"
"157","AMHARa","Debre- markos ","December","2017","37.72636868","10.33641293","4.83","11.90","-","-","17.02","27.50","-","-","37.95","18.83","-"
"158","AMHARa","Dembecha","December","2017","37.48251554","10.56669266","4.38","10.61","-","-","20.83","28.00","-","-","40.00","-","-"
"159","AMHARa","Bahir- Dar ","December","2017","37.3815488","11.58416449","3.97","15.00","-","-","-","38.99","-","-","40.00","25.00","-"
"160","AMHARa","Sekota","December","2017","39.03355257","12.62479803","4.38","9.30","-","-","-","40.00","-","-","40.00","-","-"
"161","AMHARa","Amde Work ","December","2017","38.85815043","12.45920199","4.67","9.47","-","-","-","-","-","-","-","-","-"
"162","AMHARa","Danigla","December","2017","36.83153176","11.25223153","5.25","14.50","-","-","17.41","35.00","-","-","42.43","23.57","-"
"163","AMHARa","Chagni","December","2017","36.50793596","10.95196565","5.25","12.00","-","-","15.00","28.00","-","-","40.00","17.41","-"
"164","AMHARa","Kemise","December","2017","39.85696873","10.71374234","4.38","-","17.15","13.76","-","38.99","-","-","-","27.98","-"
"165","AMHARa","Bati","December","2017","40.0181327","11.19153266","5.85","-","-","-","-","-","-","-","-","44.74","-"
"166","AMHARa","Mota","February","2018","37.8807432","11.07475582","7.00","10.50","-","-","-","30.00","-","-","35.50","-","-"
"167","AMHARa","Debre- markos ","February","2018","37.72636868","10.33641293","5.19","10.18","-","18.18","22.05","30.00","-","-","45.00","20.36","-"
"168","AMHARa","Dembecha","February","2018","37.48251554","10.56669266","4.38","12.14","-","-","21.51","26.50","-","-","40.00","-","-"
"169","AMHARa","Bahir- Dar ","February","2018","37.3815488","11.58416449","3.97","15.00","-","20.00","-","38.99","-","-","40.00","25.00","-"
"170","AMHARa","Sekota","February","2018","39.03355257","12.62479803","4.38","10.54","-","-","-","40.00","-","-","40.00","-","-"
"171","AMHARa","Amde Work ","February","2018","38.85815043","12.45920199","4.67","10.02","-","-","-","35.00","-","-","-","-","-"
"172","AMHARa","Danigla","February","2018","36.83153176","11.25223153","5.25","14.50","-","-","14.68","35.00","-","-","45.00","21.08","-"
"173","AMHARa","Chagni","February","2018","36.50793596","10.95196565","5.83","13.00","-","-","-","28.00","-","-","40.00","18.18","-"
"174","AMHARa","Kemise","February","2018","39.85696873","10.71374234","4.87","14.91","15.13","11.52","-","40.00","-","-","-","29.35","-"
"175","AMHARa","Bati","February","2018","40.0181327","11.19153266","5.60","-","-","-","-","-","-","-","35.00","42.86","-"
"176","AMHARa","Mota","January","2018","37.8807432","11.07475582","7.00","8.00","-","-","-","30.00","-","-","36.00","-","-"
"177","AMHARa","Debre- markos ","January","2018","37.72636868","10.33641293","4.80","9.45","-","-","-","-","-","-","37.42","20.05","-"
"178","AMHARa","Dembecha","January","2018","37.48251554","10.56669266","4.38","10.28","-","-","21.05","26.50","-","-","40.00","-","-"
"179","AMHARa","Bahir- Dar ","January","2018","37.3815488","11.58416449","3.97","13.96","-","-","-","37.42","-","-","40.00","27.39","-"
"180","AMHARa","Sekota","January","2018","39.03355257","12.62479803","4.38","10.07","-","-","-","40.00","-","-","40.00","-","-"
"181","AMHARa","Amde Work ","January","2018","38.85815043","12.45920199","4.83","10.45","-","-","-","35.00","-","-","-","-","-"
"182","AMHARa","Danigla","January","2018","36.83153176","11.25223153","5.25","14.09","-","-","17.41","35.00","-","-","45.00","23.57","-"
"183","AMHARa","Chagni","January","2018","36.50793596","10.95196565","6.18","11.00","-","-","-","28.00","-","-","40.00","18.18","-"
"184","AMHARa","Kemise","January","2018","39.85696873","10.71374234","4.68","-","13.38","14.04","-","38.00","-","-","-","29.28","-"
"185","AMHARa","Bati","January","2018","40.0181327","11.19153266","6.09","-","-","-","-","-","-","-","35.00","-","-"
"186","AMHARa","Mota","July","2017","37.8807432","11.07475582","4.25","9.50","-","-","-","40.00","-","-","-","-","-"
"187","AMHARa","Debre- markos ","July","2017","37.72636868","10.33641293","4.63","9.35","-","9.41","16.33","28.00","-","-","40.00","16.67","-"
"188","AMHARa","Dembecha","July","2017","37.48251554","10.56669266","4.61","9.75","-","-","19.35","28.00","-","-","40.00","-","-"
"189","AMHARa","Bahir- Dar ","July","2017","37.3815488","11.58416449","3.97","14.00","-","14.49","-","33.47","-","-","43.99","25.00","-"
"190","AMHARa","Sekota","July","2017","39.03355257","12.62479803","4.38","8.06","-","-","-","40.00","-","-","-","-","-"
"191","AMHARa","Amde Work ","July","2017","38.85815043","12.45920199","3.50","9.83","-","-","-","30.00","-","-","-","-","-"
"192","AMHARa","Danigla","July","2017","36.83153176","11.25223153","5.25","11.94","-","-","17.41","35.00","-","-","42.43","23.57","-"
"193","AMHARa","Chagni","July","2017","36.50793596","10.95196565","4.43","11.49","-","-","14.00","30.00","-","-","35.00","17.41","-"
"194","AMHARa","Kemise","July","2017","39.85696873","10.71374234","4.13","12.41","12.68","-","-","38.99","-","-","-","26.49","-"
"195","AMHARa","Bati","July","2017","40.0181327","11.19153266","5.28","-","-","-","-","-","-","-","-","-","-"
"196","AMHARa","Mota","June","2018","37.8807432","11.07475582","7.00","13.00","-","-","-","-","-","-","35.00","-","-"
"197","AMHARa","Debre- markos ","June","2018","37.72636868","10.33641293","7.00","14.49","-","17.96","19.15","27.50","-","-","52.44","29.19","-"
"198","AMHARa","Dembecha","June","2018","37.48251554","10.56669266","5.05","13.72","-","-","-","28.98","-","-","44.72","-","-"
"199","AMHARa","Bahir- Dar ","June","2018","37.3815488","11.58416449","5.83","17.49","-","-","-","33.99","-","-","40.00","27.39","-"
"200","AMHARa","Sekota","June","2018","39.03355257","12.62479803","4.38","15.82","-","-","-","42.43","-","-","45.00","-","-"
"201","AMHARa","Amde Work ","June","2018","38.85815043","12.45920199","7.00","16.35","-","-","-","40.00","-","-","-","-","-"
