"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"2","Addis","Addis Ababa","April",2017,38.793806,9.023748,13.49,11.49,12.875,13.745,35,NA,NA,25.595,13.49
"4","Addis","Addis Ababa","April",2017,38.793806,9.023748,13.49,11.49,12.875,13.745,35,NA,NA,25.595,13.49
"5","Addis","Addis Ababa","August",2016,38.793806,9.023748,13.165,10,12,12.66,NA,NA,NA,30.245,13.165
"6","Addis","Addis Ababa","December",2016,38.793806,9.023748,13.47,10.49,12,12.66,25,NA,NA,30.485,13.47
"7","Addis","Addis Ababa","February",2017,38.793806,9.023748,12.66,11,12.16,13,NA,NA,NA,29.99,12.66
"8","Addis","Addis Ababa","January",2017,38.793806,9.023748,13.165,11,12.16,12.66,20,NA,NA,30.15,13.165
"9","Addis","Addis Ababa","July",2016,38.793806,9.023748,13.32,10,12.16,12.83,NA,NA,NA,29.795,13.32
"10","Addis","Addis Ababa","June",2017,38.793806,9.023748,14,13.25,13.745,14.62,37.5,NA,NA,29.21,14
"11","Addis","Addis Ababa","March",2017,38.793806,9.023748,13.33,10.5,12,13,25,NA,NA,24.78,13.33
"12","Addis","Addis Ababa","May",2017,38.793806,9.023748,14,13.25,13.745,14.62,37.5,NA,NA,29.21,14
"13","Addis","Addis Ababa","November",2016,38.793806,9.023748,13.495,10,12,12.83,20,NA,NA,32.67,13.495
"14","Addis","Addis Ababa","October",2016,38.793806,9.023748,12.985,10.5,12.16,13,NA,NA,NA,30.53,12.985
"15","Addis","Addis Ababa","September",2016,38.793806,9.023748,13.245,10.66,12.49,13.33,22.5,NA,NA,31.165,13.245
"16","Amhara","Chuahit","April",2017,39.311961,10.643157,NA,9.37,NA,NA,NA,NA,NA,15.15,9.37
"17","Amhara","Gondar","April",2017,37.46149667,12.59878688,11.75,NA,NA,NA,20,NA,NA,NA,11.75
"18","Amhara","Esete","April",2017,37.88657423,10.92298692,10.96,10.83,10.63,14.33,17.69,NA,NA,11.34,10.96
"19","Amhara","Debre- Tabor ","April",2017,38.00833967,11.84769551,NA,9.16,11.91,12.45,15.68,NA,NA,21.97,9.16
"20","Amhara","Kobo","April",2017,39.63127424,12.16406542,12.18,9.58,NA,NA,NA,NA,NA,13.07,12.18
"21","Amhara","Weldiya","April",2017,39.6014117,11.82360232,13.2,9.42,10.58,NA,19.05,NA,NA,20.52,13.2
"22","Amhara","Kombolcha","April",2017,39.73724188,11.07807805,12.18,9.32,9.22,NA,31.39,NA,NA,57.17,12.18
"23","Amhara","Dessie","April",2017,39.63548793,11.11703902,6.24,NA,6,NA,NA,NA,NA,17.91,6.24
"24","Amhara","Shewa- Robit ","April",2017,39.90269733,10.00580856,11,NA,11.27,11.47,34.6,NA,NA,10.88,11
"25","Amhara","Debre-¦","April",2017,39.52890047,9.67650294,8.75,8.5,NA,10.49,NA,NA,NA,33.33,8.75
"26","Amhara","Chuahit","August",2016,39.311961,10.643157,NA,7,NA,NA,NA,NA,NA,14.93,7
"27","Amhara","Gondar","August",2016,37.46149667,12.59878688,11.83,NA,NA,NA,16.83,NA,NA,14,11.83
"28","Amhara","Esete","August",2016,37.88657423,10.92298692,7.8,7.73,6.77,9.66,16.33,NA,NA,11.25,7.8
"29","Amhara","Debre- Tabor ","August",2016,38.00833967,11.84769551,NA,8.46,9.56,NA,17.24,NA,NA,11.5,8.46
"30","Amhara","Kobo","August",2016,39.63127424,12.16406542,10.36,NA,NA,NA,NA,NA,NA,19.48,10.36
"31","Amhara","Weldiya","August",2016,39.6014117,11.82360232,13.32,10.15,9.06,NA,11.88,NA,NA,16.67,13.32
"32","Amhara","Kombolcha","August",2016,39.73724188,11.07807805,12.17,9.31,9.31,NA,34.49,NA,NA,NA,12.17
"33","Amhara","Dessie","August",2016,39.63548793,11.11703902,8.78,7.86,NA,NA,22.36,NA,NA,13.16,8.78
"34","Amhara","Shewa- Robit ","August",2016,39.90269733,10.00580856,10.16,NA,10.39,12.24,34.56,NA,NA,12.94,10.16
"35","Amhara","Debre-¦","August",2016,39.52890047,9.67650294,7.5,5.66,NA,10,NA,NA,NA,15.43,7.5
"36","Amhara","Chuahit","December",2016,39.311961,10.643157,NA,5,NA,NA,NA,NA,NA,12.11,5
"37","Amhara","Gondar","December",2016,37.46149667,12.59878688,11.33,NA,NA,NA,16,NA,NA,NA,11.33
"38","Amhara","Esete","December",2016,37.88657423,10.92298692,8.24,8.54,6.78,9.58,14.91,NA,NA,10000,8.24
"39","Amhara","Debre- Tabor ","December",2016,38.00833967,11.84769551,NA,11,8.79,14.26,16.32,NA,NA,11.73,11
"40","Amhara","Kobo","December",2016,39.63127424,12.16406542,9.53,9.34,NA,NA,NA,NA,NA,NA,9.53
"41","Amhara","Weldiya","December",2016,39.6014117,11.82360232,12.62,9.55,8.63,NA,NA,NA,NA,16.64,12.62
"42","Amhara","Kombolcha","December",2016,39.73724188,11.07807805,12.12,9.44,8.66,NA,34.5,NA,NA,NA,12.12
"43","Amhara","Dessie","December",2016,39.63548793,11.11703902,8.38,NA,6.77,NA,NA,NA,NA,14.83,8.38
"44","Amhara","Shewa- Robit ","December",2016,39.90269733,10.00580856,9.79,NA,9.11,11.86,NA,NA,NA,12.86,9.79
"45","Amhara","Debre-¦","December",2016,39.52890047,9.67650294,7.83,5.65,NA,10,NA,NA,NA,15.54,7.83
"46","Amhara","Chuahit","February",2017,39.311961,10.643157,NA,6,NA,NA,NA,NA,NA,14.96,6
"47","Amhara","Gondar","February",2017,37.46149667,12.59878688,11.33,NA,NA,NA,17.33,NA,NA,NA,11.33
