"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.hullb","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"2","Addis","Addis Ababa","April",2014,38.793806,9.023748,10.66,10,10.08,10.5,23.5,NA,NA,23.53,10.66
"4","Addis","Addis Ababa","April",2014,38.793806,9.023748,10.66,10,10.08,10.5,23.5,NA,NA,23.53,10.66
"5","Addis","Addis Ababa","August",2013,38.793806,9.023748,10,8.33,8.915,10.24,18.5,NA,NA,20.12,10
"6","Addis","Addis Ababa","December",2013,38.793806,9.023748,10.49,9.415,10,11,NA,NA,NA,20.76,10.49
"7","Addis","Addis Ababa","February",2014,38.793806,9.023748,10,9,10,10.32,25,NA,NA,23.79,10
"8","Addis","Addis Ababa","January",2014,38.793806,9.023748,10.32,9.415,10,10.49,18.945,NA,NA,23.16,10.32
"9","Addis","Addis Ababa","July",2013,38.793806,9.023748,9.905,8.33,8.915,10,18.97,NA,NA,18.4,9.905
"10","Addis","Addis Ababa","June",2014,38.793806,9.023748,11.24,10,10.49,11.66,NA,NA,NA,22.75,11.24
"11","Addis","Addis Ababa","May",2014,38.793806,9.023748,10.49,9.83,10,11,16,NA,NA,22.95,10.49
"12","Addis","Addis Ababa","November",2013,38.793806,9.023748,10.66,9.32,10,11,20,NA,NA,20.26,10.66
"13","Addis","Addis Ababa","October",2013,38.793806,9.023748,10.08,8.915,9.57,10,18.97,NA,NA,19.77,10.08
"14","Addis","Addis Ababa","September",2013,38.793806,9.023748,10,8.75,9,10,19.31,NA,NA,19.275,10
"15","Amhara","Chuahit","April",2014,39.311961,10.643157,NA,8.5,NA,NA,NA,NA,NA,13.61,8.5
"16","Amhara","Gondar","April",2014,37.46149667,12.59878688,9.66,NA,NA,NA,15,NA,NA,NA,9.66
"17","Amhara","Esete","April",2014,37.88657423,10.92298692,7.8,7.84,7.21,8.93,12.2,NA,NA,10.88,7.8
"18","Amhara","Debre- Tabor ","April",2014,38.00833967,11.84769551,NA,7.86,8.02,10.74,11.27,NA,NA,20.8,8.02
"19","Amhara","Kobo","April",2014,39.63127424,12.16406542,8.39,7.94,NA,NA,NA,NA,NA,21.79,8.39
"20","Amhara","Weldiya","April",2014,39.6014117,11.82360232,11.67,8.75,8.42,NA,19.22,NA,NA,15.65,11.67
"21","Amhara","Kombolcha","April",2014,39.73724188,11.07807805,8.82,8.02,8.45,NA,22.59,NA,NA,34.3,8.82
"22","Amhara","Dessie","April",2014,39.63548793,11.11703902,9.31,8.57,NA,NA,NA,26,NA,17.44,9.31
"23","Amhara","Shewa- Robit ","April",2014,39.90269733,10.00580856,9.95,8.81,8.59,9.3,20,NA,NA,10.5,9.95
"24","Amhara","Debre-¦","April",2014,39.52890047,9.67650294,7.5,7,NA,8,9.52,NA,NA,22.82,7.5
"25","Amhara","Chuahit","August",2013,39.311961,10.643157,NA,NA,8,NA,NA,NA,NA,15.08,8
"26","Amhara","Gondar","August",2013,37.46149667,12.59878688,10,NA,NA,NA,14.33,NA,NA,NA,10
"27","Amhara","Esete","August",2013,37.88657423,10.92298692,8.81,8.97,9.09,8.95,11.78,NA,NA,10.35,8.81
"28","Amhara","Debre- Tabor ","August",2013,38.00833967,11.84769551,NA,8.69,8.71,NA,12.13,NA,NA,15.47,8.71
"29","Amhara","Kobo","August",2013,39.63127424,12.16406542,10.97,10.31,NA,NA,NA,NA,NA,20.96,10.97
"30","Amhara","Weldiya","August",2013,39.6014117,11.82360232,10.49,8.89,8.59,NA,15.38,NA,NA,20.35,10.49
"31","Amhara","Kombolcha","August",2013,39.73724188,11.07807805,9.26,8.2,8.51,NA,22.68,NA,NA,26.82,9.26
"32","Amhara","Dessie","August",2013,39.63548793,11.11703902,9.54,7.91,NA,NA,NA,14,NA,12.95,9.54
"33","Amhara","Shewa- Robit ","August",2013,39.90269733,10.00580856,10.1,NA,9.01,9.84,17.36,NA,NA,12.87,10.1
"34","Amhara","Debre-¦","August",2013,39.52890047,9.67650294,7,7.33,8.55,8,9.5,NA,NA,12.15,7
"35","Amhara","Chuahit","December",2013,39.311961,10.643157,NA,7.5,NA,NA,NA,NA,NA,13.61,7.5
"36","Amhara","Gondar","December",2013,37.46149667,12.59878688,10,NA,NA,NA,12.83,NA,NA,15.33,10
"37","Amhara","Esete","December",2013,37.88657423,10.92298692,8.77,8.73,6.44,7.38,12.32,NA,NA,NA,8.77
"38","Amhara","Debre- Tabor ","December",2013,38.00833967,11.84769551,NA,9.5,9.08,10.25,12.14,NA,NA,12.05,9.08
