"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.hullb","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"1095","Somalie","Jigjiga","October",2014,42.792342,9.367259,NA,13.84,NA,14,NA,NA,NA,32,13.84
"1096","Somalie","Hartshek","October",2014,43.356499,9.161111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097","Somalie","Dolo","October",2014,42.059257,4.179211,NA,13.33,NA,NA,NA,NA,NA,NA,13.33
"1098","Somalie","Moyale","October",2014,3.527,39.056,NA,11.66,NA,NA,NA,NA,NA,NA,11.66
"1099","Benishangul-Gumuz","Mambook","October",2014,NA,NA,10,NA,10,NA,NA,NA,NA,NA,10
"1100","Benishangul-Gumuz","Mender- Sebat ","October",2014,NA,NA,11,NA,9,NA,NA,NA,NA,12.63,11
"1101","Benishangul-Gumuz","Asossa","October",2014,34.53730603,10.05784932,11,NA,12,NA,NA,NA,NA,NA,11
"1102","Benishangul-Gumuz","Bambasi","October",2014,34.73046863,9.751504664,11.78,9,NA,NA,NA,NA,NA,NA,11.78
"1103","Benishangul-Gumuz","Kemashi","October",2014,35.85916991,9.515450626,7.52,7.46,NA,NA,NA,NA,NA,NA,7.52
"1104","Benishangul-Gumuz","Agelo- Meti ","October",2014,35.77048443,9.640776618,NA,11.15,NA,NA,NA,NA,NA,NA,11.15
"1105","Benishangul-Gumuz","Avera","October",2014,NA,NA,10.14,9.08,10.26,NA,NA,NA,NA,12.63,10.14
"1119","Somalie","Shinile","September",2014,41.844013,9.686515,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120","Somalie","Arere","September",2014,NA,NA,9.65,NA,NA,NA,NA,NA,NA,NA,9.65
"1121","Somalie","Jigjiga","September",2014,42.792342,9.367259,NA,9.98,NA,14,NA,NA,NA,28,9.98
"1122","Somalie","Hartshek","September",2014,43.356499,9.161111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1123","Somalie","Dolo","September",2014,42.059257,4.179211,NA,13,NA,NA,NA,NA,NA,NA,13
"1124","Somalie","Moyale","September",2014,3.527,39.056,15,11.29,NA,NA,NA,NA,NA,NA,15
"1125","Benishangul-Gumuz","Mambook","September",2014,NA,NA,10,NA,10,NA,NA,NA,NA,NA,10
"1126","Benishangul-Gumuz","Mender- Sebat ","September",2014,NA,NA,10.49,NA,9,NA,NA,NA,NA,13.34,10.49
"1127","Benishangul-Gumuz","Asossa","September",2014,34.53730603,10.05784932,11,NA,11,NA,NA,NA,NA,NA,11
"1128","Benishangul-Gumuz","Bambasi","September",2014,34.73046863,9.751504664,12.85,7.32,NA,NA,NA,NA,NA,NA,12.85
"1129","Benishangul-Gumuz","Kemashi","September",2014,35.85916991,9.515450626,NA,7.25,NA,NA,NA,NA,NA,NA,7.25
"1130","Benishangul-Gumuz","Agelo- Meti ","September",2014,35.77048443,9.640776618,NA,11.03,NA,NA,NA,NA,NA,NA,11.03
"1131","Benishangul-Gumuz","Avera","September",2014,NA,NA,11.03,8.37,9.97,NA,NA,NA,NA,13.34,11.03
"1132","Tigray","Enda- Silase ","August",2014,38.27211005,14.08944251,10.43,NA,NA,NA,NA,NA,NA,21.75,10.43
"1133","Tigray","Enda- Baguna ","August",2014,38.19317204,13.97860867,11.39,NA,NA,NA,NA,NA,NA,16.14,11.39
"1134","Tigray","Adwa","August",2014,38.88818805,14.14845458,11.16,NA,NA,NA,15.91,NA,NA,16.52,11.16
"1135","Tigray","Axum","August",2014,38.71879888,14.11130791,9.39,NA,NA,NA,15.34,NA,NA,11.03,9.39
"1136","Tigray","Adigrat","August",2014,39.46033457,14.26667752,9.49,NA,10.2,NA,NA,NA,NA,17.65,9.49
"1137","Tigray","Wukiro","August",2014,39.599747,13.796083,8.93,NA,8.47,NA,NA,NA,NA,25.76,8.93
"1138","Tigray","Mai- Chew ","August",2014,39.541533,12.78792086,8.67,8.23,NA,NA,NA,NA,NA,14.01,8.67
"1139","Tigray","Mekelle","August",2014,39.47221911,13.48719005,10,NA,8.27,NA,NA,NA,NA,26.79,10
"1140","Afar","Ayisaeta","August",2014,41.43333,11.56667,11,NA,10,NA,NA,NA,NA,NA,11
"1141","Afar","Dubti","August",2014,41.08260323,11.72765333,10,NA,NA,NA,NA,NA,NA,NA,10
"1142","Afar","Melka Werers ","August",2014,40.18154914,9.340880502,9.66,NA,NA,9.65,NA,NA,NA,15.33,9.66
"1143","Afar","Sebat Killo ","August",2014,8.983333333,40.16666667,8.33,NA,8,9.33,NA,NA,NA,14.61,8.33
"1144","Tigray","Enda- Silase ","December",2014,38.27211005,14.08944251,8.78,NA,NA,NA,NA,NA,NA,21.75,8.78
"1145","Tigray","Enda- Baguna ","December",2014,38.19317204,13.97860867,10.21,NA,NA,NA,NA,NA,NA,13.66,10.21
"1146","Tigray","Adwa","December",2014,38.88818805,14.14845458,11.43,NA,NA,NA,17.4,NA,NA,19.27,11.43
"1147","Tigray","Axum","December",2014,38.71879888,14.11130791,8.96,NA,NA,NA,18.04,NA,NA,12.6,8.96
"1148","Tigray","Adigrat","December",2014,39.46033457,14.26667752,7.65,NA,8.5,NA,NA,NA,NA,18.11,7.65
"1149","Tigray","Wukiro","December",2014,39.599747,13.796083,7.41,NA,7.3,NA,NA,NA,NA,25.5,7.41
"1150","Tigray","Mai- Chew ","December",2014,39.541533,12.78792086,5.92,NA,6.93,NA,NA,NA,NA,11.49,5.92
"1151","Tigray","Mekelle","December",2014,39.47221911,13.48719005,8,NA,6.88,NA,NA,NA,NA,23.87,8
"1152","Afar","Ayisaeta","December",2014,41.43333,11.56667,11.32,NA,10,NA,NA,NA,NA,NA,11.32
"1153","Afar","Dubti","December",2014,41.08260323,11.72765333,12,NA,10,NA,NA,NA,NA,35,12
"1154","Afar","Melka Werers ","December",2014,40.18154914,9.340880502,9.16,NA,NA,8.65,NA,NA,NA,15,9.16
"1155","Afar","Sebat Killo ","December",2014,8.983333333,40.16666667,8.37,7.23,7.59,8.93,NA,NA,NA,17.5,8.37
"1156","Tigray","Enda- Silase ","February",2015,38.27211005,14.08944251,8.07,NA,NA,NA,NA,NA,NA,23.83,8.07
"1157","Tigray","Enda- Baguna ","February",2015,38.19317204,13.97860867,10.14,NA,NA,NA,NA,NA,NA,17.53,10.14
"1158","Tigray","Adwa","February",2015,38.88818805,14.14845458,5.61,NA,NA,NA,16.42,NA,NA,16.67,5.61
"1159","Tigray","Axum","February",2015,38.71879888,14.11130791,8.91,NA,NA,NA,19.99,NA,NA,12.65,8.91
"1160","Tigray","Adigrat","February",2015,39.46033457,14.26667752,7,NA,7.27,NA,NA,NA,NA,18.49,7
"1161","Tigray","Wukiro","February",2015,39.599747,13.796083,7.14,NA,6.79,NA,NA,NA,NA,25.77,7.14
"1162","Tigray","Mai- Chew ","February",2015,39.541533,12.78792086,7.01,6.64,7.85,NA,NA,NA,NA,11.53,7.01
"1163","Tigray","Mekelle","February",2015,39.47221911,13.48719005,8.33,NA,7.43,NA,NA,NA,NA,22.36,8.33
"1164","Afar","Ayisaeta","February",2015,41.43333,11.56667,10.66,NA,9,NA,NA,NA,NA,NA,10.66
"1165","Afar","Dubti","February",2015,41.08260323,11.72765333,10,NA,NA,NA,NA,NA,NA,NA,10
"1166","Afar","Melka Werers ","February",2015,40.18154914,9.340880502,9.65,NA,NA,9.65,NA,NA,NA,15,9.65
"1167","Afar","Sebat Killo ","February",2015,8.983333333,40.16666667,9.16,8.26,9.16,9.83,NA,NA,NA,17.31,9.16
"1168","Tigray","Enda- Silase ","January",2015,38.27211005,14.08944251,9.12,NA,NA,NA,NA,NA,NA,24.64,9.12
"1169","Tigray","Enda- Baguna ","January",2015,38.19317204,13.97860867,NA,NA,NA,NA,NA,NA,NA,17.53,NA
"1170","Tigray","Adwa","January",2015,38.88818805,14.14845458,11.23,NA,NA,NA,16.42,NA,NA,16.37,11.23
"1171","Tigray","Axum","January",2015,38.71879888,14.11130791,8.68,NA,NA,NA,18.01,NA,NA,13.04,8.68
"1172","Tigray","Adigrat","January",2015,39.46033457,14.26667752,6,NA,8.54,NA,NA,NA,NA,19.23,6
"1173","Tigray","Wukiro","January",2015,39.599747,13.796083,7.14,NA,6.9,NA,NA,NA,NA,25.25,7.14
"1174","Tigray","Mai- Chew ","January",2015,39.541533,12.78792086,6.31,NA,6.63,NA,NA,NA,NA,12.58,6.31
"1175","Tigray","Mekelle","January",2015,39.47221911,13.48719005,9.33,NA,8.59,NA,NA,NA,NA,25.66,9.33
"1176","Afar","Ayisaeta","January",2015,41.43333,11.56667,11,NA,9,NA,NA,NA,NA,NA,11
"1177","Afar","Dubti","January",2015,41.08260323,11.72765333,10,NA,NA,NA,NA,NA,NA,35,10
"1178","Afar","Melka Werers ","January",2015,40.18154914,9.340880502,9.66,NA,NA,9.16,NA,NA,NA,15,9.66
"1179","Afar","Sebat Killo ","January",2015,8.983333333,40.16666667,7.59,7.07,7.17,8.49,NA,NA,NA,15.49,7.59
"1180","Tigray","Enda- Silase ","July",2014,38.27211005,14.08944251,10.26,NA,NA,NA,NA,NA,NA,21.75,10.26
"1181","Tigray","Enda- Baguna ","July",2014,38.19317204,13.97860867,9.94,NA,NA,NA,NA,NA,NA,15.95,9.94
"1182","Tigray","Adwa","July",2014,38.88818805,14.14845458,11.23,NA,NA,NA,17.4,NA,NA,16.67,11.23
"1183","Tigray","Axum","July",2014,38.71879888,14.11130791,10.82,NA,NA,NA,17.83,NA,NA,11.03,10.82
"1184","Tigray","Adigrat","July",2014,39.46033457,14.26667752,9.32,9.92,NA,NA,NA,NA,NA,17.52,9.32
"1185","Tigray","Wukiro","July",2014,39.599747,13.796083,9.82,NA,8.56,NA,NA,NA,NA,26.02,9.82
"1186","Tigray","Mai- Chew ","July",2014,39.541533,12.78792086,8.2,8.79,NA,NA,NA,NA,NA,14.82,8.2
"1187","Tigray","Mekelle","July",2014,39.47221911,13.48719005,11.07,NA,9.24,NA,NA,NA,NA,26.79,11.07
"1188","Afar","Ayisaeta","July",2014,41.43333,11.56667,11,NA,10,NA,NA,NA,NA,NA,11
"1189","Afar","Dubti","July",2014,41.08260323,11.72765333,10,NA,NA,NA,NA,NA,NA,NA,10
"1190","Afar","Melka Werers ","July",2014,40.18154914,9.340880502,10.32,9.32,NA,9.16,NA,NA,NA,14.66,10.32
"1191","Afar","Sebat Killo ","July",2014,8.983333333,40.16666667,8.76,7.43,8,9.33,NA,NA,NA,14.98,8.76
"1192","Tigray","Enda- Silase ","June",2015,38.27211005,14.08944251,9.32,NA,NA,NA,NA,NA,NA,25.46,9.32
"1193","Tigray","Enda- Baguna ","June",2015,38.19317204,13.97860867,10.42,NA,NA,NA,NA,NA,NA,13.91,10.42
"1194","Tigray","Adwa","June",2015,38.88818805,14.14845458,12.31,NA,NA,NA,19.64,NA,NA,26.26,12.31
"1195","Tigray","Axum","June",2015,38.71879888,14.11130791,10.74,NA,NA,NA,22.11,NA,NA,10.72,10.74
"1196","Tigray","Adigrat","June",2015,39.46033457,14.26667752,8.32,NA,7.32,NA,NA,NA,NA,20.63,8.32
"1197","Tigray","Wukiro","June",2015,39.599747,13.796083,7.32,NA,7.14,NA,NA,NA,NA,26.03,7.32
"1198","Tigray","Mai- Chew ","June",2015,39.541533,12.78792086,7.73,9.23,10.51,NA,NA,NA,NA,14.75,7.73
"1199","Tigray","Mekelle","June",2015,39.47221911,13.48719005,9.33,NA,9.83,NA,NA,NA,NA,24.56,9.33
"1200","Afar","Ayisaeta","June",2015,41.43333,11.56667,10.66,NA,9,NA,NA,NA,NA,NA,10.66
"1201","Afar","Dubti","June",2015,41.08260323,11.72765333,11.32,10,NA,NA,NA,NA,NA,50,11.32
"1202","Afar","Melka Werers ","June",2015,40.18154914,9.340880502,11.32,NA,NA,10.66,NA,NA,NA,18.64,11.32
"1203","Afar","Sebat Killo ","June",2015,8.983333333,40.16666667,10.8,8.87,8.6,11.26,NA,NA,NA,18.98,10.8
"1204","Tigray","Enda- Silase ","March",2015,38.27211005,14.08944251,8.64,NA,NA,NA,NA,NA,NA,22.09,8.64
"1205","Tigray","Enda- Baguna ","March",2015,38.19317204,13.97860867,11.08,NA,NA,NA,NA,NA,NA,18.01,11.08
"1206","Tigray","Adwa","March",2015,38.88818805,14.14845458,11.36,NA,NA,NA,16.99,NA,NA,19.27,11.36
"1207","Tigray","Axum","March",2015,38.71879888,14.11130791,8.79,NA,NA,NA,20.1,NA,NA,10.87,8.79
"1208","Tigray","Adigrat","March",2015,39.46033457,14.26667752,7.65,NA,8.54,NA,NA,NA,NA,21.61,7.65
"1209","Tigray","Wukiro","March",2015,39.599747,13.796083,6.14,NA,6.9,NA,NA,NA,NA,26.02,6.14
"1210","Tigray","Mai- Chew ","March",2015,39.541533,12.78792086,7.46,NA,7.58,NA,NA,NA,NA,11.56,7.46
"1211","Tigray","Mekelle","March",2015,39.47221911,13.48719005,6.66,NA,8.57,NA,NA,NA,NA,23.26,6.66
"1212","Afar","Ayisaeta","March",2015,41.43333,11.56667,10.66,NA,9,NA,NA,NA,NA,NA,10.66
"1213","Afar","Dubti","March",2015,41.08260323,11.72765333,10,NA,NA,NA,NA,NA,NA,32.86,10
"1214","Afar","Melka Werers ","March",2015,40.18154914,9.340880502,10.83,NA,NA,14.33,NA,NA,NA,15,10.83
"1215","Afar","Sebat Killo ","March",2015,8.983333333,40.16666667,9.65,8.17,8.83,10.16,NA,NA,NA,18.98,9.65
"1216","Tigray","Enda- Silase ","May",2015,38.27211005,14.08944251,8.96,NA,NA,NA,NA,NA,NA,22.23,8.96
"1217","Tigray","Enda- Baguna ","May",2015,38.19317204,13.97860867,10.63,NA,NA,NA,NA,NA,NA,16.47,10.63
"1218","Tigray","Adwa","May",2015,38.88818805,14.14845458,11.23,NA,NA,NA,20.11,NA,NA,25.62,11.23
"1219","Tigray","Axum","May",2015,38.71879888,14.11130791,8.96,NA,NA,NA,20.07,NA,NA,10.64,8.96
"1220","Tigray","Adigrat","May",2015,39.46033457,14.26667752,8.16,NA,8.33,NA,NA,NA,NA,20.56,8.16
"1221","Tigray","Wukiro","May",2015,39.599747,13.796083,7.67,NA,6.16,NA,NA,NA,NA,26.84,7.67
"1222","Tigray","Mai- Chew ","May",2015,39.541533,12.78792086,9.57,10.64,NA,NA,NA,NA,NA,15.01,9.57
"1223","Tigray","Mekelle","May",2015,39.47221911,13.48719005,8.5,NA,10.16,NA,NA,NA,NA,30.26,8.5
"1224","Afar","Ayisaeta","May",2015,41.43333,11.56667,11,NA,9,NA,NA,NA,NA,NA,11
"1225","Afar","Dubti","May",2015,41.08260323,11.72765333,11,NA,NA,NA,NA,NA,NA,NA,11
"1226","Afar","Melka Werers ","May",2015,40.18154914,9.340880502,11.29,NA,NA,10.32,NA,NA,NA,15,11.29
"1227","Afar","Sebat Killo ","May",2015,8.983333333,40.16666667,NA,9.32,NA,9.65,NA,NA,NA,19.31,9.32
"1228","Tigray","Enda- Silase ","November",2014,38.27211005,14.08944251,9.91,NA,NA,NA,NA,NA,NA,21.43,9.91
"1229","Tigray","Enda- Baguna ","November",2014,38.19317204,13.97860867,10.21,NA,NA,NA,NA,NA,NA,15.95,10.21
"1230","Tigray","Adwa","November",2014,38.88818805,14.14845458,11.23,NA,NA,NA,18.18,NA,NA,16.37,11.23
"1231","Tigray","Axum","November",2014,38.71879888,14.11130791,8.79,NA,NA,NA,19.99,NA,NA,10.87,8.79
"1232","Tigray","Adigrat","November",2014,39.46033457,14.26667752,8.32,NA,9.55,NA,NA,NA,NA,18.05,8.32
"1233","Tigray","Wukiro","November",2014,39.599747,13.796083,7.27,NA,6.9,NA,NA,NA,NA,25.77,7.27
"1234","Tigray","Mai- Chew ","November",2014,39.541533,12.78792086,6.77,NA,8.14,NA,NA,NA,NA,11.44,6.77
"1235","Tigray","Mekelle","November",2014,39.47221911,13.48719005,8.93,NA,7.2,NA,NA,NA,NA,23.53,8.93
"1236","Afar","Ayisaeta","November",2014,41.43333,11.56667,11,NA,9.49,NA,NA,NA,NA,NA,11
"1237","Afar","Dubti","November",2014,41.08260323,11.72765333,10,NA,10,NA,NA,NA,NA,46.13,10
"1238","Afar","Melka Werers ","November",2014,40.18154914,9.340880502,8.65,NA,NA,9.32,NA,NA,NA,14.66,8.65
"1239","Afar","Sebat Killo ","November",2014,8.983333333,40.16666667,8.26,6.73,7.23,8.63,NA,NA,NA,16.98,8.26
"1240","Tigray","Enda- Silase ","October",2014,38.27211005,14.08944251,10.27,NA,NA,NA,NA,NA,NA,21.43,10.27
"1241","Tigray","Enda- Baguna ","October",2014,38.19317204,13.97860867,9.29,NA,NA,NA,NA,NA,NA,17.89,9.29
"1242","Tigray","Adwa","October",2014,38.88818805,14.14845458,11.23,NA,NA,NA,17.4,NA,NA,16.67,11.23
"1243","Tigray","Axum","October",2014,38.71879888,14.11130791,9.8,NA,NA,NA,20.97,NA,NA,12.77,9.8
"1244","Tigray","Adigrat","October",2014,39.46033457,14.26667752,9.33,NA,9.27,NA,NA,NA,NA,17.91,9.33
"1245","Tigray","Wukiro","October",2014,39.599747,13.796083,9.24,NA,8.88,NA,NA,NA,NA,23.18,9.24
"1246","Tigray","Mai- Chew ","October",2014,39.541533,12.78792086,6.34,NA,7.9,NA,NA,NA,NA,15.32,6.34
"1247","Tigray","Mekelle","October",2014,39.47221911,13.48719005,9.16,NA,8.5,NA,NA,NA,NA,25.4,9.16
"1248","Afar","Ayisaeta","October",2014,41.43333,11.56667,11,NA,10,NA,NA,NA,NA,NA,11
"1249","Afar","Dubti","October",2014,41.08260323,11.72765333,10,NA,NA,NA,NA,NA,NA,NA,10
"1250","Afar","Melka Werers ","October",2014,40.18154914,9.340880502,9.32,NA,NA,9.16,NA,NA,NA,15.66,9.32
