"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","CEREALS MILLED","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA","P R I C E   I N    B I R R"
"964","SNNP","Amaro Kele ","October","2018","6.083333333","38.03333333","6.39","21.28","-","-","-","30.00","-","-","-","-",NA
"965","SNNP","Soyama","October","2018","5.7","37.88333333","7.00","15.87","10.47","-","30.00","-","-","-","-","-",NA
"966","SNNP","Karate","October","2018","5.25","37.48333333","5.93","-","17.68","17.64","-","40.00","-","-","-","-",NA
"967","SNNP","Gidola","October","2018","37.34772952","5.647078098","5.40","17.88","16.47","-","-","-","-","-","-","-",NA
"968","SNNP","Tercha","October","2018","37.175334","7.146295","3.33","19.00","17.00","-","31.50","32.00","-","-","-","-",NA
"969","SNNP","Besite- chere ","October","2018",NA,NA,"5.76","15.00","-","-","-","-","-","-","28.00","-",NA
"970","SNNP","Lasoka","October","2018","36.60777815","6.30774507","7.53","17.24","-","14.04","-","-","-","-","-","-",NA
"971","SNNP","Amaya","October","2018","36.68000727","7.105541206","4.53","18.20","-","17.86","14.90","24.49","-","-","-","-",NA
"972","SNNP","Shewa- Bench ","September","2018",NA,NA,"8.25","18.00","16.00","16.00","-","30.98","-","-","40.00","-",NA
"973","SNNP","Mizan- Teferi ","September","2018","35.41120174","6.883477024","7.14","18.00","-","17.00","-","27.02","-","-","-","30.00",NA
"974","SNNP","Deri","September","2018","36.28577951","7.384839762","4.13","-","13.33","12.31","-","32.00","-","-","-","-",NA
"975","SNNP","Amaro Kele ","September","2018","6.083333333","38.03333333","6.09","18.68","-","-","-","30.00","-","-","-","-",NA
"976","SNNP","Soyama","September","2018","5.7","37.88333333","6.67","13.35","11.64","-","-","30.98","-","-","-","-",NA
