"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"610","SNNP","Hosahna","August","2016","37.84747123","7.538579317",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","11.00","-","-","14.64"
"611","SNNP","Shone","August","2016","37.94869425","7.134857075",NA,NA,NA,NA,NA,"-","-",NA,"9.07","7.30","8.50","-","-","-"
"612","SNNP","Doyugena","August","2016","37.78333","7.33333",NA,NA,NA,NA,NA,"-","-",NA,"7.50","-","-","-","-","27.50"
"613","SNNP","Alaba","August","2016","38.086143","7.311546",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.00","-","-","-"
"614","SNNP","Awasa","August","2016","38.474819","7.058624",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","11.66","13.00","-","-"
"615","SNNP","Hagere- Selam ","August","2016","38.51921184","6.513880636",NA,NA,NA,NA,NA,"-","-",NA,"9.15","-","-","-","-","10.77"
"616","SNNP","Dilla","August","2016","38.30745962","6.410516676",NA,NA,NA,NA,NA,"-","-",NA,"11.66","-","11.32","9.65","-","-"
"617","SNNP","Yirega-¦ chefie ","August","2016","38.1988827","6.16095383",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","-","-","-","15.00"
"618","SNNP","Welikite","December","2016","37.77266735","8.27732366",NA,NA,NA,NA,NA,"-","-",NA,"11.32","-","11.16","-","-","21.16"
"619","SNNP","Butajira","December","2016","38.42140499","8.173264069",NA,NA,NA,NA,NA,"-","-",NA,"11.48","11.87","12.50","11.29","-","11.49"
"620","SNNP","Hosahna","December","2016","37.84747123","7.538579317",NA,NA,NA,NA,NA,"-","-",NA,"7.83","6.00","7.00","-","-","14.64"
"621","SNNP","Shone","December","2016","37.94869425","7.134857075",NA,NA,NA,NA,NA,"-","-",NA,"10.00","7.75","7.83","-","-","-"
"622","SNNP","Doyugena","December","2016","37.78333","7.33333",NA,NA,NA,NA,NA,"-","-",NA,"8.81","7.62","8.85","-","-","19.87"
"623","SNNP","Alaba","December","2016","38.086143","7.311546",NA,NA,NA,NA,NA,"-","-",NA,"11.66","-","10.32","-","-","15.04"
"624","SNNP","Awasa","December","2016","38.474819","7.058624",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","13.33","-","32.61"
"625","SNNP","Hagere- Selam ","December","2016","38.51921184","6.513880636",NA,NA,NA,NA,NA,"-","-",NA,"10.20","-","-","-","-","11.60"
"626","SNNP","Dilla","December","2016","38.30745962","6.410516676",NA,NA,NA,NA,NA,"-","-",NA,"11.83","-","11.83","10.66","-","-"
"627","SNNP","Yirega-¦ chefie ","December","2016","38.1988827","6.16095383",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","-","9.65","-","15.00"
"628","SNNP","Welikite","February","2017","37.77266735","8.27732366",NA,NA,NA,NA,NA,"-","-",NA,"10.49","-","10.53","-","-","23.83"
"629","SNNP","Butajira","February","2017","38.42140499","8.173264069",NA,NA,NA,NA,NA,"-","-",NA,"10.35","9.09","8.88","10.35","-","14.79"
"630","SNNP","Hosahna","February","2017","37.84747123","7.538579317",NA,NA,NA,NA,NA,"-","-",NA,"10.00","8.00","9.17","-","-","13.96"
"631","SNNP","Shone","February","2017","37.94869425","7.134857075",NA,NA,NA,NA,NA,"-","-",NA,"11.83","-","10.66","-","-","-"
"632","SNNP","Doyugena","February","2017","37.78333","7.33333",NA,NA,NA,NA,NA,"-","-",NA,"7.47","-","7.50","8.00","-","18.75"
"633","SNNP","Alaba","February","2017","38.086143","7.311546",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.32","-","-","15.84"
"634","SNNP","Awasa","February","2017","38.474819","7.058624",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","13.00","-","42.56"
"635","SNNP","Hagere- Selam ","February","2017","38.51921184","6.513880636",NA,NA,NA,NA,NA,"-","-",NA,"7.75","-","-","-","-","10.77"
"636","SNNP","Dilla","February","2017","38.30745962","6.410516676",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.66","11.00","-","-"
"637","SNNP","Yirega-¦ chefie ","February","2017","38.1988827","6.16095383",NA,NA,NA,NA,NA,"-","-",NA,"11.66","-","8.00","-","-","20.00"
"638","SNNP","Welikite","January","2017","37.77266735","8.27732366",NA,NA,NA,NA,NA,"-","-",NA,"10.30","-","10.83","-","-","23.83"
"639","SNNP","Butajira","January","2017","38.42140499","8.173264069",NA,NA,NA,NA,NA,"-","-",NA,"10.65","10.47","11.54","11.54","-","15.23"
"640","SNNP","Hosahna","January","2017","37.84747123","7.538579317",NA,NA,NA,NA,NA,"-","-",NA,"8.65","7.00","8.00","-","-","14.29"
"641","SNNP","Shone","January","2017","37.94869425","7.134857075",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","10.00","-","-","-"
"642","SNNP","Doyugena","January","2017","37.78333","7.33333",NA,NA,NA,NA,NA,"-","-",NA,"6.77","7.58","6.73","-","-","15.46"
"643","SNNP","Alaba","January","2017","38.086143","7.311546",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.00","-","-","23.11"
"644","SNNP","Awasa","January","2017","38.474819","7.058624",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","13.00","-","33.34"
"645","SNNP","Hagere- Selam ","January","2017","38.51921184","6.513880636",NA,NA,NA,NA,NA,"-","-",NA,"8.43","-","-","-","-","9.41"
"646","SNNP","Dilla","January","2017","38.30745962","6.410516676",NA,NA,NA,NA,NA,"-","-",NA,"11.66","-","12.00","10.66","-","-"
"647","SNNP","Yirega-¦ chefie ","January","2017","38.1988827","6.16095383",NA,NA,NA,NA,NA,"-","-",NA,"12.32","-","-","10.66","-","14.33"
"648","SNNP","Welikite","July","2016","37.77266735","8.27732366",NA,NA,NA,NA,NA,"-","-",NA,"11.40","-","11.30","-","-","22.77"
"649","SNNP","Butajira","July","2016","38.42140499","8.173264069",NA,NA,NA,NA,NA,"-","-",NA,"10.41","10.53","12.07","10.72","-","11.54"
"650","SNNP","Hosahna","July","2016","37.84747123","7.538579317",NA,NA,NA,NA,NA,"-","-",NA,"12.42","-","12.00","-","-","14.29"
"651","SNNP","Shone","July","2016","37.94869425","7.134857075",NA,NA,NA,NA,NA,"-","-",NA,"9.00","7.45","8.90","-","-","-"
"652","SNNP","Doyugena","July","2016","37.78333","7.33333",NA,NA,NA,NA,NA,"-","-",NA,"8.50","-","9.00","-","-","27.65"
"653","SNNP","Alaba","July","2016","38.086143","7.311546",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.00","-","-","28.57"
"654","SNNP","Awasa","July","2016","38.474819","7.058624",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","11.66","13.00","-","-"
"655","SNNP","Hagere- Selam ","July","2016","38.51921184","6.513880636",NA,NA,NA,NA,NA,"-","-",NA,"8.68","-","-","-","-","11.60"
"656","SNNP","Dilla","July","2016","38.30745962","6.410516676",NA,NA,NA,NA,NA,"-","-",NA,"11.83","-","11.66","9.65","-","-"
"657","SNNP","Yirega-¦ chefie ","July","2016","38.1988827","6.16095383",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","9.00","12.00","-","14.66"
"658","SNNP","Welikite","June","2017","37.77266735","8.27732366","12.70","-","12.85","-","-","-","-","27.78",NA,NA,NA,NA,NA,NA
"659","SNNP","Butajira","June","2017","38.42140499","8.173264069","11.04","11.71","12.54","12.31","-","-","-","16.29",NA,NA,NA,NA,NA,NA
"660","SNNP","Hosahna","June","2017","37.84747123","7.538579317","12.00","10.00","11.25","-","-","-","-","14.13",NA,NA,NA,NA,NA,NA
"661","SNNP","Shone","June","2017","37.94869425","7.134857075","12.00","8.00","12.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"662","SNNP","Doyugena","June","2017","37.78333","7.33333","10.00","10.36","11.00","-","-","-","-","16.24",NA,NA,NA,NA,NA,NA
"663","SNNP","Alaba","June","2017","38.086143","7.311546","12.00","-","12.00","-","-","-","-","18.43",NA,NA,NA,NA,NA,NA
"664","SNNP","Awasa","June","2017","38.474819","7.058624","13.00","-","12.49","14.00","-","-","-","41.06",NA,NA,NA,NA,NA,NA
"665","SNNP","Hagere- Selam ","June","2017","38.51921184","6.513880636","9.28","-","-","-","-","-","-","12.50",NA,NA,NA,NA,NA,NA
"666","SNNP","Dilla","June","2017","38.30745962","6.410516676","12.00","-","12.00","10.49","-","-","-","-",NA,NA,NA,NA,NA,NA
