"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"736","SNNP","Arbam- minch ","August","2016","37.5527474","6.024547891",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.66","-","-","14.81"
"737","SNNP","Sawla","August","2016","36.87437474","6.300226567",NA,NA,NA,NA,NA,"-","-",NA,"9.32","8.94","9.40","-","12.66","15.33"
"738","SNNP","Welayita sodo ","December","2016","37.766643","6.86176",NA,NA,NA,NA,NA,"-","-",NA,"11.32","8.32","10.00","-","-","19.74"
"739","SNNP","Bodite","December","2016","37.89064905","7.038034865",NA,NA,NA,NA,NA,"-","-",NA,"10.66","10.00","8.00","12.00","-","14.86"
"740","SNNP","Jinka","December","2016","36.56441614","5.78310286",NA,NA,NA,NA,NA,"-","-",NA,"7.61","6.77","9.47","-","14.93","11.43"
"741","SNNP","Dimeka","December","2016","36.45041198","4.892522922",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"742","SNNP","Masha","December","2016","35.47956686","7.741652627",NA,NA,NA,NA,NA,"-","-",NA,"9.02","9.09","8.96","-","-","21.20"
"743","SNNP","Tepi","December","2016","35.36770327","7.320015599",NA,NA,NA,NA,NA,"24.33","-",NA,"11.66","8.00","10.00","-","-","24.17"
"744","SNNP","Boniga","December","2016","36.24008346","7.388535704",NA,NA,NA,NA,NA,"-","-",NA,"11.00","8.65","9.00","-","-","15.43"
"745","SNNP","Chana","December","2016","36.11775846","6.226550231",NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","10.00","-","-","12.51"
"746","SNNP","Arbam- minch ","December","2016","37.5527474","6.024547891",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","9.65","-","-","14.81"
"747","SNNP","Sawla","December","2016","36.87437474","6.300226567",NA,NA,NA,NA,NA,"-","-",NA,"8.53","8.61","8.61","-","19.69","15.00"
"748","SNNP","Welayita sodo ","February","2017","37.766643","6.86176",NA,NA,NA,NA,NA,"-","-",NA,"12.00","9.00","9.65","-","-","24.20"
"749","SNNP","Bodite","February","2017","37.89064905","7.038034865",NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","10.00","12.00","-","14.29"
"750","SNNP","Jinka","February","2017","36.56441614","5.78310286",NA,NA,NA,NA,NA,"-","-",NA,"6.96","5.81","9.16","-","11.08","10.42"
"751","SNNP","Dimeka","February","2017","36.45041198","4.892522922",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"752","SNNP","Masha","February","2017","35.47956686","7.741652627",NA,NA,NA,NA,NA,"-","-",NA,"11.28","11.19","11.28","-","-","25.33"
"753","SNNP","Tepi","February","2017","35.36770327","7.320015599",NA,NA,NA,NA,NA,"24.00","-",NA,"10.66","8.00","10.00","-","-","24.44"
"754","SNNP","Boniga","February","2017","36.24008346","7.388535704",NA,NA,NA,NA,NA,"-","-",NA,"10.00","7.00","8.32","-","-","17.05"
"755","SNNP","Chana","February","2017","36.11775846","6.226550231",NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","8.00","-","-","11.54"
"756","SNNP","Arbam- minch ","February","2017","37.5527474","6.024547891",NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","10.00","-","-","14.81"
"757","SNNP","Sawla","February","2017","36.87437474","6.300226567",NA,NA,NA,NA,NA,"-","-",NA,"8.07","9.34","10.00","-","16.19","14.49"
"758","SNNP","Welayita sodo ","January","2017","37.766643","6.86176",NA,NA,NA,NA,NA,"-","-",NA,"11.66","8.65","10.00","-","-","20.84"
"759","SNNP","Bodite","January","2017","37.89064905","7.038034865",NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","10.32","12.00","-","15.17"
"760","SNNP","Jinka","January","2017","36.56441614","5.78310286",NA,NA,NA,NA,NA,"-","-",NA,"7.63","5.83","7.60","-","10.13","10.57"
"761","SNNP","Dimeka","January","2017","36.45041198","4.892522922",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"762","SNNP","Masha","January","2017","35.47956686","7.741652627",NA,NA,NA,NA,NA,"-","-",NA,"11.28","11.36","11.19","-","-","23.87"
"763","SNNP","Tepi","January","2017","35.36770327","7.320015599",NA,NA,NA,NA,NA,"24.66","-",NA,"11.32","9.00","10.00","-","-","24.17"
"764","SNNP","Boniga","January","2017","36.24008346","7.388535704",NA,NA,NA,NA,NA,"-","-",NA,"7.00","8.32","8.32","-","-","17.15"
"765","SNNP","Chana","January","2017","36.11775846","6.226550231",NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","8.00","-","-","12.72"
"766","SNNP","Arbam- minch ","January","2017","37.5527474","6.024547891",NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","10.00","-","-","14.81"
"767","SNNP","Sawla","January","2017","36.87437474","6.300226567",NA,NA,NA,NA,NA,"-","-",NA,"9.95","9.86","9.96","-","16.42","14.49"
"768","SNNP","Welayita sodo ","July","2016","37.766643","6.86176",NA,NA,NA,NA,NA,"-","-",NA,"11.32","7.65","8.65","-","-","25.00"
"769","SNNP","Bodite","July","2016","37.89064905","7.038034865",NA,NA,NA,NA,NA,"-","-",NA,"11.32","-","10.63","-","-","14.86"
"770","SNNP","Jinka","July","2016","36.56441614","5.78310286",NA,NA,NA,NA,NA,"-","-",NA,"7.74","-","7.58","-","10.13","-"
"771","SNNP","Dimeka","July","2016","36.45041198","4.892522922",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"772","SNNP","Masha","July","2016","35.47956686","7.741652627",NA,NA,NA,NA,NA,"-","-",NA,"8.89","9.02","9.09","-","-","20.94"
"773","SNNP","Tepi","July","2016","35.36770327","7.320015599",NA,NA,NA,NA,NA,"24.66","-",NA,"12.00","9.00","10.32","-","-","22.02"
"774","SNNP","Boniga","July","2016","36.24008346","7.388535704",NA,NA,NA,NA,NA,"-","-",NA,"11.00","9.00","9.65","-","-","16.95"
"775","SNNP","Chana","July","2016","36.11775846","6.226550231",NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","10.00","-","-","15.66"
"776","SNNP","Arbam- minch ","July","2016","37.5527474","6.024547891",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.66","-","-","14.81"
"777","SNNP","Sawla","July","2016","36.87437474","6.300226567",NA,NA,NA,NA,NA,"-","-",NA,"7.14","8.30","8.53","-","14.09","8.51"
"778","SNNP","Welayita","June","2017",NA,NA,"12.00","9.49","12.00","-","-","-","-","27.04",NA,NA,NA,NA,NA,NA
"779","SNNP","Bodite","June","2017","37.89064905","7.038034865","12.00","10.00","12.00","13.49","-","-","-","16.02",NA,NA,NA,NA,NA,NA
"780","SNNP","Jinka","June","2017","36.56441614","5.78310286","12.18","12.19","12.22","-","15.17","-","-","22.01",NA,NA,NA,NA,NA,NA
"781","SNNP","Dimeka","June","2017","36.45041198","4.892522922","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"782","SNNP","Masha","June","2017","35.47956686","7.741652627","10.99","10.99","10.99","-","-","-","-","27.22",NA,NA,NA,NA,NA,NA
"783","SNNP","Tepi","June","2017","35.36770327","7.320015599","12.00","9.00","10.00","-","-","24.00","-","24.62",NA,NA,NA,NA,NA,NA
"784","SNNP","Boniga","June","2017","36.24008346","7.388535704","12.00","10.00","11.00","-","-","-","-","16.35",NA,NA,NA,NA,NA,NA
"785","SNNP","Chana","June","2017","36.11775846","6.226550231","13.00","10.00","10.00","-","-","-","-","12.25",NA,NA,NA,NA,NA,NA
"786","SNNP","Arbam- minch ","June","2017","37.5527474","6.024547891","11.00","-","12.49","-","-","-","-","14.81",NA,NA,NA,NA,NA,NA
"787","SNNP","Sawla","June","2017","36.87437474","6.300226567","8.01","8.08","8.44","-","13.59","-","-","15.17",NA,NA,NA,NA,NA,NA
"788","SNNP","Welayita sodo ","March","2017","37.766643","6.86176",NA,NA,NA,NA,NA,"-","-",NA,"11.00","8.65","9.65","-","-","26.82"
"789","SNNP","Bodite","March","2017","37.89064905","7.038034865",NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","10.00","12.00","-","13.39"
"790","SNNP","Jinka","March","2017","36.56441614","5.78310286",NA,NA,NA,NA,NA,"-","-",NA,"9.12","9.86","12.01","-","14.36","14.58"
"791","SNNP","Dimeka","March","2017","36.45041198","4.892522922",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"792","SNNP","Masha","March","2017","35.47956686","7.741652627",NA,NA,NA,NA,NA,"-","-",NA,"11.03","11.28","9.58","-","-","25.62"
"793","SNNP","Tepi","March","2017","35.36770327","7.320015599",NA,NA,NA,NA,NA,"24.00","-",NA,"12.00","9.00","10.00","-","-","23.92"
"794","SNNP","Boniga","March","2017","36.24008346","7.388535704",NA,NA,NA,NA,NA,"-","-",NA,"11.00","9.00","9.65","-","-","16.75"
"795","SNNP","Chana","March","2017","36.11775846","6.226550231",NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","8.00","-","-","12.61"
"796","SNNP","Arbam- minch ","March","2017","37.5527474","6.024547891",NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","9.00","-","-","14.81"
"797","SNNP","Sawla","March","2017","36.87437474","6.300226567",NA,NA,NA,NA,NA,"-","-",NA,"7.87","8.52","9.47","-","13.76","14.69"
"798","SNNP","Welayita","May","2017",NA,NA,"12.00","9.49","12.00","-","-","-","-","27.04",NA,NA,NA,NA,NA,NA
"799","SNNP","Bodite","May","2017","37.89064905","7.038034865","12.00","10.00","12.00","13.49","-","-","-","16.02",NA,NA,NA,NA,NA,NA
"800","SNNP","Jinka","May","2017","36.56441614","5.78310286","12.18","12.19","12.22","-","15.17","-","-","22.01",NA,NA,NA,NA,NA,NA
"801","SNNP","Dimeka","May","2017","36.45041198","4.892522922","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"802","SNNP","Masha","May","2017","35.47956686","7.741652627","10.99","10.99","10.99","-","-","-","-","27.22",NA,NA,NA,NA,NA,NA
"803","SNNP","Tepi","May","2017","35.36770327","7.320015599","12.00","9.00","10.00","-","-","24.00","-","24.62",NA,NA,NA,NA,NA,NA
"804","SNNP","Boniga","May","2017","36.24008346","7.388535704","12.00","10.00","11.00","-","-","-","-","16.35",NA,NA,NA,NA,NA,NA
"805","SNNP","Chana","May","2017","36.11775846","6.226550231","13.00","10.00","10.00","-","-","-","-","12.25",NA,NA,NA,NA,NA,NA
"806","SNNP","Arbam- minch ","May","2017","37.5527474","6.024547891","11.00","-","12.49","-","-","-","-","14.81",NA,NA,NA,NA,NA,NA
"807","SNNP","Sawla","May","2017","36.87437474","6.300226567","8.01","8.08","8.44","-","13.59","-","-","15.17",NA,NA,NA,NA,NA,NA
"808","SNNP","Welayita sodo ","November","2016","37.766643","6.86176",NA,NA,NA,NA,NA,"-","-",NA,"11.00","9.65","9.32","-","-","19.74"
"809","SNNP","Bodite","November","2016","37.89064905","7.038034865",NA,NA,NA,NA,NA,"-","-",NA,"11.29","10.00","10.00","12.00","-","14.03"
"810","SNNP","Jinka","November","2016","36.56441614","5.78310286",NA,NA,NA,NA,NA,"-","-",NA,"5.70","5.82","7.60","-","11.41","11.27"
"811","SNNP","Dimeka","November","2016","36.45041198","4.892522922",NA,NA,NA,NA,NA,"-","-",NA,"11.04","-","-","-","-","-"
"812","SNNP","Masha","November","2016","35.47956686","7.741652627",NA,NA,NA,NA,NA,"-","-",NA,"9.02","9.09","8.96","-","-","20.94"
"813","SNNP","Tepi","November","2016","35.36770327","7.320015599",NA,NA,NA,NA,NA,"25.00","-",NA,"12.00","8.65","10.00","-","-","21.62"
"814","SNNP","Boniga","November","2016","36.24008346","7.388535704",NA,NA,NA,NA,NA,"-","-",NA,"11.00","9.00","10.00","-","-","17.05"
"815","SNNP","Chana","November","2016","36.11775846","6.226550231",NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","8.00","-","-","12.94"
"816","SNNP","Arbam- minch ","November","2016","37.5527474","6.024547891",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","10.32","-","-","14.81"
"817","SNNP","Sawla","November","2016","36.87437474","6.300226567",NA,NA,NA,NA,NA,"-","-",NA,"6.47","8.45","8.53","-","14.02","15.00"
"818","SNNP","Welayita sodo ","October","2016","37.766643","6.86176",NA,NA,NA,NA,NA,"-","-",NA,"11.32","10.16","11.00","-","-","24.60"
"819","SNNP","Bodite","October","2016","37.89064905","7.038034865",NA,NA,NA,NA,NA,"-","-",NA,"12.00","9.65","10.00","12.00","-","14.57"
"820","SNNP","Jinka","October","2016","36.56441614","5.78310286",NA,NA,NA,NA,NA,"-","-",NA,"7.57","-","11.35","-","9.59","10.57"
"821","SNNP","Dimeka","October","2016","36.45041198","4.892522922",NA,NA,NA,NA,NA,"-","-",NA,"13.33","-","-","-","-","-"
"822","SNNP","Masha","October","2016","35.47956686","7.741652627",NA,NA,NA,NA,NA,"-","-",NA,"9.02","9.02","9.02","-","-","22.83"
"823","SNNP","Tepi","October","2016","35.36770327","7.320015599",NA,NA,NA,NA,NA,"25.00","-",NA,"11.66","10.00","11.32","-","-","19.45"
"824","SNNP","Boniga","October","2016","36.24008346","7.388535704",NA,NA,NA,NA,NA,"-","-",NA,"11.00","9.50","10.00","-","-","17.24"
"825","SNNP","Chana","October","2016","36.11775846","6.226550231",NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","8.00","-","-","13.52"
"826","SNNP","Arbam- minch ","October","2016","37.5527474","6.024547891",NA,NA,NA,NA,NA,"-","-",NA,"10.66","-","10.32","-","-","14.81"
"827","SNNP","Sawla","October","2016","36.87437474","6.300226567",NA,NA,NA,NA,NA,"-","-",NA,"7.93","7.73","9.71","-","21.23","14.49"
"828","SNNP","Welayita sodo ","September","2016","37.766643","6.86176",NA,NA,NA,NA,NA,"-","-",NA,"11.32","9.16","9.16","-","-","25.02"
"829","SNNP","Bodite","September","2016","37.89064905","7.038034865",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","10.66","-","-","16.15"
"830","SNNP","Jinka","September","2016","36.56441614","5.78310286",NA,NA,NA,NA,NA,"-","-",NA,"-","5.85","7.61","-","9.77","10.68"
"831","SNNP","Dimeka","September","2016","36.45041198","4.892522922",NA,NA,NA,NA,NA,"-","-",NA,"11.15","-","-","-","-","-"
"832","SNNP","Masha","September","2016","35.47956686","7.741652627",NA,NA,NA,NA,NA,"-","-",NA,"9.16","8.31","8.25","-","-","21.95"
"833","SNNP","Tepi","September","2016","35.36770327","7.320015599",NA,NA,NA,NA,NA,"25.00","-",NA,"11.32","8.65","11.00","-","-","-"
"834","SNNP","Boniga","September","2016","36.24008346","7.388535704",NA,NA,NA,NA,NA,"-","-",NA,"11.00","9.00","10.00","-","-","16.40"
"835","SNNP","Chana","September","2016","36.11775846","6.226550231",NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","8.00","-","-","15.93"
"836","SNNP","Arbam- minch ","September","2016","37.5527474","6.024547891",NA,NA,NA,NA,NA,"-","-",NA,"11.32","-","11.32","-","-","18.52"
"837","SNNP","Sawla","September","2016","36.87437474","6.300226567",NA,NA,NA,NA,NA,"-","-",NA,"8.48","8.80","8.41","-","15.57","15.14"
"838","SNNP","Shewa- Bench ","April","2017",NA,NA,"12.00","8.49","12.00","-","-","-","-","22.27",NA,NA,NA,NA,NA,NA
"839","SNNP","Mizan- Teferi ","April","2017","35.41120174","6.883477024","12.00","-","10.00","-","-","-","-","16.00",NA,NA,NA,NA,NA,NA
"840","SNNP","Deri","April","2017","36.28577951","7.384839762","13.79","13.18","13.18","-","-","-","-","26.11",NA,NA,NA,NA,NA,NA
"841","SNNP","Amaro Kele ","April","2017","6.083333333","38.03333333","11.84","-","13.92","-","17.58","-","-","-",NA,NA,NA,NA,NA,NA
"842","SNNP","Soyama","April","2017","5.7","37.88333333","10.60","9.39","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"843","SNNP","Karate","April","2017","5.25","37.48333333","10.38","-","-","-","16.28","-","-","-",NA,NA,NA,NA,NA,NA
"844","SNNP","Gidola","April","2017","37.34772952","5.647078098","-","-","12.15","-","12.06","-","-","-",NA,NA,NA,NA,NA,NA
"845","SNNP","Tercha","April","2017","37.175334","7.146295","14.00","13.00","12.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"846","SNNP","Besite- chere ","April","2017",NA,NA,"14.00","12.00","14.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"847","SNNP","Lasoka","April","2017","36.60777815","6.30774507","7.84","7.55","9.26","-","-","-","-","16.14",NA,NA,NA,NA,NA,NA
"848","SNNP","Amaya","April","2017","36.68000727","7.105541206","10.00","9.00","8.00","-","10.89","-","-","-",NA,NA,NA,NA,NA,NA
"849","SNNP","Shewa- Bench ","August","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","10.32","-","-","21.46"
"850","SNNP","Mizan- Teferi ","August","2016","35.41120174","6.883477024",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","11.00","-","-","16.00"
"851","SNNP","Deri","August","2016","36.28577951","7.384839762",NA,NA,NA,NA,NA,"-","-",NA,"9.30","9.09","9.30","-","-","13.05"
"852","SNNP","Amaro Kele ","August","2016","6.083333333","38.03333333",NA,NA,NA,NA,NA,"-","-",NA,"9.55","-","9.81","-","14.79","-"
"853","SNNP","Soyama","August","2016","5.7","37.88333333",NA,NA,NA,NA,NA,"-","-",NA,"10.67","9.42","-","10.62","-","-"
"854","SNNP","Karate","August","2016","5.25","37.48333333",NA,NA,NA,NA,NA,"-","-",NA,"9.80","-","-","-","-","-"
"855","SNNP","Gidola","August","2016","37.34772952","5.647078098",NA,NA,NA,NA,NA,"-","-",NA,"13.39","12.50","13.51","-","12.95","-"
"856","SNNP","Tercha","August","2016","37.175334","7.146295",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"857","SNNP","Besite- chere ","August","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","12.00","-","-","-"
"858","SNNP","Lasoka","August","2016","36.60777815","6.30774507",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"859","SNNP","Amaya","August","2016","36.68000727","7.105541206",NA,NA,NA,NA,NA,"-","-",NA,"7.00","-","-","-","-","-"
"860","SNNP","Shewa- Bench ","December","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"11.32","8.00","10.00","-","-","19.01"
"861","SNNP","Mizan- Teferi ","December","2016","35.41120174","6.883477024",NA,NA,NA,NA,NA,"-","-",NA,"11.00","10.00","8.00","-","-","16.00"
"862","SNNP","Deri","December","2016","36.28577951","7.384839762",NA,NA,NA,NA,NA,"-","-",NA,"13.85","14.12","13.96","-","-","13.65"
"863","SNNP","Amaro Kele ","December","2016","6.083333333","38.03333333",NA,NA,NA,NA,NA,"-","-",NA,"10.68","-","12.00","-","16.40","-"
"864","SNNP","Soyama","December","2016","5.7","37.88333333",NA,NA,NA,NA,NA,"-","-",NA,"10.67","10.67","-","10.53","-","-"
"865","SNNP","Karate","December","2016","5.25","37.48333333",NA,NA,NA,NA,NA,"-","-",NA,"12.25","-","-","-","-","-"
"866","SNNP","Gidola","December","2016","37.34772952","5.647078098",NA,NA,NA,NA,NA,"-","-",NA,"13.76","13.39","14.02","-","16.52","-"
"867","SNNP","Tercha","December","2016","37.175334","7.146295",NA,NA,NA,NA,NA,"-","-",NA,"15.79","15.15","14.78","-","-","-"
"868","SNNP","Besite- chere ","December","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","10.00","-","-","-"
"869","SNNP","Lasoka","December","2016","36.60777815","6.30774507",NA,NA,NA,NA,NA,"-","-",NA,"10.14","-","13.58","-","22.29","21.12"
"870","SNNP","Amaya","December","2016","36.68000727","7.105541206",NA,NA,NA,NA,NA,"-","-",NA,"-","11.67","-","-","-","-"
"871","SNNP","Shewa- Bench ","February","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","10.00","-","-","24.22"
"872","SNNP","Mizan- Teferi ","February","2017","35.41120174","6.883477024",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","8.00","-","-","16.00"
"873","SNNP","Deri","February","2017","36.28577951","7.384839762",NA,NA,NA,NA,NA,"-","-",NA,"11.63","11.63","11.19","-","-","31.07"
"874","SNNP","Amaro Kele ","February","2017","6.083333333","38.03333333",NA,NA,NA,NA,NA,"-","-",NA,"10.91","-","12.88","14.54","16.90","-"
"875","SNNP","Soyama","February","2017","5.7","37.88333333",NA,NA,NA,NA,NA,"-","-",NA,"10.62","-","9.25","-","-","-"
"876","SNNP","Karate","February","2017","5.25","37.48333333",NA,NA,NA,NA,NA,"-","-",NA,"11.65","-","-","-","-","-"
"877","SNNP","Gidola","February","2017","37.34772952","5.647078098",NA,NA,NA,NA,NA,"-","-",NA,"15.34","15.56","15.47","-","13.99","-"
"878","SNNP","Tercha","February","2017","37.175334","7.146295",NA,NA,NA,NA,NA,"-","-",NA,"14.00","12.00","10.66","-","-","-"
"879","SNNP","Besite- chere ","February","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","12.00","-","-","-"
"880","SNNP","Lasoka","February","2017","36.60777815","6.30774507",NA,NA,NA,NA,NA,"-","-",NA,"9.33","9.54","9.22","-","16.07","11.58"
"881","SNNP","Amaya","February","2017","36.68000727","7.105541206",NA,NA,NA,NA,NA,"-","-",NA,"6.38","5.74","5.21","-","-","5.28"
"882","SNNP","Shewa- Bench ","January","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"10.00","8.00","10.00","-","-","22.42"
"883","SNNP","Mizan- Teferi ","January","2017","35.41120174","6.883477024",NA,NA,NA,NA,NA,"-","-",NA,"11.00","10.00","8.00","-","-","16.00"
"884","SNNP","Deri","January","2017","36.28577951","7.384839762",NA,NA,NA,NA,NA,"-","-",NA,"13.64","13.96","13.64","-","-","-"
"885","SNNP","Amaro Kele ","January","2017","6.083333333","38.03333333",NA,NA,NA,NA,NA,"-","-",NA,"15.17","-","18.83","-","16.19","-"
"886","SNNP","Soyama","January","2017","5.7","37.88333333",NA,NA,NA,NA,NA,"-","-",NA,"9.33","7.96","-","-","-","-"
"887","SNNP","Karate","January","2017","5.25","37.48333333",NA,NA,NA,NA,NA,"-","-",NA,"13.11","-","-","-","-","-"
"888","SNNP","Gidola","January","2017","37.34772952","5.647078098",NA,NA,NA,NA,NA,"-","-",NA,"13.76","13.52","13.89","-","15.46","-"
"889","SNNP","Tercha","January","2017","37.175334","7.146295",NA,NA,NA,NA,NA,"-","-",NA,"16.40","14.93","13.64","-","-","-"
"890","SNNP","Besite- chere ","January","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"10.00","10.00","12.00","-","-","-"
"891","SNNP","Lasoka","January","2017","36.60777815","6.30774507",NA,NA,NA,NA,NA,"-","-",NA,"8.11","-","9.75","-","25.42","16.32"
"892","SNNP","Amaya","January","2017","36.68000727","7.105541206",NA,NA,NA,NA,NA,"-","-",NA,"7.06","-","-","-","-","19.37"
"893","SNNP","Shewa- Bench ","July","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","10.00","-","-","20.84"
"894","SNNP","Mizan- Teferi ","July","2016","35.41120174","6.883477024",NA,NA,NA,NA,NA,"-","-",NA,"11.00","10.00","11.32","-","-","16.00"
"895","SNNP","Deri","July","2016","36.28577951","7.384839762",NA,NA,NA,NA,NA,"-","-",NA,"11.63","11.45","11.63","-","-","13.24"
"896","SNNP","Amaro Kele ","July","2016","6.083333333","38.03333333",NA,NA,NA,NA,NA,"-","-",NA,"9.59","-","10.26","-","14.84","-"
"897","SNNP","Soyama","July","2016","5.7","37.88333333",NA,NA,NA,NA,NA,"-","-",NA,"10.62","9.29","-","8.99","-","-"
"898","SNNP","Karate","July","2016","5.25","37.48333333",NA,NA,NA,NA,NA,"-","-",NA,"11.40","-","-","-","19.05","-"
"899","SNNP","Gidola","July","2016","37.34772952","5.647078098",NA,NA,NA,NA,NA,"-","-",NA,"13.64","13.05","14.02","-","12.68","-"
"900","SNNP","Tercha","July","2016","37.175334","7.146295",NA,NA,NA,NA,NA,"-","-",NA,"-","15.62","15.39","-","-","-"
"901","SNNP","Besite- chere ","July","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","10.00","-","-","-"
"902","SNNP","Lasoka","July","2016","36.60777815","6.30774507",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","19.23","8.94"
"903","SNNP","Amaya","July","2016","36.68000727","7.105541206",NA,NA,NA,NA,NA,"-","-",NA,"7.00","7.00","-","-","-","-"
"904","SNNP","Shewa- Bench ","June","2017",NA,NA,"14.00","10.00","12.00","-","-","-","-","22.75",NA,NA,NA,NA,NA,NA
"905","SNNP","Mizan- Teferi ","June","2017","35.41120174","6.883477024","12.75","-","10.00","-","-","-","-","18.00",NA,NA,NA,NA,NA,NA
"906","SNNP","Deri","June","2017","36.28577951","7.384839762","13.48","13.79","13.79","-","-","-","-","24.02",NA,NA,NA,NA,NA,NA
"907","SNNP","Amaro Kele ","June","2017","6.083333333","38.03333333","10.81","-","11.69","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"908","SNNP","Soyama","June","2017","5.7","37.88333333","10.85","9.21","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"909","SNNP","Karate","June","2017","5.25","37.48333333","11.46","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"910","SNNP","Gidola","June","2017","37.34772952","5.647078098","14.60","14.71","14.29","-","18.51","-","-","-",NA,NA,NA,NA,NA,NA
"911","SNNP","Tercha","June","2017","37.175334","7.146295","16.00","15.00","15.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"912","SNNP","Besite- chere ","June","2017",NA,NA,"15.00","12.00","12.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"913","SNNP","Lasoka","June","2017","36.60777815","6.30774507","9.81","-","10.64","-","21.82","-","-","15.16",NA,NA,NA,NA,NA,NA
"914","SNNP","Amaya","June","2017","36.68000727","7.105541206","10.00","8.91","9.03","-","10.84","-","-","7.11",NA,NA,NA,NA,NA,NA
"915","SNNP","Shewa- Bench ","March","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","10.00","-","-","21.28"
"916","SNNP","Mizan- Teferi ","March","2017","35.41120174","6.883477024",NA,NA,NA,NA,NA,"-","-",NA,"10.66","-","8.00","-","-","16.00"
"917","SNNP","Deri","March","2017","36.28577951","7.384839762",NA,NA,NA,NA,NA,"-","-",NA,"13.64","-","13.64","-","-","14.71"
"918","SNNP","Amaro Kele ","March","2017","6.083333333","38.03333333",NA,NA,NA,NA,NA,"-","-",NA,"9.55","-","10.30","-","16.25","-"
"919","SNNP","Soyama","March","2017","5.7","37.88333333",NA,NA,NA,NA,NA,"-","-",NA,"10.58","10.62","9.25","10.53","-","-"
"920","SNNP","Karate","March","2017","5.25","37.48333333",NA,NA,NA,NA,NA,"-","-",NA,"9.79","-","-","-","-","-"
