"","Region","Market","Month","Year","Longitude","Latitude","pkg.mai.maize","pkg.mai.millm"
"1263","Tigray","Adwa","February",2018,38.88818805,14.14845458,8.5,NA
"1264","Tigray","Axum","February",2018,38.71879888,14.11130791,8.15,NA
"1265","Tigray","Adigrat","February",2018,39.46033457,14.26667752,8.25,NA
"1266","Tigray","Wukiro","February",2018,39.599747,13.796083,7.5,12.6
"1267","Tigray","Mai- Chew ","February",2018,39.541533,12.78792086,8.97,10.06
"1268","Tigray","Mekelle","February",2018,39.47221911,13.48719005,8,NA
"1269","Afar","Ayisaeta","February",2018,41.43333,11.56667,7.48,11
"1270","Afar","Semera Logia ","February",2018,NA,NA,8,NA
"1271","Afar","Melka Werers ","February",2018,40.18154914,9.340880502,10,11
"1272","Afar","Sebat Killo ","February",2018,8.983333333,40.16666667,10,NA
"1273","Tigray","Enda- Silase ","January",2018,38.27211005,14.08944251,7.64,NA
"1274","Tigray","Enda- Baguna ","January",2018,38.19317204,13.97860867,5.54,NA
"1275","Tigray","Adwa","January",2018,38.88818805,14.14845458,8.5,NA
"1276","Tigray","Axum","January",2018,38.71879888,14.11130791,8.26,NA
"1277","Tigray","Adigrat","January",2018,39.46033457,14.26667752,8,NA
"1278","Tigray","Wukiro","January",2018,39.599747,13.796083,7.5,12.6
"1279","Tigray","Mai- Chew ","January",2018,39.541533,12.78792086,9.27,NA
"1280","Tigray","Mekelle","January",2018,39.47221911,13.48719005,7,NA
"1281","Afar","Ayisaeta","January",2018,41.43333,11.56667,8,11
"1282","Afar","Semera Logia ","January",2018,NA,NA,10,11
"1283","Afar","Melka Werers ","January",2018,40.18154914,9.340880502,10,11.25
"1284","Afar","Sebat Killo ","January",2018,8.983333333,40.16666667,8.49,NA
"1285","Tigray","Enda- Silase ","July",2017,38.27211005,14.08944251,7.53,12
"1286","Tigray","Enda- Baguna ","July",2017,38.19317204,13.97860867,7.2,NA
"1287","Tigray","Adwa","July",2017,38.88818805,14.14845458,6.5,NA
"1288","Tigray","Axum","July",2017,38.71879888,14.11130791,8.2,NA
"1289","Tigray","Adigrat","July",2017,39.46033457,14.26667752,7.75,NA
"1290","Tigray","Wukiro","July",2017,39.599747,13.796083,8.5,11.02
"1291","Tigray","Mai- Chew ","July",2017,39.541533,12.78792086,8.02,9.08
"1292","Tigray","Mekelle","July",2017,39.47221911,13.48719005,8,NA
"1293","Afar","Ayisaeta","July",2017,41.43333,11.56667,5.24,NA
"1294","Afar","Dubti","July",2017,41.08260323,11.72765333,6,8
"1295","Afar","Melka Werers ","July",2017,40.18154914,9.340880502,8.75,9.75
"1296","Afar","Sebat Killo ","July",2017,8.983333333,40.16666667,8,NA
"1297","Tigray","Enda- Silase ","June",2018,38.27211005,14.08944251,7.67,NA
"1298","Tigray","Enda- Baguna ","June",2018,38.19317204,13.97860867,7.86,NA
"1299","Tigray","Adwa","June",2018,38.88818805,14.14845458,8.5,NA
"1300","Tigray","Axum","June",2018,38.71879888,14.11130791,8.1,NA
"1301","Tigray","Adigrat","June",2018,39.46033457,14.26667752,8.25,NA
"1302","Tigray","Wukiro","June",2018,39.599747,13.796083,8,12.4
"1303","Tigray","Mai- Chew ","June",2018,39.541533,12.78792086,9.52,13.23
"1304","Tigray","Mekelle","June",2018,39.47221911,13.48719005,8.75,NA
"1305","Afar","Ayisaeta","June",2018,41.43333,11.56667,6,11.49
"1306","Afar","Semera Logia ","June",2018,NA,NA,8,NA
"1307","Afar","Melka Werers ","June",2018,40.18154914,9.340880502,9.49,10.49
"1308","Afar","Sebat Killo ","June",2018,8.983333333,40.16666667,8,NA
"1309","Tigray","Enda- Silase ","March",2018,38.27211005,14.08944251,7.79,NA
"1310","Tigray","Enda- Baguna ","March",2018,38.19317204,13.97860867,8.57,NA
"1311","Tigray","Adwa","March",2018,38.88818805,14.14845458,7.55,NA
"1312","Tigray","Axum","March",2018,38.71879888,14.11130791,NA,NA
