"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"17","AMHARA","Gondar","April","2017","37.46149667","12.59878688","4.38","11.25","-","9.00","-","36.47","-","-","35.50","16.00","-",NA,NA,NA,NA,NA
"18","AMHARA","Esete","April","2017","37.88657423","10.92298692","4.27","8.26","-","7.67","-","16.00","-","-","40.00","11.05","-",NA,NA,NA,NA,NA
"19","AMHARA","Debre- Tabor ","April","2017","38.00833967","11.84769551","4.36","13.49","-","8.09","-","34.50","-","-","40.00","-","-",NA,NA,NA,NA,NA
"20","AMHARA","Kobo","April","2017","39.63127424","12.16406542","3.50","9.88","-","14.29","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"21","AMHARA","Weldiya","April","2017","39.6014117","11.82360232","4.38","9.59","-","11.63","-","45.50","-","-","-","24.40","-",NA,NA,NA,NA,NA
"22","AMHARA","Kombolcha","April","2017","39.73724188","11.07807805","4.80","8.62","-","11.43","17.98","42.00","-","-","-","52.71","-",NA,NA,NA,NA,NA
"23","AMHARA","Dessie","April","2017","39.63548793","11.11703902","4.55","6.24","-","6.00","12.00","42.00","-","-","-","22.23","-",NA,NA,NA,NA,NA
"24","AMHARA","Shewa- Robit ","April","2017","39.90269733","10.00580856","5.03","10.83","-","12.66","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"25","AMHARA","Debre-¦","April","2017","39.52890047","9.67650294","4.78","8.50","7.75","-","-","-","-","-","28.00","31.55","-",NA,NA,NA,NA,NA
"26","AMHARA","Chuahit","August","2016","39.311961","10.643157",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.41","-"
"27","AMHARA","Gondar","August","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.33","-","-","4.38","15.00"
