"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1223","TIGRAY","Mekelle","July","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"12.16","-","13.00","4.55","-"
"1224","AFAR","Ayisaeta","July","2016","41.43333","11.56667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"16.00","-","-","5.60","-"
"1225","AFAR","Dubti","July","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"14.00","-","-","-","-"
"1226","AFAR","Melka Werers ","July","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.66","-","-","3.76","16.51"
"1227","AFAR","Sebat killo ","July","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.60","-","-","-","19.31"
"1228","TIGRAY","Enda- silase ","June","2017","38.27211005","14.08944251","4.31","13.44","-","7.05","30.98","32.00","-","-","33.47","-","27.39",NA,NA,NA,NA,NA
"1229","TIGRAY","Enda- baguna ","June","2017","38.19317204","13.97860867","4.38","12.50","-","-","-","-","-","-","30.00","-","-",NA,NA,NA,NA,NA
"1230","TIGRAY","Adwa","June","2017","38.88818805","14.14845458","4.38","8.00","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"1231","TIGRAY","Axum","June","2017","38.71879888","14.11130791","4.38","9.06","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"1232","TIGRAY","Adigrat","June","2017","39.46033457","14.26667752","4.55","8.75","-","7.25","-","-","-","-","30.00","-","-",NA,NA,NA,NA,NA
"1233","TIGRAY","Wukiro","June","2017","39.599747","13.796083","3.85","8.00","-","8.76","-","-","-","-","35.00","29.73","-",NA,NA,NA,NA,NA
"1234","TIGRAY","Mai- chew ","June","2017","39.541533","12.78792086","3.92","8.01","-","11.28","-","50.00","6.96","-","-","25.40","-",NA,NA,NA,NA,NA
