"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.bread","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.shaja","pkg.wht.unshe","pkg.wht.millw","pkg.wht.millm","pkg.wht.milla","pkg.wht.maltw","pkg.wht.pbula","pkg.wht.allwh"
"2","ADDIS","addis ababa","April",2017,38.793806,9.023748,4.34,12,NA,14,NA,35,NA,NA,40,23.96,NA,12
"4","ADDIS","addis ababa","April",2017,38.793806,9.023748,4.34,12,NA,14,NA,35,NA,NA,40,23.96,NA,12
"5","ADDIS","addis ababa","August",2016,38.793806,9.023748,4.57,12.49,NA,14,NA,NA,NA,NA,NA,29.19,NA,12.49
"6","ADDIS","addis ababa","December",2016,38.793806,9.023748,4.51,12.645,NA,13.97,NA,NA,NA,NA,NA,26.325,NA,12.645
"7","ADDIS","addis ababa","February",2017,38.793806,9.023748,4.395,12,NA,13.66,NA,NA,NA,NA,NA,27.01,NA,12
"8","ADDIS","addis ababa","January",2017,38.793806,9.023748,4.54,11.985,NA,13.495,NA,NA,NA,NA,NA,29.95,NA,11.985
"9","ADDIS","addis ababa","July",2016,38.793806,9.023748,4.465,12.49,NA,13.66,NA,NA,NA,NA,NA,29.425,NA,12.49
"10","ADDIS","addis ababa","June",2017,38.793806,9.023748,4.62,12.245,NA,14.245,NA,34.495,NA,NA,40.495,27.7,50,12.245
"11","ADDIS","addis ababa","March",2017,38.793806,9.023748,4.575,12.16,NA,13.485,NA,NA,NA,NA,NA,24.48,NA,12.16
"12","ADDIS","addis ababa","May",2017,38.793806,9.023748,4.62,12.245,NA,14.245,NA,34.495,NA,NA,40.495,27.7,50,12.245
"13","ADDIS","addis ababa","November",2016,38.793806,9.023748,4.52,11.99,NA,13.705,NA,NA,NA,NA,NA,32.245,NA,11.99
"14","ADDIS","addis ababa","October",2016,38.793806,9.023748,4.475,12.33,NA,14,NA,NA,NA,NA,NA,29.575,NA,12.33
"15","ADDIS","addis ababa","September",2016,38.793806,9.023748,4.585,13,NA,14,NA,NA,NA,NA,NA,28.95,NA,13
"16","AMHARA","Chuahit","April",2017,39.311961,10.643157,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
