"","Region","Market","Month","Year","Longitude","Latitude","pkg.mai.maize","pkg.mai.millm"
"2","Addis","Addis Ababa","December",2014,38.793806,9.023748,7.41,9
"4","Addis","Addis Ababa","January",2015,38.793806,9.023748,7.56,11
"5","Addis","Addis Ababa","July",2014,38.793806,9.023748,7.495,9
"6","Addis","Addis Ababa","June",2015,38.793806,9.023748,7.32,NA
"7","Addis","Addis Ababa","March",2015,38.793806,9.023748,7.15,10
"8","Addis","Addis Ababa","May",2015,38.793806,9.023748,7,NA
"9","Addis","Addis Ababa","November",2014,38.793806,9.023748,7.48,9
"10","Addis","Addis Ababa","October",2014,38.793806,9.023748,7.74,9
"12","Addis","Addis Ababa","September",2014,38.793806,9.023748,7.74,8.83
"13","Amhara","Chuahit","August",2014,39.311961,10.643157,5.5,NA
"14","Amhara","Gondar","August",2014,37.46149667,12.59878688,6,NA
"15","Amhara","Esete","August",2014,37.88657423,10.92298692,6.44,NA
"16","Amhara","Debre- Tabor ","August",2014,38.00833967,11.84769551,6.21,NA
"17","Amhara","Kobo","August",2014,39.63127424,12.16406542,6.04,NA
"18","Amhara","Weldiya","August",2014,39.6014117,11.82360232,7.2,NA
"19","Amhara","Kombolcha","August",2014,39.73724188,11.07807805,6.38,NA
"20","Amhara","Dessie","August",2014,39.63548793,11.11703902,6.37,NA
"21","Amhara","Shewa- Robit ","August",2014,39.90269733,10.00580856,6.15,NA
"22","Amhara","Debre-¦","August",2014,39.52890047,9.67650294,6,NA
"23","Amhara","Chuahit","December",2014,39.311961,10.643157,4.2,NA
"24","Amhara","Gondar","December",2014,37.46149667,12.59878688,5,NA
"25","Amhara","Esete","December",2014,37.88657423,10.92298692,5.88,NA
"26","Amhara","Debre- Tabor ","December",2014,38.00833967,11.84769551,5.73,NA
"27","Amhara","Kobo","December",2014,39.63127424,12.16406542,3.67,NA
"28","Amhara","Weldiya","December",2014,39.6014117,11.82360232,6.4,NA
"29","Amhara","Kombolcha","December",2014,39.73724188,11.07807805,6.16,NA
"30","Amhara","Dessie","December",2014,39.63548793,11.11703902,5.95,10
"31","Amhara","Shewa- Robit ","December",2014,39.90269733,10.00580856,4.5,NA
"32","Amhara","Debre-¦","December",2014,39.52890047,9.67650294,5,NA
"33","Amhara","Chuahit","February",2015,39.311961,10.643157,4.5,NA
"34","Amhara","Gondar","February",2015,37.46149667,12.59878688,5,NA
"35","Amhara","Esete","February",2015,37.88657423,10.92298692,5.92,NA
"36","Amhara","Debre- Tabor ","February",2015,38.00833967,11.84769551,5.15,NA
"37","Amhara","Kobo","February",2015,39.63127424,12.16406542,3.98,NA
"38","Amhara","Weldiya","February",2015,39.6014117,11.82360232,6.4,NA
"39","Amhara","Kombolcha","February",2015,39.73724188,11.07807805,NA,NA
"40","Amhara","Dessie","February",2015,39.63548793,11.11703902,5.86,NA
"41","Amhara","Shewa- Robit ","February",2015,39.90269733,10.00580856,5.19,NA
"42","Amhara","Debre-¦","February",2015,39.52890047,9.67650294,5,NA
"43","Amhara","Chuahit","January",2015,39.311961,10.643157,4.28,NA
"44","Amhara","Gondar","January",2015,37.46149667,12.59878688,5,NA
"45","Amhara","Esete","January",2015,37.88657423,10.92298692,5.62,NA
"46","Amhara","Debre- Tabor ","January",2015,38.00833967,11.84769551,5.37,NA
"47","Amhara","Kobo","January",2015,39.63127424,12.16406542,4.38,NA
"48","Amhara","Weldiya","January",2015,39.6014117,11.82360232,5.6,NA
"49","Amhara","Kombolcha","January",2015,39.73724188,11.07807805,5.85,NA
"50","Amhara","Dessie","January",2015,39.63548793,11.11703902,5.97,NA
"51","Amhara","Shewa- Robit ","January",2015,39.90269733,10.00580856,5.17,NA
"52","Amhara","Debre-¦","January",2015,39.52890047,9.67650294,5,NA
"53","Amhara","Chuahit","July",2014,39.311961,10.643157,6,NA
"54","Amhara","Gondar","July",2014,37.46149667,12.59878688,6,NA
"55","Amhara","Esete","July",2014,37.88657423,10.92298692,6.49,NA
"56","Amhara","Debre- Tabor ","July",2014,38.00833967,11.84769551,6.28,NA
"57","Amhara","Kobo","July",2014,39.63127424,12.16406542,6.23,NA
"58","Amhara","Weldiya","July",2014,39.6014117,11.82360232,6.8,NA
"59","Amhara","Kombolcha","July",2014,39.73724188,11.07807805,5.82,NA
"60","Amhara","Dessie","July",2014,39.63548793,11.11703902,5.98,16
"61","Amhara","Shewa- Robit ","July",2014,39.90269733,10.00580856,6.72,NA
"62","Amhara","Debre-¦","July",2014,39.52890047,9.67650294,6.5,NA
"63","Amhara","Chuahit","June",2015,39.311961,10.643157,4.5,NA
"64","Amhara","Gondar","June",2015,37.46149667,12.59878688,5,NA
"65","Amhara","Esete","June",2015,37.88657423,10.92298692,5.69,NA
"66","Amhara","Debre- Tabor ","June",2015,38.00833967,11.84769551,5.19,NA
"67","Amhara","Kobo","June",2015,39.63127424,12.16406542,5.17,NA
"68","Amhara","Weldiya","June",2015,39.6014117,11.82360232,5.63,NA
"69","Amhara","Kombolcha","June",2015,39.73724188,11.07807805,5.84,NA
"70","Amhara","Dessie","June",2015,39.63548793,11.11703902,5.53,NA
"71","Amhara","Shewa- Robit ","June",2015,39.90269733,10.00580856,5.91,NA
"72","Amhara","Debre-¦","June",2015,39.52890047,9.67650294,6,NA
"73","Amhara","Chuahit","March",2015,39.311961,10.643157,4.67,NA
"74","Amhara","Gondar","March",2015,37.46149667,12.59878688,5,NA
"75","Amhara","Esete","March",2015,37.88657423,10.92298692,5.72,NA
"76","Amhara","Debre- Tabor ","March",2015,38.00833967,11.84769551,5.15,NA
"77","Amhara","Kobo","March",2015,39.63127424,12.16406542,4.24,NA
"78","Amhara","Weldiya","March",2015,39.6014117,11.82360232,5.65,NA
"79","Amhara","Kombolcha","March",2015,39.73724188,11.07807805,NA,NA
"80","Amhara","Dessie","March",2015,39.63548793,11.11703902,5.85,NA
"81","Amhara","Shewa- Robit ","March",2015,39.90269733,10.00580856,5.3,NA
"82","Amhara","Debre-¦","March",2015,39.52890047,9.67650294,5.24,NA
"83","Amhara","Chuahit","May",2015,39.311961,10.643157,5,NA
"84","Amhara","Gondar","May",2015,37.46149667,12.59878688,5,NA
"85","Amhara","Esete","May",2015,37.88657423,10.92298692,5.84,NA
"86","Amhara","Debre- Tabor ","May",2015,38.00833967,11.84769551,5.15,NA
"87","Amhara","Kobo","May",2015,39.63127424,12.16406542,4.24,NA
"88","Amhara","Weldiya","May",2015,39.6014117,11.82360232,5.6,NA
"89","Amhara","Kombolcha","May",2015,39.73724188,11.07807805,5.34,NA
"90","Amhara","Dessie","May",2015,39.63548793,11.11703902,5.83,NA
"91","Amhara","Shewa- Robit ","May",2015,39.90269733,10.00580856,7.6,NA
"92","Amhara","Debre-¦","May",2015,39.52890047,9.67650294,5,NA
"93","Amhara","Chuahit","November",2014,39.311961,10.643157,4.5,NA
"94","Amhara","Gondar","November",2014,37.46149667,12.59878688,5,NA
"95","Amhara","Esete","November",2014,37.88657423,10.92298692,5.79,NA
"96","Amhara","Debre- Tabor ","November",2014,38.00833967,11.84769551,5.43,NA
"97","Amhara","Kobo","November",2014,39.63127424,12.16406542,5.01,NA
"98","Amhara","Weldiya","November",2014,39.6014117,11.82360232,6.4,NA
"99","Amhara","Kombolcha","November",2014,39.73724188,11.07807805,5.93,NA
"100","Amhara","Dessie","November",2014,39.63548793,11.11703902,6.04,16
"101","Amhara","Shewa- Robit ","November",2014,39.90269733,10.00580856,6.17,NA
"102","Amhara","Debre-¦","November",2014,39.52890047,9.67650294,5,NA
"103","Amhara","Chuahit","October",2014,39.311961,10.643157,5,NA
"104","Amhara","Gondar","October",2014,37.46149667,12.59878688,5.6,NA
"105","Amhara","Esete","October",2014,37.88657423,10.92298692,7.07,NA
"106","Amhara","Debre- Tabor ","October",2014,38.00833967,11.84769551,5.95,NA
"107","Amhara","Kobo","October",2014,39.63127424,12.16406542,5.83,NA
"108","Amhara","Weldiya","October",2014,39.6014117,11.82360232,7.86,NA
"109","Amhara","Kombolcha","October",2014,39.73724188,11.07807805,5.85,NA
"110","Amhara","Dessie","October",2014,39.63548793,11.11703902,6.13,16
"111","Amhara","Shewa- Robit ","October",2014,39.90269733,10.00580856,6.12,NA
"112","Amhara","Debre-¦","October",2014,39.52890047,9.67650294,5.5,NA
"123","Amhara","Chuahit","September",2014,39.311961,10.643157,5.22,NA
"124","Amhara","Gondar","September",2014,37.46149667,12.59878688,6,NA
"125","Amhara","Esete","September",2014,37.88657423,10.92298692,6.66,NA
"126","Amhara","Debre- Tabor ","September",2014,38.00833967,11.84769551,6.18,NA
"127","Amhara","Kobo","September",2014,39.63127424,12.16406542,5.93,NA
"128","Amhara","Weldiya","September",2014,39.6014117,11.82360232,6.8,NA
"129","Amhara","Kombolcha","September",2014,39.73724188,11.07807805,6.06,NA
"130","Amhara","Dessie","September",2014,39.63548793,11.11703902,5.89,16
"131","Amhara","Shewa- Robit ","September",2014,39.90269733,10.00580856,6.79,NA
"132","Amhara","Debre-¦","September",2014,39.52890047,9.67650294,6.16,NA
"133","Amhara","Mota","August",2014,37.8807432,11.07475582,5.8,NA
"134","Amhara","Debre- Markos ","August",2014,37.72636868,10.33641293,6.36,NA
"135","Amhara","Dembecha","August",2014,37.48251554,10.56669266,5.64,NA
"136","Amhara","Bahir- Dar ","August",2014,37.3815488,11.58416449,5.93,NA
"137","Amhara","Sekota","August",2014,39.03355257,12.62479803,6.93,NA
"138","Amhara","Amde Work ","August",2014,38.85815043,12.45920199,7.41,NA
"139","Amhara","Danigla","August",2014,36.83153176,11.25223153,5.43,NA
"140","Amhara","Chagni","August",2014,36.50793596,10.95196565,5.5,NA
"141","Amhara","Kemise","August",2014,39.85696873,10.71374234,4.89,NA
"142","Amhara","Bati","August",2014,40.0181327,11.19153266,6.15,NA
"143","Amhara","Mota","December",2014,37.8807432,11.07475582,3.73,NA
"144","Amhara","Debre- Markos ","December",2014,37.72636868,10.33641293,5.8,NA
"145","Amhara","Dembecha","December",2014,37.48251554,10.56669266,4.57,NA
"146","Amhara","Bahir- Dar ","December",2014,37.3815488,11.58416449,5.24,NA
"147","Amhara","Sekota","December",2014,39.03355257,12.62479803,6.37,NA
"148","Amhara","Amde Work ","December",2014,38.85815043,12.45920199,7.4,NA
"149","Amhara","Danigla","December",2014,36.83153176,11.25223153,4.21,NA
"150","Amhara","Chagni","December",2014,36.50793596,10.95196565,4,NA
"151","Amhara","Kemise","December",2014,39.85696873,10.71374234,5.2,NA
"152","Amhara","Bati","December",2014,40.0181327,11.19153266,5.69,NA
"153","Amhara","Mota","February",2015,37.8807432,11.07475582,3.73,NA
"154","Amhara","Debre- Markos ","February",2015,37.72636868,10.33641293,5.21,NA
"155","Amhara","Dembecha","February",2015,37.48251554,10.56669266,4.22,NA
"156","Amhara","Bahir- Dar ","February",2015,37.3815488,11.58416449,5.65,NA
"157","Amhara","Sekota","February",2015,39.03355257,12.62479803,5.85,NA
"158","Amhara","Amde Work ","February",2015,38.85815043,12.45920199,7.7,NA
"159","Amhara","Danigla","February",2015,36.83153176,11.25223153,4.1,NA
"160","Amhara","Chagni","February",2015,36.50793596,10.95196565,4,NA
"161","Amhara","Kemise","February",2015,39.85696873,10.71374234,5.34,NA
"162","Amhara","Bati","February",2015,40.0181327,11.19153266,5.17,NA
"163","Amhara","Mota","January",2015,37.8807432,11.07475582,3.19,NA
"164","Amhara","Debre- Markos ","January",2015,37.72636868,10.33641293,5.06,NA
"165","Amhara","Dembecha","January",2015,37.48251554,10.56669266,4.27,NA
"166","Amhara","Bahir- Dar ","January",2015,37.3815488,11.58416449,5.65,NA
"167","Amhara","Sekota","January",2015,39.03355257,12.62479803,5.77,NA
"168","Amhara","Amde Work ","January",2015,38.85815043,12.45920199,7.52,NA
"169","Amhara","Danigla","January",2015,36.83153176,11.25223153,4.16,NA
"170","Amhara","Chagni","January",2015,36.50793596,10.95196565,4.5,NA
"171","Amhara","Kemise","January",2015,39.85696873,10.71374234,6.57,NA
"172","Amhara","Bati","January",2015,40.0181327,11.19153266,5.3,NA
"173","Amhara","Mota","July",2014,37.8807432,11.07475582,5.62,NA
"174","Amhara","Debre- Markos ","July",2014,37.72636868,10.33641293,6.33,NA
"175","Amhara","Dembecha","July",2014,37.48251554,10.56669266,5.62,NA
"176","Amhara","Bahir- Dar ","July",2014,37.3815488,11.58416449,6,NA
"177","Amhara","Sekota","July",2014,39.03355257,12.62479803,6.85,NA
"178","Amhara","Amde Work ","July",2014,38.85815043,12.45920199,8.52,NA
"179","Amhara","Danigla","July",2014,36.83153176,11.25223153,5.33,NA
"180","Amhara","Chagni","July",2014,36.50793596,10.95196565,5.5,NA
"181","Amhara","Kemise","July",2014,39.85696873,10.71374234,5.74,NA
"182","Amhara","Bati","July",2014,40.0181327,11.19153266,6.06,NA
"183","Amhara","Mota","June",2015,37.8807432,11.07475582,4.23,NA
"184","Amhara","Debre- Markos ","June",2015,37.72636868,10.33641293,5,NA
"185","Amhara","Dembecha","June",2015,37.48251554,10.56669266,4.68,NA
"186","Amhara","Bahir- Dar ","June",2015,37.3815488,11.58416449,4.67,NA
"187","Amhara","Sekota","June",2015,39.03355257,12.62479803,5.79,NA
"188","Amhara","Amde Work ","June",2015,38.85815043,12.45920199,7.41,NA
"189","Amhara","Danigla","June",2015,36.83153176,11.25223153,4.33,NA
"190","Amhara","Chagni","June",2015,36.50793596,10.95196565,4.5,NA
"191","Amhara","Kemise","June",2015,39.85696873,10.71374234,3.05,NA
"192","Amhara","Bati","June",2015,40.0181327,11.19153266,6.17,NA
"193","Amhara","Mota","March",2015,37.8807432,11.07475582,4.01,NA
"194","Amhara","Debre- Markos ","March",2015,37.72636868,10.33641293,5.04,NA
"195","Amhara","Dembecha","March",2015,37.48251554,10.56669266,4.09,NA
"196","Amhara","Bahir- Dar ","March",2015,37.3815488,11.58416449,4.76,NA
"197","Amhara","Sekota","March",2015,39.03355257,12.62479803,5.86,NA
"198","Amhara","Amde Work ","March",2015,38.85815043,12.45920199,7.03,NA
"199","Amhara","Danigla","March",2015,36.83153176,11.25223153,4.27,NA
"200","Amhara","Chagni","March",2015,36.50793596,10.95196565,4,NA
"201","Amhara","Kemise","March",2015,39.85696873,10.71374234,5.18,NA
"202","Amhara","Bati","March",2015,40.0181327,11.19153266,5.27,NA
"203","Amhara","Mota","May",2015,37.8807432,11.07475582,3.66,NA
"204","Amhara","Debre- Markos ","May",2015,37.72636868,10.33641293,4.65,NA
"205","Amhara","Dembecha","May",2015,37.48251554,10.56669266,3.91,NA
"206","Amhara","Bahir- Dar ","May",2015,37.3815488,11.58416449,5.94,NA
"207","Amhara","Sekota","May",2015,39.03355257,12.62479803,5.93,NA
"208","Amhara","Amde Work ","May",2015,38.85815043,12.45920199,7.89,NA
"209","Amhara","Danigla","May",2015,36.83153176,11.25223153,4.09,NA
"210","Amhara","Chagni","May",2015,36.50793596,10.95196565,4,NA
"211","Amhara","Kemise","May",2015,39.85696873,10.71374234,5.8,NA
"212","Amhara","Bati","May",2015,40.0181327,11.19153266,4.91,NA
"213","Amhara","Mota","November",2014,37.8807432,11.07475582,5.22,NA
"214","Amhara","Debre- Markos ","November",2014,37.72636868,10.33641293,5.92,NA
"215","Amhara","Dembecha","November",2014,37.48251554,10.56669266,4.86,NA
"216","Amhara","Bahir- Dar ","November",2014,37.3815488,11.58416449,4.93,NA
"217","Amhara","Sekota","November",2014,39.03355257,12.62479803,6.47,NA
"218","Amhara","Amde Work ","November",2014,38.85815043,12.45920199,7.65,NA
"219","Amhara","Danigla","November",2014,36.83153176,11.25223153,4.25,NA
"220","Amhara","Chagni","November",2014,36.50793596,10.95196565,4.43,NA
"221","Amhara","Kemise","November",2014,39.85696873,10.71374234,5.02,NA
"222","Amhara","Bati","November",2014,40.0181327,11.19153266,5.76,NA
"223","Amhara","Mota","October",2014,37.8807432,11.07475582,5.11,NA
"224","Amhara","Debre- Markos ","October",2014,37.72636868,10.33641293,5.87,NA
"225","Amhara","Dembecha","October",2014,37.48251554,10.56669266,5.12,NA
"226","Amhara","Bahir- Dar ","October",2014,37.3815488,11.58416449,5.93,NA
"227","Amhara","Sekota","October",2014,39.03355257,12.62479803,6.66,NA
"228","Amhara","Amde Work ","October",2014,38.85815043,12.45920199,8.57,NA
"229","Amhara","Danigla","October",2014,36.83153176,11.25223153,5.14,NA
"230","Amhara","Chagni","October",2014,36.50793596,10.95196565,4.66,NA
"231","Amhara","Kemise","October",2014,39.85696873,10.71374234,8.84,NA
"232","Amhara","Bati","October",2014,40.0181327,11.19153266,6.23,NA
"243","Amhara","Mota","September",2014,37.8807432,11.07475582,5.11,NA
"244","Amhara","Debre- Markos ","September",2014,37.72636868,10.33641293,6.21,NA
"245","Amhara","Dembecha","September",2014,37.48251554,10.56669266,5.33,NA
"246","Amhara","Bahir- Dar ","September",2014,37.3815488,11.58416449,6.49,NA
"247","Amhara","Sekota","September",2014,39.03355257,12.62479803,7.06,NA
"248","Amhara","Amde Work ","September",2014,38.85815043,12.45920199,8.07,NA
"249","Amhara","Danigla","September",2014,36.83153176,11.25223153,5.97,NA
"250","Amhara","Chagni","September",2014,36.50793596,10.95196565,4.83,NA
"251","Amhara","Kemise","September",2014,39.85696873,10.71374234,6.19,NA
"252","Amhara","Bati","September",2014,40.0181327,11.19153266,6.1,NA
"253","Gambella","Gambella","August",2014,34.58547076,8.249396585,6,7
"254","Gambella","Shebo- Kire ","August",2014,NA,NA,5.12,NA
"255","Gambella","Meti","August",2014,7.233333333,35.31666667,6,NA
"256","Diredawa","Dire Dawa ","August",2014,41.8572763,9.593652332,7.32,8
"257","Diredawa","Melka- Jebdu ","August",2014,41.77420401,9.617496554,8,NA
"258","Gambella","Gambella","December",2014,34.58547076,8.249396585,5,7
"259","Gambella","Shebo- Kire ","December",2014,NA,NA,4.09,NA
"260","Gambella","Meti","December",2014,7.233333333,35.31666667,3.83,NA
"261","Diredawa","Dire Dawa ","December",2014,41.8572763,9.593652332,7.05,8
"262","Diredawa","Melka- Jebdu ","December",2014,41.77420401,9.617496554,6.66,NA
"263","Gambella","Gambella","February",2015,34.58547076,8.249396585,4.83,7
"264","Gambella","Shebo- Kire ","February",2015,NA,NA,4.38,NA
"265","Gambella","Meti","February",2015,7.233333333,35.31666667,4,5
"266","Diredawa","Dire Dawa ","February",2015,41.8572763,9.593652332,6.83,8
"267","Diredawa","Melka- Jebdu ","February",2015,41.77420401,9.617496554,6,NA
"268","Gambella","Gambella","January",2015,34.58547076,8.249396585,5,7
"269","Gambella","Shebo- Kire ","January",2015,NA,NA,4.08,NA
"270","Gambella","Meti","January",2015,7.233333333,35.31666667,6,NA
"271","Diredawa","Dire Dawa ","January",2015,41.8572763,9.593652332,7.07,8
"272","Diredawa","Melka- Jebdu ","January",2015,41.77420401,9.617496554,6.65,NA
"273","Gambella","Gambella","July",2014,34.58547076,8.249396585,6,NA
"274","Gambella","Shebo- Kire ","July",2014,NA,NA,6.38,NA
"275","Gambella","Meti","July",2014,7.233333333,35.31666667,7,NA
"276","Diredawa","Dire Dawa ","July",2014,41.8572763,9.593652332,7.32,8.12
"277","Diredawa","Melka- Jebdu ","July",2014,41.77420401,9.617496554,7.32,NA
"278","Gambella","Gambella","June",2015,34.58547076,8.249396585,6,7
"279","Gambella","Shebo- Kire ","June",2015,NA,NA,5.5,NA
"280","Gambella","Meti","June",2015,7.233333333,35.31666667,5,6
"281","Diredawa","Dire Dawa ","June",2015,41.8572763,9.593652332,6.57,8.21
"282","Diredawa","Melka- Jebdu ","June",2015,41.77420401,9.617496554,7,NA
"283","Gambella","Gambella","March",2015,34.58547076,8.249396585,6,7
"284","Gambella","Shebo- Kire ","March",2015,NA,NA,5.05,NA
"285","Gambella","Meti","March",2015,7.233333333,35.31666667,3.5,NA
"286","Diredawa","Dire Dawa ","March",2015,41.8572763,9.593652332,6.91,7.5
"287","Diredawa","Melka- Jebdu ","March",2015,41.77420401,9.617496554,6.5,NA
"288","Gambella","Gambella","May",2015,34.58547076,8.249396585,5.31,7
"289","Gambella","Shebo- Kire ","May",2015,NA,NA,5.62,NA
"290","Gambella","Meti","May",2015,7.233333333,35.31666667,4,NA
"291","Diredawa","Dire Dawa ","May",2015,41.8572763,9.593652332,7.16,10
"292","Diredawa","Melka- Jebdu ","May",2015,41.77420401,9.617496554,6.5,NA
"293","Gambella","Gambella","November",2014,34.58547076,8.249396585,6.16,7
"294","Gambella","Shebo- Kire ","November",2014,NA,NA,5.34,NA
"295","Gambella","Meti","November",2014,7.233333333,35.31666667,3,NA
"296","Diredawa","Dire Dawa ","November",2014,41.8572763,9.593652332,7.39,8
"297","Diredawa","Melka- Jebdu ","November",2014,41.77420401,9.617496554,6.16,NA
"298","Gambella","Gambella","October",2014,34.58547076,8.249396585,6,7
"299","Gambella","Shebo- Kire ","October",2014,NA,NA,5.23,NA
"300","Gambella","Meti","October",2014,7.233333333,35.31666667,5,NA
"301","Diredawa","Dire Dawa ","October",2014,41.8572763,9.593652332,7.39,8
"302","Diredawa","Melka- Jebdu ","October",2014,41.77420401,9.617496554,7,NA
"308","Gambella","Gambella","September",2014,34.58547076,8.249396585,7,8
"309","Gambella","Shebo- Kire ","September",2014,NA,NA,5.23,NA
"310","Gambella","Meti","September",2014,7.233333333,35.31666667,5.66,NA
