"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.bread","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.shaja","pkg.wht.unshe","pkg.wht.millw","pkg.wht.millm","pkg.wht.milla","pkg.wht.maltw","pkg.wht.pbula","pkg.wht.allwh"
"2","Addis","Addis Ababa","April",2019,38.793806,9.023748,5.88,20,NA,23.745,27,31.2,NA,NA,57.5,42.47,NA,20
"4","Addis","Addis Ababa","April",2019,38.793806,9.023748,5.88,20,NA,23.745,27,31.2,NA,NA,57.5,42.47,NA,20
"5","Addis","Addis Ababa","August",2018,38.793806,9.023748,5.975,18.375,NA,22.245,NA,35,NA,NA,54.77,40.32,NA,18.375
"6","Addis","Addis Ababa","December",2018,38.793806,9.023748,5.62,19.23,NA,23,NA,30,20,NA,54.77,43.58,55,19.23
"7","Addis","Addis Ababa","February",2019,38.793806,9.023748,5.425,18.97,NA,23.735,NA,35,NA,NA,54.77,47.17,NA,18.97
"8","Addis","Addis Ababa","January",2019,38.793806,9.023748,5.085,19.49,NA,23.745,29,32.5,NA,NA,56.22,41.32,NA,19.49
"9","Addis","Addis Ababa","July",2018,38.793806,9.023748,5.92,18,NA,20,NA,35,18,NA,51.96,38.2,NA,18
"10","Addis","Addis Ababa","March",2019,38.793806,9.023748,6.58,19.5,NA,23.49,NA,35,19,NA,60,46.01,65,19.5
"11","Addis","Addis Ababa","May",2019,38.793806,9.023748,5.91,20,NA,22.945,38.99,32.5,NA,NA,54.77,46.625,NA,20
"12","Addis","Addis Ababa","November",2018,38.793806,9.023748,7.045,19.745,NA,22.97,NA,33.47,NA,NA,57.5,43.41,NA,19.745
"13","Addis","Addis Ababa","October",2018,38.793806,9.023748,5.395,19.365,NA,22.97,NA,32.32,NA,NA,50.98,49.01,NA,19.365
"14","Addis","Addis Ababa","September",2018,38.793806,9.023748,6.51,18.985,NA,20.49,NA,32.99,NA,NA,54.77,49.75,55,18.985
"15","Amhara","Chuahit","April",2019,39.311961,10.643157,7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Amhara","Gondar","April",2019,37.46149667,12.59878688,7.38,16.25,NA,NA,NA,35.5,NA,NA,45,NA,NA,16.25
"17","Amhara","Esete","April",2019,37.88657423,10.92298692,5.32,13.55,NA,12.58,NA,36,NA,NA,40,NA,NA,13.55
"18","Amhara","Debre- Tabor ","April",2019,38.00833967,11.84769551,6.26,16.72,NA,12.43,NA,28,NA,NA,40,25.88,NA,16.72
"19","Amhara","Kobo","April",2019,39.63127424,12.16406542,8.75,20,NA,20.78,NA,39.49,NA,NA,NA,NA,NA,20
"20","Amhara","Weldiya","April",2019,39.6014117,11.82360232,8.75,17.83,NA,20.24,NA,40,NA,NA,NA,39.22,NA,17.83
"21","Amhara","Kombolcha","April",2019,39.73724188,11.07807805,NA,14.75,NA,17.65,22.26,40,NA,NA,NA,NA,NA,14.75
"22","Amhara","Dessie","April",2019,39.63548793,11.11703902,NA,15.82,NA,14.56,19.45,40,NA,NA,NA,NA,NA,15.82
"23","Amhara","Shewa- Robit ","April",2019,39.90269733,10.00580856,NA,18.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.09
"24","Amhara","Debre-¦","April",2019,39.52890047,9.67650294,7.96,15,14,NA,NA,40,NA,NA,40,32.57,NA,15
"25","Amhara","Chuahit","August",2018,39.311961,10.643157,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Amhara","Gondar","August",2018,37.46149667,12.59878688,7.01,14.25,NA,NA,NA,33.99,NA,NA,45,21.49,NA,14.25
"27","Amhara","Esete","August",2018,37.88657423,10.92298692,4.17,15.3,NA,12.36,NA,35,NA,NA,40,16.38,NA,15.3
"28","Amhara","Debre- Tabor ","August",2018,38.00833967,11.84769551,NA,17.76,NA,12.4,NA,34.5,NA,NA,38.99,24.75,NA,17.76
"29","Amhara","Kobo","August",2018,39.63127424,12.16406542,7.47,16.56,NA,19.79,NA,NA,NA,NA,NA,NA,NA,16.56
"30","Amhara","Weldiya","August",2018,39.6014117,11.82360232,5.25,18.52,NA,19.18,NA,40,NA,NA,NA,24.4,NA,18.52
"31","Amhara","Kombolcha","August",2018,39.73724188,11.07807805,6,15.34,NA,NA,13.98,37,NA,NA,NA,NA,NA,15.34
"32","Amhara","Dessie","August",2018,39.63548793,11.11703902,NA,14.52,NA,12.85,13.09,40,NA,NA,NA,16.48,NA,14.52
"33","Amhara","Shewa- Robit ","August",2018,39.90269733,10.00580856,NA,18.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.41
