"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","P R I C E   I N    B I R R_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","P R I C E   I N    B I R R"
"2","ADDIS","addis ababa","AUGUST","2014","38.793806","9.023748","11.83","10","10.66","12",NA,NA,NA,"26.61"
"3","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","P R I C E   I N    B I R R"
"4","ADDIS","addis ababa","AUGUST","2014","38.793806","9.023748","11.83","10","10.66","12",NA,NA,NA,"26.61"
"5","ADDIS","addis ababa","DECEMBER","2014","38.793806","9.023748","12.23","11","12.32","12.49",NA,NA,NA,"28.665"
"6","ADDIS","addis ababa","FEBRUARY","2015","38.793806","9.023748","12.32","10.5","11.41","12.16",NA,NA,NA,"26.86"
"7","ADDIS","addis ababa","JANUARY","2015","38.793806","9.023748","12","10","12","12","30",NA,NA,"27.385"
"8","ADDIS","addis ababa","JULY","2014","38.793806","9.023748","12","10.16","11","12","18.97",NA,NA,"22.4"
"9","ADDIS","addis ababa","JUNE","2015","38.793806","9.023748","13","10.16","12","12.745","20",NA,NA,"30.83"
"10","ADDIS","addis ababa","MARCH","2015","38.793806","9.023748","12.16","10.32","11.33","12.32",NA,NA,NA,"28"
"11","ADDIS","addis ababa","MAY","2015","38.793806","9.023748","12.475","12","12","12.66","20",NA,NA,"30.6"
"12","ADDIS","addis ababa","NOVEMBER","2014","38.793806","9.023748","12.815","11.5","12.49","12.575","30",NA,NA,"23.6"
"13","ADDIS","addis ababa","OCTOBER","2014","38.793806","9.023748","12.49","11.32","12","12.49","25.325",NA,NA,"29.99"
"14","ADDIS","addis ababa","OCTOBER.doc","2014.doc","38.793806","9.023748","12.83","10.49","12","12.16","24.485",NA,NA,"28.22"
"15","ADDIS","addis ababa","SEPTEMBER","2014","38.793806","9.023748","12","11.49","12","12.32","21.91",NA,NA,"28.57"
"16","AMHARA","Chuahit","AUGUST","2014","39.311961","10.643157","-","7.50","-","-","-","-","-","12.12"
"17","AMHARA","Gondar","AUGUST","2014","37.46149667","12.59878688","11.33","-","-","-","16.00","-","-","-"
"18","AMHARA","Esete","AUGUST","2014","37.88657423","10.92298692","8.68","8.73","8.68","8.70","14.11","-","-","11.25"
"19","AMHARA","Debre- Tabor ","AUGUST","2014","38.00833967","11.84769551","-","7.63","7.32","-","13.16","-","-","13.68"
"20","AMHARA","Kobo","AUGUST","2014","39.63127424","12.16406542","9.49","9.11","-","-","-","-","-","21.82"
"21","AMHARA","Weldiya","AUGUST","2014","39.6014117","11.82360232","11.12","9.26","8.66","-","17.16","-","-","13.17"
"22","AMHARA","Kombolcha","AUGUST","2014","39.73724188","11.07807805","9.68","8.13","8.07","-","-","-","-","-"
"23","AMHARA","Dessie","AUGUST","2014","39.63548793","11.11703902","9.12","8.35","-","-","-","26.00","-","17.16"
