"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","01.1.1.2 UNMILLED CEREALS/GRAINS_Hulled Barley (Temez)"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA
"517","OROMIYA","Robe","October","2018","39.631104","7.860619","16.67","9.45","-","15.65","-","-","-","-",NA
"518","OROMIYA","Hagere- Mariam ","October","2018","38.23373735","5.63380625","14.00","-","12.00","18.00","-","-","-","16.67",NA
"519","OROMIYA","Negele- Borena ","October","2018","39.577385","5.33699","13.00","12.00","12.00","13.00","-","37.42","30.00","-",NA
"520","OROMIYA","Adama","September","2018","39.26941988","8.535362997","15.97","13.49","14.00","17.00","12.49","24.49","-","25.50",NA
"521","OROMIYA","Shashe- mene ","September","2018","38.608142","7.205388","14.00","14.00","15.00","16.00","-","-","-","26.98",NA
"522","OROMIYA","Diksise","September","2018","39.55824","8.059179","-","10.74","-","-","-","-","-","18.57",NA
"523","OROMIYA","Asella","September","2018","39.12972322","7.949589951","14.75","12.49","12.49","15.00","-","-","-","28.57",NA
"524","OROMIYA","Asebe- Teferi ","September","2018","40.86319806","9.072493603","17.49","13.00","15.00","18.00","-","-","-","39.69",NA
"525","OROMIYA","Bedessa","September","2018","40.77378712","8.902011546","17.49","-","-","-","-","-","-","-",NA
"526","OROMIYA","Haromaya","September","2018","42.01641123","9.379383214","18.00","-","-","18.00","-","-","-","-",NA
"527","OROMIYA","Boreda","September","2018","41.278686","9.331067","17.00","-","-","-","-","-","-","-",NA
"528","OROMIYA","Adaba","September","2018","39.3890878","7.004454253","12.49","10.67","-","12.42","-","-","-","-",NA
"529","OROMIYA","Robe","September","2018","39.631104","7.860619","16.53","10.81","-","15.93","-","-","-","-",NA
"530","OROMIYA","Hagere- Mariam ","September","2018","38.23373735","5.63380625","14.49","-","12.00","18.00","-","-","-","16.67",NA
"531","OROMIYA","Negele- Borena ","September","2018","39.577385","5.33699","13.00","13.00","-","14.00","-","35.00","30.00","-",NA
"532","SNNP","Welikite","April","2019","37.77266735","8.27732366","15.50","-","16.70","-",NA,"-","-","33.61","-"
"533","SNNP","Butajira","April","2019","38.42140499","8.173264069","16.15","13.77","16.46","16.26",NA,"-","-","20.20","-"
"534","SNNP","Hosahna","April","2019","37.84747123","7.538579317","17.25","15.00","16.25","-",NA,"-","-","14.29","-"
"535","SNNP","Shone","April","2019","37.94869425","7.134857075","17.00","-","12.00","-",NA,"-","-","28.57","-"
"536","SNNP","Doyugena","April","2019","37.78333","7.33333","14.00","13.00","14.00","14.00",NA,"-","-","15.96","-"
"537","SNNP","Alaba","April","2019","38.086143","7.311546","17.49","-","16.00","-",NA,"-","-","15.52","-"
"538","SNNP","Awasa","April","2019","38.474819","7.058624","20.00","-","17.00","20.00",NA,"-","-","-","-"
"539","SNNP","Hagere- Selam ","April","2019","38.51921184","6.513880636","10.77","-","-","-",NA,"-","-","12.50","-"
"540","SNNP","Dilla","April","2019","38.30745962","6.410516676","17.00","-","-","15.00",NA,"-","-","-","-"
"541","SNNP","Yirega-¦ chefie ","April","2019","38.1988827","6.16095383","-","14.00","-","16.00",NA,"-","-","-","-"
"542","SNNP","Welikite","August","2018","37.77266735","8.27732366","16.85","-","17.10","-","-","-","-","31.18",NA
"543","SNNP","Butajira","August","2018","38.42140499","8.173264069","12.55","13.67","15.16","15.32","-","-","-","19.76",NA
"544","SNNP","Hosahna","August","2018","37.84747123","7.538579317","17.75","15.00","17.00","-","-","-","-","14.82",NA
"545","SNNP","Shone","August","2018","37.94869425","7.134857075","17.00","-","16.00","-","-","-","-","29.89",NA
"546","SNNP","Doyugena","August","2018","37.78333","7.33333","14.00","14.00","14.00","14.00","-","-","-","17.85",NA
"547","SNNP","Alaba","August","2018","38.086143","7.311546","17.00","-","15.00","-","-","-","-","-",NA
"548","SNNP","Awasa","August","2018","38.474819","7.058624","18.00","-","18.00","18.00","-","-","-","-",NA
"549","SNNP","Hagere- Selam ","August","2018","38.51921184","6.513880636","13.27","-","-","-","-","-","-","16.67",NA
"550","SNNP","Dilla","August","2018","38.30745962","6.410516676","15.00","-","14.49","14.00","-","-","-","-",NA
"551","SNNP","Yirega-¦ chefie ","August","2018","38.1988827","6.16095383","17.00","-","-","-","-","-","-","-",NA
"552","SNNP","Welikite","December","2018","37.77266735","8.27732366","15.85","-","17.15","-","-","-","-","33.52",NA
"553","SNNP","Butajira","December","2018","38.42140499","8.173264069","17.16","16.23","17.81","17.36","-","-","-","17.66",NA
"554","SNNP","Hosahna","December","2018","37.84747123","7.538579317","17.00","15.00","16.00","-","-","-","-","14.29",NA
"555","SNNP","Shone","December","2018","37.94869425","7.134857075","16.00","-","14.00","-","-","-","-","28.57",NA
"556","SNNP","Doyugena","December","2018","37.78333","7.33333","11.00","10.50","11.00","11.00","-","-","-","17.65",NA
"557","SNNP","Alaba","December","2018","38.086143","7.311546","16.00","-","16.00","-","-","-","-","15.75",NA
"558","SNNP","Awasa","December","2018","38.474819","7.058624","18.00","-","18.00","18.00","-","-","-","34.13",NA
"559","SNNP","Hagere- Selam ","December","2018","38.51921184","6.513880636","12.28","-","-","-","-","-","-","16.67",NA
"560","SNNP","Dilla","December","2018","38.30745962","6.410516676","17.49","-","-","15.00","-","-","-","-",NA
"561","SNNP","Yirega-¦ chefie ","December","2018","38.1988827","6.16095383","17.00","-","-","17.00","-","-","-","17.00",NA
"562","SNNP","Welikite","February","2019","37.77266735","8.27732366","15.20","-","16.10","-","-","-","-","35.04",NA
"563","SNNP","Butajira","February","2019","38.42140499","8.173264069","14.92","12.08","13.18","14.55","-","-","-","24.10",NA
"564","SNNP","Hosahna","February","2019","37.84747123","7.538579317","17.25","16.00","17.00","-","-","-","-","14.29",NA
"565","SNNP","Shone","February","2019","37.94869425","7.134857075","17.00","-","15.00","-","-","-","-","29.89",NA
"566","SNNP","Doyugena","February","2019","37.78333","7.33333","14.00","12.50","14.00","14.00","-","-","-","16.17",NA
"567","SNNP","Alaba","February","2019","38.086143","7.311546","17.00","-","16.00","-","-","-","-","23.82",NA
"568","SNNP","Awasa","February","2019","38.474819","7.058624","18.49","-","18.49","18.49","-","-","-","34.84",NA
"569","SNNP","Hagere- Selam ","February","2019","38.51921184","6.513880636","10.43","-","-","-","-","-","-","-",NA
"570","SNNP","Dilla","February","2019","38.30745962","6.410516676","17.00","-","-","15.49","-","-","-","-",NA
"571","SNNP","Yirega-¦ chefie ","February","2019","38.1988827","6.16095383","17.00","-","-","15.00","-","-","-","18.00",NA
"572","SNNP","Welikite","January","2019","37.77266735","8.27732366","16.50","-","17.50","-","-","-","-","35.03",NA
"573","SNNP","Butajira","January","2019","38.42140499","8.173264069","13.00","13.44","14.57","14.43","-","-","-","17.17",NA
