"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","01.1.1.2 UNMILLED CEREALS/GRAINS_Hulled Barley (Temez)"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA
"681","SNNP","Sawla","February","2019","36.87437474","6.300226567","11.11","11.07","12.59","-","18.44","-","-","-",NA
"682","SNNP","Welayita","January","2019",NA,NA,"17.00","14.00","15.00","-","-","-","-","33.33",NA
"683","SNNP","Bodite","January","2019","37.89064905","7.038034865","18.00","18.00","17.49","18.00","-","-","-","16.91",NA
"684","SNNP","Jinka","January","2019","36.56441614","5.78310286","18.01","17.36","-","-","-","-","-","36.39",NA
"685","SNNP","Dimeka","January","2019","36.45041198","4.892522922","9.09","-","-","-","-","-","-","-",NA
"686","SNNP","Masha","January","2019","35.47956686","7.741652627","16.45","16.45","17.58","-","-","-","-","40.00",NA
"687","SNNP","Tepi","January","2019","35.36770327","7.320015599","15.00","13.49","-","-","-","35.00","-","28.59",NA
"688","SNNP","Boniga","January","2019","36.24008346","7.388535704","15.00","13.00","14.00","-","-","-","-","24.49",NA
"689","SNNP","Chana","January","2019","36.11775846","6.226550231","17.00","12.00","12.00","-","-","-","-","16.09",NA
"690","SNNP","Arbam- minch ","January","2019","37.5527474","6.024547891","17.49","-","17.49","-","-","-","-","20.99",NA
