"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw","pkg.wht.allwh"
"565","Snnp","Butajira","August",2013,38.42140499,8.173264069,8.3,NA,11.06,NA,NA,4.38,9.51,8.3
"566","Snnp","Hosahna","August",2013,37.84747123,7.538579317,8,NA,NA,NA,NA,4.38,13.05,8
"567","Snnp","Shone","August",2013,37.94869425,7.134857075,8,NA,NA,NA,NA,5.54,9.23,8
"568","Snnp","Doyugena","August",2013,37.78333,7.33333,7.2,NA,NA,NA,NA,3.5,28.4,7.2
"569","Snnp","Alaba","August",2013,38.086143,7.311546,7,NA,NA,9,NA,4.05,13.33,7
"570","Snnp","Awasa","August",2013,38.474819,7.058624,10,NA,9,NA,NA,4.78,NA,10
"571","Snnp","Hagere- Selam ","August",2013,38.51921184,6.513880636,8.26,NA,NA,NA,NA,3.39,12.5,8.26
"572","Snnp","Dilla","August",2013,38.30745962,6.410516676,8.83,NA,7.71,NA,NA,3.5,NA,8.83
"573","Snnp","Yirega-¦ Chefie ","August",2013,38.1988827,6.16095383,9,NA,9,NA,NA,4.38,10.32,9
"574","Snnp","Welikite","December",2013,37.77266735,8.27732366,7.93,NA,NA,NA,NA,4.05,18.33,7.93
"575","Snnp","Butajira","December",2013,38.42140499,8.173264069,8.37,NA,NA,NA,NA,4.38,9.58,8.37
"576","Snnp","Hosahna","December",2013,37.84747123,7.538579317,8,NA,NA,NA,NA,4.38,12.77,8
"577","Snnp","Shone","December",2013,37.94869425,7.134857075,6.97,NA,NA,NA,NA,6.68,8.46,6.97
"578","Snnp","Doyugena","December",2013,37.78333,7.33333,7,NA,NA,NA,NA,3.76,27.65,7
"579","Snnp","Alaba","December",2013,38.086143,7.311546,NA,NA,NA,8,NA,3.89,10.91,NA
"580","Snnp","Awasa","December",2013,38.474819,7.058624,9.65,NA,10,NA,NA,5.25,12,9.65
"581","Snnp","Hagere- Selam ","December",2013,38.51921184,6.513880636,9.38,NA,NA,NA,NA,3.57,13.76,9.38
