"","Region","Market","Month","Year","Longitude","Latitude","pkg.mai.maize","pkg.mai.millm"
"2","Addis","Addis Ababa","August",2018,38.793806,9.023748,11,14
"4","Addis","Addis Ababa","February",2019,38.793806,9.023748,11,15
"5","Addis","Addis Ababa","January",2019,38.793806,9.023748,10.875,14
"6","Addis","Addis Ababa","July",2018,38.793806,9.023748,11.245,14.49
"7","Addis","Addis Ababa","March",2019,38.793806,9.023748,10.5,15
"8","Addis","Addis Ababa","May",2019,38.793806,9.023748,11.745,15
"9","Addis","Addis Ababa","November",2018,38.793806,9.023748,11.22,14.49
"10","Addis","Addis Ababa","October",2018,38.793806,9.023748,11,14
"11","Addis","Addis Ababa","September",2018,38.793806,9.023748,10.99,NA
"12","Amhara","Chuahit","April",2019,39.311961,10.643157,8.5,NA
"13","Amhara","Gondar","April",2019,37.46149667,12.59878688,8,NA
"14","Amhara","Esete","April",2019,37.88657423,10.92298692,9.72,NA
"15","Amhara","Debre- Tabor ","April",2019,38.00833967,11.84769551,9.45,NA
"16","Amhara","Kobo","April",2019,39.63127424,12.16406542,9.81,NA
"17","Amhara","Weldiya","April",2019,39.6014117,11.82360232,11.33,NA
"18","Amhara","Kombolcha","April",2019,39.73724188,11.07807805,10.1,NA
"19","Amhara","Dessie","April",2019,39.63548793,11.11703902,9.39,NA
"20","Amhara","Shewa- Robit ","April",2019,39.90269733,10.00580856,10.03,NA
"21","Amhara","Debre-¦","April",2019,39.52890047,9.67650294,10,NA
"22","Amhara","Chuahit","August",2018,39.311961,10.643157,8,NA
"23","Amhara","Gondar","August",2018,37.46149667,12.59878688,8.75,NA
"24","Amhara","Esete","August",2018,37.88657423,10.92298692,9.95,NA
"25","Amhara","Debre- Tabor ","August",2018,38.00833967,11.84769551,9.01,NA
"26","Amhara","Kobo","August",2018,39.63127424,12.16406542,7.97,NA
"27","Amhara","Weldiya","August",2018,39.6014117,11.82360232,9.81,NA
"28","Amhara","Kombolcha","August",2018,39.73724188,11.07807805,9.86,NA
"29","Amhara","Dessie","August",2018,39.63548793,11.11703902,10.38,NA
"30","Amhara","Shewa- Robit ","August",2018,39.90269733,10.00580856,9.4,NA
"31","Amhara","Debre-¦","August",2018,39.52890047,9.67650294,8.5,NA
"32","Amhara","Chuahit","December",2018,39.311961,10.643157,6,NA
"33","Amhara","Gondar","December",2018,37.46149667,12.59878688,8,NA
"34","Amhara","Esete","December",2018,37.88657423,10.92298692,8.15,NA
"35","Amhara","Debre- Tabor ","December",2018,38.00833967,11.84769551,8.36,NA
"36","Amhara","Kobo","December",2018,39.63127424,12.16406542,8.47,NA
"37","Amhara","Weldiya","December",2018,39.6014117,11.82360232,9.82,NA
"38","Amhara","Kombolcha","December",2018,39.73724188,11.07807805,9.39,NA
"39","Amhara","Dessie","December",2018,39.63548793,11.11703902,8.06,NA
"40","Amhara","Shewa- Robit ","December",2018,39.90269733,10.00580856,8.57,NA
"41","Amhara","Debre-¦","December",2018,39.52890047,9.67650294,7,NA
"42","Amhara","Chuahit","February",2019,39.311961,10.643157,6.5,NA
"43","Amhara","Gondar","February",2019,37.46149667,12.59878688,8,NA
"44","Amhara","Esete","February",2019,37.88657423,10.92298692,8.69,NA
"45","Amhara","Debre- Tabor ","February",2019,38.00833967,11.84769551,8.01,NA
"46","Amhara","Kobo","February",2019,39.63127424,12.16406542,6.76,NA
"47","Amhara","Weldiya","February",2019,39.6014117,11.82360232,10.72,NA
"48","Amhara","Kombolcha","February",2019,39.73724188,11.07807805,9.23,NA
"49","Amhara","Dessie","February",2019,39.63548793,11.11703902,9.32,NA
"50","Amhara","Shewa- Robit ","February",2019,39.90269733,10.00580856,9.39,NA
"51","Amhara","Debre-¦","February",2019,39.52890047,9.67650294,8,NA
"52","Amhara","Chuahit","January",2019,39.311961,10.643157,6.5,NA
"53","Amhara","Gondar","January",2019,37.46149667,12.59878688,8,NA
"54","Amhara","Esete","January",2019,37.88657423,10.92298692,8.28,NA
"55","Amhara","Debre- Tabor ","January",2019,38.00833967,11.84769551,9,NA
"56","Amhara","Kobo","January",2019,39.63127424,12.16406542,8.74,NA
"57","Amhara","Weldiya","January",2019,39.6014117,11.82360232,9.74,NA
"58","Amhara","Kombolcha","January",2019,39.73724188,11.07807805,9.26,NA
"59","Amhara","Dessie","January",2019,39.63548793,11.11703902,8.94,NA
"60","Amhara","Shewa- Robit ","January",2019,39.90269733,10.00580856,10.36,NA
"61","Amhara","Debre-¦","January",2019,39.52890047,9.67650294,8,NA
"62","Amhara","Chuahit","July",2018,39.311961,10.643157,8.5,NA
"63","Amhara","Gondar","July",2018,37.46149667,12.59878688,8.75,NA
"64","Amhara","Esete","July",2018,37.88657423,10.92298692,10.29,NA
"65","Amhara","Debre- Tabor ","July",2018,38.00833967,11.84769551,8.71,NA
"66","Amhara","Kobo","July",2018,39.63127424,12.16406542,8.11,NA
"67","Amhara","Weldiya","July",2018,39.6014117,11.82360232,9.83,NA
"68","Amhara","Kombolcha","July",2018,39.73724188,11.07807805,9.9,NA
"69","Amhara","Dessie","July",2018,39.63548793,11.11703902,9.74,NA
"70","Amhara","Shewa- Robit ","July",2018,39.90269733,10.00580856,9.2,NA
"71","Amhara","Debre-¦","July",2018,39.52890047,9.67650294,8,NA
"72","Amhara","Chuahit","March",2019,39.311961,10.643157,7,NA
"73","Amhara","Gondar","March",2019,37.46149667,12.59878688,8,NA
"74","Amhara","Esete","March",2019,37.88657423,10.92298692,8.26,NA
"75","Amhara","Debre- Tabor ","March",2019,38.00833967,11.84769551,8.02,NA
"76","Amhara","Kobo","March",2019,39.63127424,12.16406542,8.12,NA
"77","Amhara","Weldiya","March",2019,39.6014117,11.82360232,10.46,NA
"78","Amhara","Kombolcha","March",2019,39.73724188,11.07807805,9.29,NA
"79","Amhara","Dessie","March",2019,39.63548793,11.11703902,9.54,NA
"80","Amhara","Shewa- Robit ","March",2019,39.90269733,10.00580856,9.92,NA
"81","Amhara","Debre-¦","March",2019,39.52890047,9.67650294,8,NA
"82","Amhara","Chuahit","May",2019,39.311961,10.643157,8.25,NA
"83","Amhara","Gondar","May",2019,37.46149667,12.59878688,9,NA
"84","Amhara","Esete","May",2019,37.88657423,10.92298692,10.19,NA
"85","Amhara","Debre- Tabor ","May",2019,38.00833967,11.84769551,9.57,NA
"86","Amhara","Kobo","May",2019,39.63127424,12.16406542,10.36,NA
"87","Amhara","Weldiya","May",2019,39.6014117,11.82360232,11.29,NA
"88","Amhara","Kombolcha","May",2019,39.73724188,11.07807805,10.66,NA
"89","Amhara","Dessie","May",2019,39.63548793,11.11703902,9.55,NA
"90","Amhara","Shewa- Robit ","May",2019,39.90269733,10.00580856,11.47,NA
