"","Region","Market","Month","Year","Longitude","Latitude","pkg.mai.maize","pkg.mai.millm"
"2","Addis","Addis Ababa","August",2015,38.793806,9.023748,7.32,NA
"4","Addis","Addis Ababa","February",2016,38.793806,9.023748,7.405,NA
"5","Addis","Addis Ababa","January",2016,38.793806,9.023748,7.49,NA
"6","Addis","Addis Ababa","July",2015,38.793806,9.023748,7.24,NA
"7","Addis","Addis Ababa","June",2016,38.793806,9.023748,7.32,NA
"8","Addis","Addis Ababa","March",2016,38.793806,9.023748,7.08,NA
"9","Addis","Addis Ababa","May",2016,38.793806,9.023748,7.32,NA
"10","Addis","Addis Ababa","November",2015,38.793806,9.023748,7.33,NA
"11","Addis","Addis Ababa","October",2015,38.793806,9.023748,7.41,NA
"12","Addis","Addis Ababa","September",2015,38.793806,9.023748,7.49,NA
"13","Amhara","Chuahit","April",2016,39.311961,10.643157,5,NA
"14","Amhara","Gondar","April",2016,37.46149667,12.59878688,5.5,NA
"15","Amhara","Esete","April",2016,37.88657423,10.92298692,7.07,NA
"16","Amhara","Debre- Tabor ","April",2016,38.00833967,11.84769551,5.47,NA
"17","Amhara","Kobo","April",2016,39.63127424,12.16406542,4.79,NA
"18","Amhara","Weldiya","April",2016,39.6014117,11.82360232,6.4,NA
"19","Amhara","Kombolcha","April",2016,39.73724188,11.07807805,5.89,NA
"20","Amhara","Dessie","April",2016,39.63548793,11.11703902,5.38,NA
"21","Amhara","Shewa- Robit ","April",2016,39.90269733,10.00580856,7.61,NA
"22","Amhara","Debre-¦","April",2016,39.52890047,9.67650294,5.83,NA
"23","Amhara","Chuahit","August",2015,39.311961,10.643157,4.5,20
"24","Amhara","Gondar","August",2015,37.46149667,12.59878688,5,NA
"25","Amhara","Esete","August",2015,37.88657423,10.92298692,5.56,NA
"26","Amhara","Debre- Tabor ","August",2015,38.00833967,11.84769551,4.8,NA
"27","Amhara","Kobo","August",2015,39.63127424,12.16406542,5.12,NA
"28","Amhara","Weldiya","August",2015,39.6014117,11.82360232,5.6,NA
"29","Amhara","Kombolcha","August",2015,39.73724188,11.07807805,5.32,NA
"30","Amhara","Dessie","August",2015,39.63548793,11.11703902,5.88,NA
"31","Amhara","Shewa- Robit ","August",2015,39.90269733,10.00580856,6.83,NA
"32","Amhara","Debre-¦","August",2015,39.52890047,9.67650294,5.5,NA
"33","Amhara","Chuahit","December",2015,39.311961,10.643157,4.5,NA
"34","Amhara","Gondar","December",2015,37.46149667,12.59878688,5.5,NA
"35","Amhara","Esete","December",2015,37.88657423,10.92298692,5.77,NA
"36","Amhara","Debre- Tabor ","December",2015,38.00833967,11.84769551,5.44,NA
"37","Amhara","Kobo","December",2015,39.63127424,12.16406542,5.17,NA
"38","Amhara","Weldiya","December",2015,39.6014117,11.82360232,6.8,NA
"39","Amhara","Kombolcha","December",2015,39.73724188,11.07807805,5.91,NA
"40","Amhara","Dessie","December",2015,39.63548793,11.11703902,6,NA
"41","Amhara","Shewa- Robit ","December",2015,39.90269733,10.00580856,8.81,NA
"42","Amhara","Debre-¦","December",2015,39.52890047,9.67650294,5.5,NA
"43","Amhara","Chuahit","February",2016,39.311961,10.643157,4.5,NA
"44","Amhara","Gondar","February",2016,37.46149667,12.59878688,5.5,NA
"45","Amhara","Esete","February",2016,37.88657423,10.92298692,7.08,NA
"46","Amhara","Debre- Tabor ","February",2016,38.00833967,11.84769551,5.41,NA
"47","Amhara","Kobo","February",2016,39.63127424,12.16406542,4.16,NA
"48","Amhara","Weldiya","February",2016,39.6014117,11.82360232,6.43,NA
"49","Amhara","Kombolcha","February",2016,39.73724188,11.07807805,5.95,NA
"50","Amhara","Dessie","February",2016,39.63548793,11.11703902,6.52,NA
"51","Amhara","Shewa- Robit ","February",2016,39.90269733,10.00580856,7.67,NA
"52","Amhara","Debre-¦","February",2016,39.52890047,9.67650294,5.6,NA
"53","Amhara","Chuahit","January",2016,39.311961,10.643157,4.5,NA
"54","Amhara","Gondar","January",2016,37.46149667,12.59878688,5.5,NA
"55","Amhara","Esete","January",2016,37.88657423,10.92298692,6.96,NA
"56","Amhara","Debre- Tabor ","January",2016,38.00833967,11.84769551,5.48,NA
"57","Amhara","Kobo","January",2016,39.63127424,12.16406542,6.58,NA
"58","Amhara","Weldiya","January",2016,39.6014117,11.82360232,6.4,NA
"59","Amhara","Kombolcha","January",2016,39.73724188,11.07807805,5.99,NA
"60","Amhara","Dessie","January",2016,39.63548793,11.11703902,6.43,NA
"61","Amhara","Shewa- Robit ","January",2016,39.90269733,10.00580856,8.14,NA
"62","Amhara","Debre-¦","January",2016,39.52890047,9.67650294,5.5,NA
"63","Amhara","Chuahit","July",2015,39.311961,10.643157,4.5,NA
"64","Amhara","Gondar","July",2015,37.46149667,12.59878688,5,NA
"65","Amhara","Esete","July",2015,37.88657423,10.92298692,5.57,NA
"66","Amhara","Debre- Tabor ","July",2015,38.00833967,11.84769551,5.13,NA
"67","Amhara","Kobo","July",2015,39.63127424,12.16406542,4.98,NA
"68","Amhara","Weldiya","July",2015,39.6014117,11.82360232,5.6,NA
"69","Amhara","Kombolcha","July",2015,39.73724188,11.07807805,5.3,NA
"70","Amhara","Dessie","July",2015,39.63548793,11.11703902,6.23,NA
"71","Amhara","Shewa- Robit ","July",2015,39.90269733,10.00580856,6.61,NA
"72","Amhara","Debre-¦","July",2015,39.52890047,9.67650294,6,NA
"73","Amhara","Chuahit","June",2016,39.311961,10.643157,5,NA
"74","Amhara","Gondar","June",2016,37.46149667,12.59878688,5.5,NA
"75","Amhara","Esete","June",2016,37.88657423,10.92298692,7.03,NA
"76","Amhara","Debre- Tabor ","June",2016,38.00833967,11.84769551,5.52,NA
"77","Amhara","Kobo","June",2016,39.63127424,12.16406542,4.86,NA
"78","Amhara","Weldiya","June",2016,39.6014117,11.82360232,6.43,NA
"79","Amhara","Kombolcha","June",2016,39.73724188,11.07807805,5.84,NA
"80","Amhara","Dessie","June",2016,39.63548793,11.11703902,5.86,NA
"81","Amhara","Shewa- Robit ","June",2016,39.90269733,10.00580856,9.16,NA
"82","Amhara","Debre-¦","June",2016,39.52890047,9.67650294,5.5,NA
"83","Amhara","Chuahit","March",2016,39.311961,10.643157,5,NA
"84","Amhara","Gondar","March",2016,37.46149667,12.59878688,5.5,NA
"85","Amhara","Esete","March",2016,37.88657423,10.92298692,6.96,NA
"86","Amhara","Debre- Tabor ","March",2016,38.00833967,11.84769551,5.38,NA
"87","Amhara","Kobo","March",2016,39.63127424,12.16406542,5.01,NA
"88","Amhara","Weldiya","March",2016,39.6014117,11.82360232,6.45,NA
"89","Amhara","Kombolcha","March",2016,39.73724188,11.07807805,5.86,NA
"90","Amhara","Dessie","March",2016,39.63548793,11.11703902,5.89,NA
"91","Amhara","Shewa- Robit ","March",2016,39.90269733,10.00580856,7.42,NA
"92","Amhara","Debre-¦","March",2016,39.52890047,9.67650294,5.66,NA
"93","Amhara","Chuahit","May",2016,39.311961,10.643157,5.17,NA
