"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"335","OROMIYA","Agaro","DECEMBER","2014","36.58627683","7.848002731","11.18","-","-","-","-","4.29","10.65"
"336","OROMIYA","Ambo","DECEMBER","2014","37.8446066","8.976806527","11.04","-","11.36","-","-","4.95","16.76"
"337","OROMIYA","Weliso","DECEMBER","2014","37.97073066","8.534178897","9.65","-","-","-","-","4.38","16.17"
"338","OROMIYA","Ejere","DECEMBER","2014","39.262249","8.78288","9.10","-","15.85","-","-","4.67","26.10"
"339","OROMIYA","Fiche","DECEMBER","2014","38.73344116","9.791083661","11.01","-","12.00","-","-","5.83","15.38"
"340","OROMIYA","Ghimbi","FEBRUARY","2015","35.83291974","9.163103789","11.00","10.00","-","-","-","4.91","-"
"341","OROMIYA","Dembi- dolo ","FEBRUARY","2015","34.79748694","8.530219501","9.00","7.00","-","-","-","3.50","-"
"342","OROMIYA","Shambu","FEBRUARY","2015","37.09431432","9.569809208","8.13","8.12","-","-","-","5.01","-"
"343","OROMIYA","Nekemte","FEBRUARY","2015","36.54851971","9.09042469","10.00","10.00","-","-","-","4.85","-"
"344","OROMIYA","Bedele","FEBRUARY","2015","36.36017384","8.454821965","13.00","11.00","9.50","-","-","3.50","-"
"345","OROMIYA","Metu","FEBRUARY","2015","35.58726864","8.300606827","10.00","-","9.00","-","-","3.97","-"
"346","OROMIYA","Jimma","FEBRUARY","2015","36.84385226","7.672338798","11.66","-","10.00","-","-","3.33","-"
"347","OROMIYA","Agaro","FEBRUARY","2015","36.58627683","7.848002731","11.76","-","-","-","-","4.38","10.13"
"348","OROMIYA","Ambo","FEBRUARY","2015","37.8446066","8.976806527","9.11","-","10.93","-","-","4.19","15.54"
"349","OROMIYA","Weliso","FEBRUARY","2015","37.97073066","8.534178897","9.64","-","13.79","-","-","3.63","16.17"
"350","OROMIYA","Ejere","FEBRUARY","2015","39.262249","8.78288","9.06","-","15.85","-","-","4.67","24.01"
"351","OROMIYA","Fiche","FEBRUARY","2015","38.73344116","9.791083661","8.13","-","10.14","-","-","4.55","15.60"
"352","OROMIYA","Ghimbi","JANUARY","2015","35.83291974","9.163103789","11.00","10.00","-","-","-","5.01","-"
"353","OROMIYA","Dembi- dolo ","JANUARY","2015","34.79748694","8.530219501","9.00","7.00","-","-","-","3.98","-"
"354","OROMIYA","Shambu","JANUARY","2015","37.09431432","9.569809208","7.18","6.52","6.46","-","-","4.84","-"
"355","OROMIYA","Nekemte","JANUARY","2015","36.54851971","9.09042469","10.00","8.00","8.00","-","-","4.83","-"
