"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"2","ADDIS","addis ababa","APRIL","2014","38.793806","9.023748","10.32","10","11.83",NA,NA,"4.14","20.19"
"3","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"4","ADDIS","addis ababa","APRIL","2014","38.793806","9.023748","10.32","10","11.83",NA,NA,"4.14","20.19"
"5","ADDIS","addis ababa","AUGUST","2013","38.793806","9.023748","9.33",NA,"11.49",NA,NA,"3.99","20"
"6","ADDIS","addis ababa","DECEMBER","2013","38.793806","9.023748","10.33",NA,"12.73",NA,NA,"4.07","17.935"
"7","ADDIS","addis ababa","FEBRUARY","2014","38.793806","9.023748","10",NA,"12.16",NA,NA,"3.97","21.055"
"8","ADDIS","addis ababa","JANUARY","2014","38.793806","9.023748","9.825",NA,"13.065",NA,NA,"4.085","19.66"
"9","ADDIS","addis ababa","JULY","2013","38.793806","9.023748","9.275",NA,"11.49",NA,NA,"4.035","16.59"
"10","ADDIS","addis ababa","JUNE","2014","38.793806","9.023748","11.145",NA,"12",NA,NA,"4.195","20.9"
"11","ADDIS","addis ababa","MAY","2014","38.793806","9.023748","10.66","12","12",NA,NA,"4.135","21.04"
"12","ADDIS","addis ababa","NOVEMBER","2013","38.793806","9.023748","11","10","12.24",NA,NA,"3.975","16.63"
"13","ADDIS","addis ababa","OCTOBER","2013","38.793806","9.023748","10.16","10","12",NA,NA,"4.08","18.095"
"14","ADDIS","addis ababa","SEPTEMBER(1)","2013(1)","38.793806","9.023748","9.745","9","11.745",NA,NA,"4.045","18.995"
"15","AMHARA","Chuahit","APRIL","2014","39.311961","10.643157","10.00","-","10.00","-","-","3.51","-"
"16","AMHARA","Gondar","APRIL","2014","37.46149667","12.59878688","10.00","-","-","-","-","4.53","15.00"
"17","AMHARA","Esete","APRIL","2014","37.88657423","10.92298692","7.75","-","7.23","-","-","3.96","11.87"
"18","AMHARA","Debre- Tabor ","APRIL","2014","38.00833967","11.84769551","9.74","-","8.25","-","-","3.36","13.08"
"19","AMHARA","Kobo","APRIL","2014","39.63127424","12.16406542","8.87","-","10.52","-","-","4.21","-"
"20","AMHARA","Weldiya","APRIL","2014","39.6014117","11.82360232","9.19","-","9.69","-","-","3.77","14.52"
"21","AMHARA","Kombolcha","APRIL","2014","39.73724188","11.07807805","8.44","-","11.30","-","-","3.76","32.74"
"22","AMHARA","Dessie","APRIL","2014","39.63548793","11.11703902","8.04","7.78","11.77","16.00","-","4.17","40.60"
"23","AMHARA","Shewa- Robit ","APRIL","2014","39.90269733","10.00580856","10.03","-","-","-","-","5.36","-"
"24","AMHARA","Debre-¦","APRIL","2014","39.52890047","9.67650294","9.50","8.50","-","-","-","5.46","-"
"25","AMHARA","Chuahit","AUGUST","2013","39.311961","10.643157","10.00","-","-","-","-","4.41","-"
"26","AMHARA","Gondar","AUGUST","2013","37.46149667","12.59878688","10.00","-","9.00","-","-","4.53","15.00"
"27","AMHARA","Esete","AUGUST","2013","37.88657423","10.92298692","9.40","-","9.66","-","-","3.53","11.44"
"28","AMHARA","Debre- Tabor ","AUGUST","2013","38.00833967","11.84769551","9.17","-","9.32","-","-","4.95","-"
"29","AMHARA","Kobo","AUGUST","2013","39.63127424","12.16406542","10.10","-","11.38","-","-","3.76","-"
"30","AMHARA","Weldiya","AUGUST","2013","39.6014117","11.82360232","10.29","-","11.37","-","-","3.77","19.36"
"31","AMHARA","Kombolcha","AUGUST","2013","39.73724188","11.07807805","8.64","-","11.73","-","-","3.63","26.35"
"32","AMHARA","Dessie","AUGUST","2013","39.63548793","11.11703902","9.85","8.70","-","12.00","-","4.17","23.59"
"33","AMHARA","Shewa- Robit ","AUGUST","2013","39.90269733","10.00580856","10.59","10.39","-","-","-","5.38","-"
"34","AMHARA","Debre-¦","AUGUST","2013","39.52890047","9.67650294","9.00","8.50","-","-","-","4.91","-"
"35","AMHARA","Chuahit","DECEMBER","2013","39.311961","10.643157","10.00","-","-","-","-","3.52","-"
"36","AMHARA","Gondar","DECEMBER","2013","37.46149667","12.59878688","10.00","-","-","-","-","4.38","-"
"37","AMHARA","Esete","DECEMBER","2013","37.88657423","10.92298692","8.27","-","8.78","-","-","3.80","11.47"
"38","AMHARA","Debre- Tabor ","DECEMBER","2013","38.00833967","11.84769551","9.95","-","9.44","-","-","4.72","-"
