"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw"
"366","Oromiya","Shambu","July",2014,37.09431432,9.569809208,8.04,8.12,8.16,NA,NA,4.62,NA
"367","Oromiya","Nekemte","July",2014,36.54851971,9.09042469,9.83,9,8.49,NA,NA,3.93,NA
"368","Oromiya","Bedele","July",2014,36.36017384,8.454821965,12,10,NA,NA,NA,3.5,NA
"369","Oromiya","Metu","July",2014,35.58726864,8.300606827,10,NA,9,NA,NA,3.82,NA
"370","Oromiya","Jimma","July",2014,36.84385226,7.672338798,NA,NA,10.49,NA,NA,3.33,NA
"371","Oromiya","Agaro","July",2014,36.58627683,7.848002731,11.18,NA,NA,NA,NA,4.38,10.19
"372","Oromiya","Ambo","July",2014,37.8446066,8.976806527,9,NA,10.8,NA,NA,4.94,19.37
"373","Oromiya","Weliso","July",2014,37.97073066,8.534178897,10.75,NA,NA,NA,NA,4.38,16.17
"374","Oromiya","Ejere","July",2014,39.262249,8.78288,10.75,NA,18.08,NA,NA,4.67,18.01
"375","Oromiya","Fiche","July",2014,38.73344116,9.791083661,10.74,NA,11.15,NA,NA,6.06,16.03
"376","Oromiya","Ghimbi","June",2015,35.83291974,9.163103789,11.32,10,NA,NA,NA,5,NA
"377","Oromiya","Dembi- Dolo ","June",2015,34.79748694,8.530219501,11,9,NA,NA,NA,3.82,NA
