"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw"
"182","Amhara","Danigla","July",2014,36.83153176,11.25223153,14.12,NA,NA,NA,NA,3.5,17.75
"183","Amhara","Chagni","July",2014,36.50793596,10.95196565,9.32,NA,NA,NA,NA,4.24,17.16
"184","Amhara","Kemise","July",2014,39.85696873,10.71374234,9.87,9.88,11.01,NA,NA,4.21,21.75
"185","Amhara","Bati","July",2014,40.0181327,11.19153266,NA,NA,NA,NA,NA,7.17,NA
"186","Amhara","Mota","June",2015,37.8807432,11.07475582,8,NA,NA,NA,NA,4.4,10.14
"187","Amhara","Debre- Markos ","June",2015,37.72636868,10.33641293,9.39,NA,NA,NA,NA,4.23,17.66
"188","Amhara","Dembecha","June",2015,37.48251554,10.56669266,10.02,NA,NA,NA,NA,4.43,NA
"189","Amhara","Bahir- Dar ","June",2015,37.3815488,11.58416449,13.49,NA,13.66,NA,NA,3.97,18.64
"190","Amhara","Sekota","June",2015,39.03355257,12.62479803,9.07,NA,NA,NA,NA,4.14,NA
"191","Amhara","Amde Work ","June",2015,38.85815043,12.45920199,10.53,NA,NA,NA,NA,3.2,NA
"192","Amhara","Danigla","June",2015,36.83153176,11.25223153,10.92,NA,NA,NA,NA,4.2,23.11
"193","Amhara","Chagni","June",2015,36.50793596,10.95196565,9.65,NA,NA,NA,NA,4.86,18.77
"194","Amhara","Kemise","June",2015,39.85696873,10.71374234,10.17,10.44,12.8,NA,NA,3.76,24.34
"195","Amhara","Bati","June",2015,40.0181327,11.19153266,NA,NA,NA,NA,NA,7.22,NA
"196","Amhara","Mota","March",2015,37.8807432,11.07475582,8.7,NA,NA,NA,NA,3.46,NA
"197","Amhara","Debre- Markos ","March",2015,37.72636868,10.33641293,8.84,NA,11.16,NA,NA,4.53,20.7
"198","Amhara","Dembecha","March",2015,37.48251554,10.56669266,9.04,NA,NA,NA,NA,4.35,NA
"199","Amhara","Bahir- Dar ","March",2015,37.3815488,11.58416449,13.61,NA,NA,NA,NA,3.97,16.33
"200","Amhara","Sekota","March",2015,39.03355257,12.62479803,8.23,NA,NA,NA,NA,4.14,NA
"201","Amhara","Amde Work ","March",2015,38.85815043,12.45920199,9.56,NA,NA,NA,NA,2.92,NA
"202","Amhara","Danigla","March",2015,36.83153176,11.25223153,11.54,NA,NA,NA,NA,4.2,20.71
"203","Amhara","Chagni","March",2015,36.50793596,10.95196565,9.83,NA,NA,NA,NA,4.51,17.66
"204","Amhara","Kemise","March",2015,39.85696873,10.71374234,9.05,9.63,10.7,NA,NA,4.21,21.54
"205","Amhara","Bati","March",2015,40.0181327,11.19153266,NA,NA,NA,NA,NA,6.56,NA
"206","Amhara","Mota","May",2015,37.8807432,11.07475582,10.23,NA,NA,NA,NA,4.48,NA
