"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"213","AMHARa","Debre- markos ","OCTOBER","2013","37.72636868","10.33641293","8.68","-"
"214","AMHARa","Dembecha","OCTOBER","2013","37.48251554","10.56669266","8.13","-"
"215","AMHARa","Bahir- Dar ","OCTOBER","2013","37.3815488","11.58416449","8.16","-"
"216","AMHARa","Sekota","OCTOBER","2013","39.03355257","12.62479803","8.82","-"
"217","AMHARa","Amde Work ","OCTOBER","2013","38.85815043","12.45920199","7.93","-"
"218","AMHARa","Danigla","OCTOBER","2013","36.83153176","11.25223153","8.21","-"
"219","AMHARa","Chagni","OCTOBER","2013","36.50793596","10.95196565","8.00","-"
"220","AMHARa","Kemise","OCTOBER","2013","39.85696873","10.71374234","8.36","-"
"221","AMHARa","Bati","OCTOBER","2013","40.0181327","11.19153266","9.97","-"
"222","AMHARa","Mota","SEPTEMBER(1)","2013(1)","37.8807432","11.07475582","7.20","-"
"223","AMHARa","Debre- markos ","SEPTEMBER(1)","2013(1)","37.72636868","10.33641293","8.34","-"
"224","AMHARa","Dembecha","SEPTEMBER(1)","2013(1)","37.48251554","10.56669266","7.01","-"
"225","AMHARa","Bahir- Dar ","SEPTEMBER(1)","2013(1)","37.3815488","11.58416449","7.83","-"
"226","AMHARa","Sekota","SEPTEMBER(1)","2013(1)","39.03355257","12.62479803","9.23","-"
"227","AMHARa","Amde Work ","SEPTEMBER(1)","2013(1)","38.85815043","12.45920199","7.96","-"
"228","AMHARa","Danigla","SEPTEMBER(1)","2013(1)","36.83153176","11.25223153","6.88","-"
"229","AMHARa","Chagni","SEPTEMBER(1)","2013(1)","36.50793596","10.95196565","7.00","-"
"230","AMHARa","Kemise","SEPTEMBER(1)","2013(1)","39.85696873","10.71374234","6.48","-"
"231","AMHARa","Bati","SEPTEMBER(1)","2013(1)","40.0181327","11.19153266","7.87","-"
"232","GAMBELLA","Gambella","APRIL","2014","34.58547076","8.249396585","6.00","7.00"
"233","GAMBELLA","Shebo- kire ","APRIL","2014",NA,NA,"5.03","-"
"234","GAMBELLA","Meti","APRIL","2014","7.233333333","35.31666667","5.83","-"
"235","DIREDAWA","Dire Dawa ","APRIL","2014","41.8572763","9.593652332","7.44","8.12"
"236","DIREDAWA","Melka- Jebdu ","APRIL","2014","41.77420401","9.617496554","8.00","-"
"237","GAMBELLA","Gambella","AUGUST","2013","34.58547076","8.249396585","6.00","7.00"
"238","GAMBELLA","Shebo- kire ","AUGUST","2013",NA,NA,"5.15","-"
"239","GAMBELLA","Meti","AUGUST","2013","7.233333333","35.31666667","5.33","-"
"240","DIREDAWA","Dire Dawa ","AUGUST","2013","41.8572763","9.593652332","7.16","8.00"
"241","DIREDAWA","Melka- Jebdu ","AUGUST","2013","41.77420401","9.617496554","7.00","-"
"242","GAMBELLA","Gambella","DECEMBER","2013","34.58547076","8.249396585","6.00","7.00"
"243","GAMBELLA","Shebo- kire ","DECEMBER","2013",NA,NA,"4.00","-"
"244","GAMBELLA","Meti","DECEMBER","2013","7.233333333","35.31666667","5.00","-"
"245","DIREDAWA","Dire Dawa ","DECEMBER","2013","41.8572763","9.593652332","7.49","7.00"
"246","DIREDAWA","Melka- Jebdu ","DECEMBER","2013","41.77420401","9.617496554","8.32","-"
"247","GAMBELLA","Gambella","FEBRUARY","2014","34.58547076","8.249396585","6.32","8.00"
"248","GAMBELLA","Shebo- kire ","FEBRUARY","2014",NA,NA,"3.08","-"
"249","GAMBELLA","Meti","FEBRUARY","2014","7.233333333","35.31666667","5.83","-"
"250","DIREDAWA","Dire Dawa ","FEBRUARY","2014","41.8572763","9.593652332","6.83","7.62"
"251","DIREDAWA","Melka- Jebdu ","FEBRUARY","2014","41.77420401","9.617496554","7.32","-"
"252","GAMBELLA","Gambella","JANUARY","2014","34.58547076","8.249396585","6.00","8.00"
"253","GAMBELLA","Shebo- kire ","JANUARY","2014",NA,NA,"4.17","-"
"254","GAMBELLA","Meti","JANUARY","2014","7.233333333","35.31666667","5.16","-"
"255","DIREDAWA","Dire Dawa ","JANUARY","2014","41.8572763","9.593652332","6.49","7.16"
"256","DIREDAWA","Melka- Jebdu ","JANUARY","2014","41.77420401","9.617496554","8.49","-"
"257","GAMBELLA","Gambella","JULY","2013","34.58547076","8.249396585","6.00","7.00"
"258","GAMBELLA","Shebo- kire ","JULY","2013",NA,NA,"4.74","-"
"259","GAMBELLA","Meti","JULY","2013","7.233333333","35.31666667","5.33","-"
"260","DIREDAWA","Dire Dawa ","JULY","2013","41.8572763","9.593652332","7.16","7.59"
"261","DIREDAWA","Melka- Jebdu ","JULY","2013","41.77420401","9.617496554","7.00","-"
