"","Region","Market","Month","Year","Longitude","Latitude","pkg.mai.maize","pkg.mai.millm"
"2","Addis","Addis Ababa","August",2016,38.793806,9.023748,7.74,NA
"4","Addis","Addis Ababa","February",2017,38.793806,9.023748,7.905,NA
"5","Addis","Addis Ababa","January",2017,38.793806,9.023748,7.98,NA
"6","Addis","Addis Ababa","July",2016,38.793806,9.023748,7.575,NA
"7","Addis","Addis Ababa","June",2017,38.793806,9.023748,9,NA
"8","Addis","Addis Ababa","March",2017,38.793806,9.023748,7.74,NA
"9","Addis","Addis Ababa","May",2017,38.793806,9.023748,9,NA
"10","Addis","Addis Ababa","November",2016,38.793806,9.023748,8.465,NA
"11","Addis","Addis Ababa","October",2016,38.793806,9.023748,8.57,NA
"12","Addis","Addis Ababa","September",2016,38.793806,9.023748,8,NA
"13","Amhara","Chuahit","April",2017,39.311961,10.643157,6.37,NA
"14","Amhara","Gondar","April",2017,37.46149667,12.59878688,6,NA
"15","Amhara","Esete","April",2017,37.88657423,10.92298692,6.97,NA
"16","Amhara","Debre- Tabor ","April",2017,38.00833967,11.84769551,6.85,NA
"17","Amhara","Kobo","April",2017,39.63127424,12.16406542,5.35,NA
"18","Amhara","Weldiya","April",2017,39.6014117,11.82360232,7.23,NA
"19","Amhara","Kombolcha","April",2017,39.73724188,11.07807805,6.4,NA
"20","Amhara","Dessie","April",2017,39.63548793,11.11703902,6,NA
"21","Amhara","Shewa- Robit ","April",2017,39.90269733,10.00580856,7.8,NA
"22","Amhara","Debre-¦","April",2017,39.52890047,9.67650294,6.59,NA
"23","Amhara","Chuahit","August",2016,39.311961,10.643157,5.5,NA
"24","Amhara","Gondar","August",2016,37.46149667,12.59878688,5.5,NA
"25","Amhara","Esete","August",2016,37.88657423,10.92298692,7.05,NA
"26","Amhara","Debre- Tabor ","August",2016,38.00833967,11.84769551,6.3,NA
"27","Amhara","Kobo","August",2016,39.63127424,12.16406542,5.01,NA
"28","Amhara","Weldiya","August",2016,39.6014117,11.82360232,6.92,NA
"29","Amhara","Kombolcha","August",2016,39.73724188,11.07807805,7.08,NA
"30","Amhara","Dessie","August",2016,39.63548793,11.11703902,6.52,NA
"31","Amhara","Shewa- Robit ","August",2016,39.90269733,10.00580856,7.82,NA
"32","Amhara","Debre-¦","August",2016,39.52890047,9.67650294,6.5,NA
"33","Amhara","Chuahit","December",2016,39.311961,10.643157,4.5,NA
"34","Amhara","Gondar","December",2016,37.46149667,12.59878688,5.5,NA
"35","Amhara","Esete","December",2016,37.88657423,10.92298692,7.1,NA
"36","Amhara","Debre- Tabor ","December",2016,38.00833967,11.84769551,6.14,NA
"37","Amhara","Kobo","December",2016,39.63127424,12.16406542,4.86,NA
"38","Amhara","Weldiya","December",2016,39.6014117,11.82360232,7.26,NA
"39","Amhara","Kombolcha","December",2016,39.73724188,11.07807805,6.43,NA
"40","Amhara","Dessie","December",2016,39.63548793,11.11703902,5.24,NA
"41","Amhara","Shewa- Robit ","December",2016,39.90269733,10.00580856,5.31,NA
"42","Amhara","Debre-¦","December",2016,39.52890047,9.67650294,5.65,NA
"43","Amhara","Chuahit","February",2017,39.311961,10.643157,5,NA
"44","Amhara","Gondar","February",2017,37.46149667,12.59878688,5.66,NA
"45","Amhara","Esete","February",2017,37.88657423,10.92298692,6.95,NA
"46","Amhara","Debre- Tabor ","February",2017,38.00833967,11.84769551,5.38,NA
"47","Amhara","Kobo","February",2017,39.63127424,12.16406542,5.22,NA
"48","Amhara","Weldiya","February",2017,39.6014117,11.82360232,6.42,NA
"49","Amhara","Kombolcha","February",2017,39.73724188,11.07807805,5.76,NA
"50","Amhara","Dessie","February",2017,39.63548793,11.11703902,5.88,NA
"51","Amhara","Shewa- Robit ","February",2017,39.90269733,10.00580856,5.93,NA
"52","Amhara","Debre-¦","February",2017,39.52890047,9.67650294,5.66,NA
"53","Amhara","Chuahit","January",2017,39.311961,10.643157,5.5,NA
"54","Amhara","Gondar","January",2017,37.46149667,12.59878688,5,NA
"55","Amhara","Esete","January",2017,37.88657423,10.92298692,6.83,NA
"56","Amhara","Debre- Tabor ","January",2017,38.00833967,11.84769551,6.05,NA
"57","Amhara","Kobo","January",2017,39.63127424,12.16406542,5.59,NA
"58","Amhara","Weldiya","January",2017,39.6014117,11.82360232,7.2,NA
"59","Amhara","Kombolcha","January",2017,39.73724188,11.07807805,5.86,NA
"60","Amhara","Dessie","January",2017,39.63548793,11.11703902,5.27,NA
"61","Amhara","Shewa- Robit ","January",2017,39.90269733,10.00580856,6.13,NA
"62","Amhara","Debre-¦","January",2017,39.52890047,9.67650294,5.65,NA
"63","Amhara","Chuahit","July",2016,39.311961,10.643157,4.5,NA
"64","Amhara","Gondar","July",2016,37.46149667,12.59878688,5.5,NA
"65","Amhara","Esete","July",2016,37.88657423,10.92298692,6.94,NA
"66","Amhara","Debre- Tabor ","July",2016,38.00833967,11.84769551,5.4,NA
"67","Amhara","Kobo","July",2016,39.63127424,12.16406542,4.72,NA
"68","Amhara","Weldiya","July",2016,39.6014117,11.82360232,7.24,NA
"69","Amhara","Kombolcha","July",2016,39.73724188,11.07807805,6,NA
"70","Amhara","Dessie","July",2016,39.63548793,11.11703902,5.79,NA
"71","Amhara","Shewa- Robit ","July",2016,39.90269733,10.00580856,9.07,NA
"72","Amhara","Debre-¦","July",2016,39.52890047,9.67650294,5.5,NA
"73","Amhara","Chuahit","June",2017,39.311961,10.643157,6.62,NA
"74","Amhara","Gondar","June",2017,37.46149667,12.59878688,7,NA
"75","Amhara","Esete","June",2017,37.88657423,10.92298692,6.88,NA
"76","Amhara","Debre- Tabor ","June",2017,38.00833967,11.84769551,7.17,NA
"77","Amhara","Kobo","June",2017,39.63127424,12.16406542,6.45,NA
"78","Amhara","Weldiya","June",2017,39.6014117,11.82360232,8.2,NA
