"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"1","ADDIS","addis ababa","April","2017","38.793806","9.023748","8.245","70"
"2","ADDIS","addis ababa","August","2016","38.793806","9.023748","7.74",NA
"3","ADDIS","addis ababa","December","2016","38.793806","9.023748","8",NA
"4","ADDIS","addis ababa","February","2017","38.793806","9.023748","7.905",NA
"5","ADDIS","addis ababa","January","2017","38.793806","9.023748","7.98",NA
"6","ADDIS","addis ababa","July","2016","38.793806","9.023748","7.575",NA
"7","ADDIS","addis ababa","June","2017","38.793806","9.023748","9",NA
"8","ADDIS","addis ababa","March","2017","38.793806","9.023748","7.74",NA
"9","ADDIS","addis ababa","May","2017","38.793806","9.023748","9",NA
"10","ADDIS","addis ababa","November","2016","38.793806","9.023748","8.465",NA
"11","ADDIS","addis ababa","October","2016","38.793806","9.023748","8.57",NA
"12","ADDIS","addis ababa","September","2016","38.793806","9.023748","8",NA
"13","AMHARA","Chuahit","April","2017","39.311961","10.643157","6.37","-"
"14","AMHARA","Gondar","April","2017","37.46149667","12.59878688","6.00","-"
"15","AMHARA","Esete","April","2017","37.88657423","10.92298692","6.97","-"
"16","AMHARA","Debre- Tabor ","April","2017","38.00833967","11.84769551","6.85","-"
"17","AMHARA","Kobo","April","2017","39.63127424","12.16406542","5.35","-"
"18","AMHARA","Weldiya","April","2017","39.6014117","11.82360232","7.23","-"
"19","AMHARA","Kombolcha","April","2017","39.73724188","11.07807805","6.40","-"
"20","AMHARA","Dessie","April","2017","39.63548793","11.11703902","6.00","-"
"21","AMHARA","Shewa- Robit ","April","2017","39.90269733","10.00580856","7.80","-"
"22","AMHARA","Debre-¦","April","2017","39.52890047","9.67650294","6.59","-"
"23","AMHARA","Chuahit","August","2016","39.311961","10.643157","5.50","-"
"24","AMHARA","Gondar","August","2016","37.46149667","12.59878688","5.50","-"
"25","AMHARA","Esete","August","2016","37.88657423","10.92298692","7.05","-"
"26","AMHARA","Debre- Tabor ","August","2016","38.00833967","11.84769551","6.30","-"
"27","AMHARA","Kobo","August","2016","39.63127424","12.16406542","5.01","-"
"28","AMHARA","Weldiya","August","2016","39.6014117","11.82360232","6.92","-"
"29","AMHARA","Kombolcha","August","2016","39.73724188","11.07807805","7.08","-"
"30","AMHARA","Dessie","August","2016","39.63548793","11.11703902","6.52","-"
"31","AMHARA","Shewa- Robit ","August","2016","39.90269733","10.00580856","7.82","-"
"32","AMHARA","Debre-¦","August","2016","39.52890047","9.67650294","6.50","-"
"33","AMHARA","Chuahit","December","2016","39.311961","10.643157","4.50","-"
"34","AMHARA","Gondar","December","2016","37.46149667","12.59878688","5.50","-"
"35","AMHARA","Esete","December","2016","37.88657423","10.92298692","7.10","-"
"36","AMHARA","Debre- Tabor ","December","2016","38.00833967","11.84769551","6.14","-"
"37","AMHARA","Kobo","December","2016","39.63127424","12.16406542","4.86","-"
"38","AMHARA","Weldiya","December","2016","39.6014117","11.82360232","7.26","-"
"39","AMHARA","Kombolcha","December","2016","39.73724188","11.07807805","6.43","-"
"40","AMHARA","Dessie","December","2016","39.63548793","11.11703902","5.24","-"
"41","AMHARA","Shewa- Robit ","December","2016","39.90269733","10.00580856","5.31","-"
"42","AMHARA","Debre-¦","December","2016","39.52890047","9.67650294","5.65","-"
"43","AMHARA","Chuahit","February","2017","39.311961","10.643157","5.00","-"
"44","AMHARA","Gondar","February","2017","37.46149667","12.59878688","5.66","-"
"45","AMHARA","Esete","February","2017","37.88657423","10.92298692","6.95","-"
"46","AMHARA","Debre- Tabor ","February","2017","38.00833967","11.84769551","5.38","-"
"47","AMHARA","Kobo","February","2017","39.63127424","12.16406542","5.22","-"
"48","AMHARA","Weldiya","February","2017","39.6014117","11.82360232","6.42","-"
"49","AMHARA","Kombolcha","February","2017","39.73724188","11.07807805","5.76","-"
"50","AMHARA","Dessie","February","2017","39.63548793","11.11703902","5.88","-"
"51","AMHARA","Shewa- Robit ","February","2017","39.90269733","10.00580856","5.93","-"
"52","AMHARA","Debre-¦","February","2017","39.52890047","9.67650294","5.66","-"
"53","AMHARA","Chuahit","January","2017","39.311961","10.643157","5.50","-"
"54","AMHARA","Gondar","January","2017","37.46149667","12.59878688","5.00","-"
"55","AMHARA","Esete","January","2017","37.88657423","10.92298692","6.83","-"
"56","AMHARA","Debre- Tabor ","January","2017","38.00833967","11.84769551","6.05","-"
"57","AMHARA","Kobo","January","2017","39.63127424","12.16406542","5.59","-"
"58","AMHARA","Weldiya","January","2017","39.6014117","11.82360232","7.20","-"
"59","AMHARA","Kombolcha","January","2017","39.73724188","11.07807805","5.86","-"
"60","AMHARA","Dessie","January","2017","39.63548793","11.11703902","5.27","-"
"61","AMHARA","Shewa- Robit ","January","2017","39.90269733","10.00580856","6.13","-"
"62","AMHARA","Debre-¦","January","2017","39.52890047","9.67650294","5.65","-"
