"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"2","ADDIS","addis ababa","April","2016","38.793806","9.023748","12.83",NA,"14.165",NA,NA,"4.445","28.9"
"3","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"4","ADDIS","addis ababa","April","2016","38.793806","9.023748","12.83",NA,"14.165",NA,NA,"4.445","28.9"
"5","ADDIS","addis ababa","AUGUST","2015","38.793806","9.023748","12.745",NA,"13.915",NA,NA,"4.505","31.49"
"6","ADDIS","addis ababa","DECEMBER","2015","38.793806","9.023748","12.815",NA,"14",NA,NA,"4.395","28.685"
"7","ADDIS","addis ababa","February","2016","38.793806","9.023748","12.83",NA,"14",NA,NA,"4.375","29.225"
"8","ADDIS","addis ababa","JANUARY","2016","38.793806","9.023748","13",NA,"14",NA,NA,"4.49","28.275"
"9","ADDIS","addis ababa","JULY","2015","38.793806","9.023748","12.49",NA,"13.83",NA,NA,"4.455","30.39"
"10","ADDIS","addis ababa","June","2016","38.793806","9.023748","12.66",NA,"14",NA,NA,"4.485","28.69"
"11","ADDIS","addis ababa","March","2016","38.793806","9.023748","12.66",NA,"14.15",NA,NA,"4.48","27.96"
"12","ADDIS","addis ababa","May","2016","38.793806","9.023748","12.66",NA,"14",NA,NA,"4.48","32.115"
"13","ADDIS","addis ababa","NOVEMBER","2015","38.793806","9.023748","13","13","13.83",NA,NA,"4.435","27.59"
"14","ADDIS","addis ababa","October","2015","38.793806","9.023748","12.9",NA,"13.905",NA,NA,"4.465","26.88"
"15","ADDIS","addis ababa","September","2015","38.793806","9.023748","12.745",NA,"14",NA,NA,"4.48","32.615"
"16","AMHARA","Chuahit","April","2016","39.311961","10.643157","-","-","-","-","-","4.43","-"
"17","AMHARA","Gondar","April","2016","37.46149667","12.59878688","9.33","-","-","-","-","4.53","15.00"
"18","AMHARA","Esete","April","2016","37.88657423","10.92298692","8.80","-","6.32","-","-","4.08","11.35"
"19","AMHARA","Debre- Tabor ","April","2016","38.00833967","11.84769551","10.74","-","9.43","-","-","4.04","13.34"
"20","AMHARA","Kobo","April","2016","39.63127424","12.16406542","11.05","-","13.51","-","-","4.53","-"
"21","AMHARA","Weldiya","April","2016","39.6014117","11.82360232","9.63","-","12.66","-","-","4.72","23.37"
"22","AMHARA","Kombolcha","April","2016","39.73724188","11.07807805","8.57","-","-","-","-","3.97","42.02"
"23","AMHARA","Dessie","April","2016","39.63548793","11.11703902","7.47","6.92","11.82","-","-","3.30","23.62"
"24","AMHARA","Shewa- Robit ","April","2016","39.90269733","10.00580856","11.80","-","-","-","-","5.00","-"
"25","AMHARA","Debre-¦","April","2016","39.52890047","9.67650294","9.16","8.16","-","-","-","5.48","-"
"26","AMHARA","Chuahit","AUGUST","2015","39.311961","10.643157","10.00","-","-","-","-","4.43","-"
"27","AMHARA","Gondar","AUGUST","2015","37.46149667","12.59878688","10.00","-","-","-","-","4.53","15.00"
"28","AMHARA","Esete","AUGUST","2015","37.88657423","10.92298692","9.44","-","8.98","-","-","4.23","11.33"
"29","AMHARA","Debre- Tabor ","AUGUST","2015","38.00833967","11.84769551","11.98","-","8.46","-","-","3.19","13.70"
"30","AMHARA","Kobo","AUGUST","2015","39.63127424","12.16406542","10.41","-","14.34","-","-","4.53","-"
"31","AMHARA","Weldiya","AUGUST","2015","39.6014117","11.82360232","10.37","-","10.68","-","-","4.38","24.20"
"32","AMHARA","Kombolcha","AUGUST","2015","39.73724188","11.07807805","10.33","-","11.30","-","-","4.04","40.45"
"33","AMHARA","Dessie","AUGUST","2015","39.63548793","11.11703902","9.36","8.96","-","-","-","2.57","20.04"
"34","AMHARA","Shewa- Robit ","AUGUST","2015","39.90269733","10.00580856","13.27","-","19.47","-","-","5.72","-"
"35","AMHARA","Debre-¦","AUGUST","2015","39.52890047","9.67650294","10.53","9.93","-","-","-","5.17","-"
"36","AMHARA","Chuahit","DECEMBER","2015","39.311961","10.643157","10.00","-","-","-","-","4.43","-"
"37","AMHARA","Gondar","DECEMBER","2015","37.46149667","12.59878688","10.00","-","-","-","-","4.53","15.00"
"38","AMHARA","Esete","DECEMBER","2015","37.88657423","10.92298692","8.31","-","7.50","-","-","3.94","10.80"
"39","AMHARA","Debre- Tabor ","DECEMBER","2015","38.00833967","11.84769551","12.12","-","9.28","-","-","3.88","10.61"
"40","AMHARA","Kobo","DECEMBER","2015","39.63127424","12.16406542","10.94","-","12.26","-","-","4.53","-"
"41","AMHARA","Weldiya","DECEMBER","2015","39.6014117","11.82360232","9.63","-","13.95","-","-","4.38","26.63"
"42","AMHARA","Kombolcha","DECEMBER","2015","39.73724188","11.07807805","9.91","-","11.93","-","-","4.04","38.93"
"43","AMHARA","Dessie","DECEMBER","2015","39.63548793","11.11703902","10.04","9.48","11.80","-","-","3.50","36.69"
"44","AMHARA","Shewa- Robit ","DECEMBER","2015","39.90269733","10.00580856","12.01","-","-","-","-","4.96","-"
"45","AMHARA","Debre-¦","DECEMBER","2015","39.52890047","9.67650294","10.00","9.90","-","-","-","5.82","-"
"46","AMHARA","Chuahit","February","2016","39.311961","10.643157","-","-","-","-","-","4.41","-"
"47","AMHARA","Gondar","February","2016","37.46149667","12.59878688","10.16","-","-","-","-","4.53","15.00"
"48","AMHARA","Esete","February","2016","37.88657423","10.92298692","8.52","-","7.10","-","-","4.12","12.28"
