"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.hullb","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"2","Addis","Addis Ababa","April",2016,38.793806,9.023748,13,10.825,12,13,21.5,NA,NA,32.375,13
"4","Addis","Addis Ababa","April",2016,38.793806,9.023748,13,10.825,12,13,21.5,NA,NA,32.375,13
"5","Addis","Addis Ababa","August",2015,38.793806,9.023748,13,11.295,12,13,21.5,NA,NA,30.805,13
"6","Addis","Addis Ababa","December",2015,38.793806,9.023748,13.08,11,12.38,13,18,NA,NA,30.825,13.08
"7","Addis","Addis Ababa","February",2016,38.793806,9.023748,12.83,11,12.08,13,20,NA,NA,33.275,12.83
"8","Addis","Addis Ababa","January",2016,38.793806,9.023748,13,11,12.16,13,20,NA,NA,31.36,13
"9","Addis","Addis Ababa","July",2015,38.793806,9.023748,13,11.49,12,13,20,NA,NA,31.25,13
"10","Addis","Addis Ababa","June",2016,38.793806,9.023748,13.485,12,12.24,13,NA,NA,NA,32.06,13.485
"11","Addis","Addis Ababa","March",2016,38.793806,9.023748,12.83,10,12,12.32,16,NA,NA,30.3,12.83
"12","Addis","Addis Ababa","May",2016,38.793806,9.023748,13,11.16,12.49,12.985,25,NA,NA,31.29,13
"13","Addis","Addis Ababa","November",2015,38.793806,9.023748,13,12,12.16,13,23.66,NA,NA,32,13
"14","Addis","Addis Ababa","October",2015,38.793806,9.023748,12.985,11.875,12,13,29,NA,NA,32.095,12.985
"15","Addis","Addis Ababa","September",2015,38.793806,9.023748,13.165,11.29,12.075,13,18.97,NA,NA,32.505,13.165
"16","Amhara","Chuahit","April",2016,39.311961,10.643157,NA,7,NA,NA,NA,NA,NA,13.67,7
"17","Amhara","Gondar","April",2016,37.46149667,12.59878688,10.66,NA,NA,NA,16,NA,NA,14,10.66
"18","Amhara","Esete","April",2016,37.88657423,10.92298692,7.69,7.76,5.92,12.07,14.64,NA,NA,11.47,7.69
"19","Amhara","Debre- Tabor ","April",2016,38.00833967,11.84769551,NA,7.99,8.7,9.95,16.98,NA,NA,14.98,8.7
"20","Amhara","Kobo","April",2016,39.63127424,12.16406542,10,NA,NA,NA,NA,NA,NA,16,10
"21","Amhara","Weldiya","April",2016,39.6014117,11.82360232,12.04,9,9.09,NA,11.36,NA,NA,15.81,12.04
"22","Amhara","Kombolcha","April",2016,39.73724188,11.07807805,11.24,10.03,9.24,NA,32.93,NA,NA,40.4,11.24
"23","Amhara","Dessie","April",2016,39.63548793,11.11703902,7.35,7.23,NA,NA,22.95,NA,NA,18.4,7.35
"24","Amhara","Shewa- Robit ","April",2016,39.90269733,10.00580856,8.99,NA,9.09,12.32,NA,NA,NA,13.71,8.99
"25","Amhara","Debre-¦","April",2016,39.52890047,9.67650294,7.32,5.83,NA,10.32,NA,NA,NA,15.35,7.32
"26","Amhara","Chuahit","August",2015,39.311961,10.643157,NA,8,NA,NA,NA,NA,NA,13.6,8
"27","Amhara","Gondar","August",2015,37.46149667,12.59878688,11.16,NA,NA,NA,17.83,NA,NA,NA,11.16
"28","Amhara","Esete","August",2015,37.88657423,10.92298692,9.4,9.41,7.52,13.46,16.23,NA,NA,12.16,9.4
