"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","P R I C E   I N    B I R R_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","P R I C E   I N    B I R R"
"1182","TIGRAY","Adwa","JANUARY","2016","38.88818805","14.14845458","10.49","-","-","-","17.91","-","-","19.27"
"1183","TIGRAY","Axum","JANUARY","2016","38.71879888","14.11130791","8.77","-","-","-","21.25","-","-","12.77"
"1184","TIGRAY","Adigrat","JANUARY","2016","39.46033457","14.26667752","9.49","-","8.57","-","-","-","-","22.22"
"1185","TIGRAY","Wukiro","JANUARY","2016","39.599747","13.796083","9.82","-","9.44","-","11.65","-","-","26.29"
"1186","TIGRAY","Mai- chew ","JANUARY","2016","39.541533","12.78792086","8.90","8.29","-","-","-","-","-","12.96"
"1187","TIGRAY","Mekelle","JANUARY","2016","39.47221911","13.48719005","10.83","-","11.66","-","-","-","-","29.07"
"1188","AFAR","Ayisaeta","JANUARY","2016","41.43333","11.56667","16.00","-","11.00","-","-","-","-","-"
"1189","AFAR","Dubti","JANUARY","2016","41.08260323","11.72765333","12.00","-","10.00","10.00","-","-","-","40.00"
"1190","AFAR","Melka Werers ","JANUARY","2016","40.18154914","9.340880502","12.66","-","-","12.32","-","-","-","21.54"
"1191","AFAR","Sebat killo ","JANUARY","2016","8.983333333","40.16666667","9.00","8.26","8.93","10.32","-","-","-","18.29"
"1192","TIGRAY","Enda- silase ","JULY","2015","38.27211005","14.08944251","10.39","-","-","-","-","-","-","22.42"
"1193","TIGRAY","Enda- baguna ","JULY","2015","38.19317204","13.97860867","10.42","-","-","-","-","-","-","16.50"
"1194","TIGRAY","Adwa","JULY","2015","38.88818805","14.14845458","11.23","-","-","-","16.90","-","-","20.33"
"1195","TIGRAY","Axum","JULY","2015","38.71879888","14.11130791","9.94","-","-","-","21.69","-","-","-"
"1196","TIGRAY","Adigrat","JULY","2015","39.46033457","14.26667752","7.16","-","7.32","-","-","-","-","21.45"
"1197","TIGRAY","Wukiro","JULY","2015","39.599747","13.796083","7.30","-","7.46","-","-","-","-","25.77"
"1198","TIGRAY","Mai- chew ","JULY","2015","39.541533","12.78792086","8.29","7.53","10.92","-","-","-","-","14.07"
"1199","TIGRAY","Mekelle","JULY","2015","39.47221911","13.48719005","10.16","-","10.32","-","-","-","-","22.88"
"1200","AFAR","Ayisaeta","JULY","2015","41.43333","11.56667","14.00","13.00","-","-","-","12.00","-","-"
"1201","AFAR","Dubti","JULY","2015","41.08260323","11.72765333","11.49","10.00","-","-","-","-","-","54.77"
"1202","AFAR","Melka Werers ","JULY","2015","40.18154914","9.340880502","10.32","-","-","10.66","-","-","-","21.54"
"1203","AFAR","Sebat killo ","JULY","2015","8.983333333","40.16666667","10.49","8.83","9.32","10.93","-","-","-","18.98"
"1204","TIGRAY","Enda- silase ","June","2016","38.27211005","14.08944251","10.66","-","-","-","-","-","-","28.41"
"1205","TIGRAY","Enda- baguna ","June","2016","38.19317204","13.97860867","9.88","-","-","-","-","-","-","12.50"
"1206","TIGRAY","Adwa","June","2016","38.88818805","14.14845458","11.30","-","-","-","17.40","-","-","19.45"
"1207","TIGRAY","Axum","June","2016","38.71879888","14.11130791","9.15","-","-","-","23.38","-","-","16.43"
"1208","TIGRAY","Adigrat","June","2016","39.46033457","14.26667752","10.00","-","9.72","-","-","-","-","22.39"
"1209","TIGRAY","Wukiro","June","2016","39.599747","13.796083","6.98","-","7.10","-","13.13","-","-","25.50"
"1210","TIGRAY","Mai- chew ","June","2016","39.541533","12.78792086","10.71","9.58","10.66","-","-","-","-","13.45"
"1211","TIGRAY","Mekelle","June","2016","39.47221911","13.48719005","12.97","-","11.66","-","-","-","-","30.00"
"1212","AFAR","Ayisaeta","June","2016","41.43333","11.56667","-","-","15.00","-","-","-","-","-"
"1213","AFAR","Dubti","June","2016","41.08260323","11.72765333","14.00","-","12.00","12.66","-","-","-","-"
"1214","AFAR","Melka Werers ","June","2016","40.18154914","9.340880502","12.32","-","-","11.66","-","-","-","16.51"
"1215","AFAR","Sebat killo ","June","2016","8.983333333","40.16666667","10.49","8.83","9.32","10.32","-","-","-","18.64"
"1216","TIGRAY","Enda- silase ","March","2016","38.27211005","14.08944251","8.78","-","-","-","-","-","-","20.84"
"1217","TIGRAY","Enda- baguna ","March","2016","38.19317204","13.97860867","10.21","-","-","-","-","-","-","12.40"
"1218","TIGRAY","Adwa","March","2016","38.88818805","14.14845458","11.36","-","-","-","15.64","-","-","21.34"
