"","Region","Market","Month","Year","Longitude","Latitude","pkg.mai.maize","pkg.mai.millm"
"2","Addis","Addis Ababa","August",2013,38.793806,9.023748,7.5,9
"4","Addis","Addis Ababa","February",2014,38.793806,9.023748,7.165,9
"5","Addis","Addis Ababa","January",2014,38.793806,9.023748,7.5,9.32
"6","Addis","Addis Ababa","July",2013,38.793806,9.023748,7.33,9
"7","Addis","Addis Ababa","June",2014,38.793806,9.023748,7.49,8.66
"8","Addis","Addis Ababa","May",2014,38.793806,9.023748,7.24,9
"9","Addis","Addis Ababa","November",2013,38.793806,9.023748,10,11
"10","Addis","Addis Ababa","October",2013,38.793806,9.023748,9.36,10
"11","Addis","Addis Ababa","September",2013,38.793806,9.023748,8.24,9.83
"12","Amhara","Chuahit","April",2014,39.311961,10.643157,6,NA
"13","Amhara","Gondar","April",2014,37.46149667,12.59878688,6,NA
"14","Amhara","Esete","April",2014,37.88657423,10.92298692,6.5,NA
"15","Amhara","Debre- Tabor ","April",2014,38.00833967,11.84769551,7.01,NA
"16","Amhara","Kobo","April",2014,39.63127424,12.16406542,6.2,NA
"17","Amhara","Weldiya","April",2014,39.6014117,11.82360232,6.66,NA
"18","Amhara","Kombolcha","April",2014,39.73724188,11.07807805,6.35,NA
"19","Amhara","Dessie","April",2014,39.63548793,11.11703902,7.63,16
"20","Amhara","Shewa- Robit ","April",2014,39.90269733,10.00580856,6.44,NA
"21","Amhara","Debre-¦","April",2014,39.52890047,9.67650294,6.16,NA
"22","Amhara","Chuahit","August",2013,39.311961,10.643157,7,NA
"23","Amhara","Gondar","August",2013,37.46149667,12.59878688,7.13,NA
"24","Amhara","Esete","August",2013,37.88657423,10.92298692,7.94,NA
"25","Amhara","Debre- Tabor ","August",2013,38.00833967,11.84769551,7.61,NA
"26","Amhara","Kobo","August",2013,39.63127424,12.16406542,7.07,NA
"27","Amhara","Weldiya","August",2013,39.6014117,11.82360232,7.86,NA
"28","Amhara","Kombolcha","August",2013,39.73724188,11.07807805,6.48,NA
"29","Amhara","Dessie","August",2013,39.63548793,11.11703902,5.8,11
"30","Amhara","Shewa- Robit ","August",2013,39.90269733,10.00580856,7.1,NA
"31","Amhara","Debre-¦","August",2013,39.52890047,9.67650294,6.5,NA
"32","Amhara","Chuahit","December",2013,39.311961,10.643157,5.58,NA
"33","Amhara","Gondar","December",2013,37.46149667,12.59878688,6.5,NA
"34","Amhara","Esete","December",2013,37.88657423,10.92298692,7.04,NA
"35","Amhara","Debre- Tabor ","December",2013,38.00833967,11.84769551,6.14,NA
