"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","P R I C E   I N    B I R R_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","P R I C E   I N    B I R R"
"2","ADDIS","addis ababa","APRIL","2014","38.793806","9.023748","10.66","10","10.08","10.5","23.5",NA,NA,"23.53"
"3","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","P R I C E   I N    B I R R"
"4","ADDIS","addis ababa","APRIL","2014","38.793806","9.023748","10.66","10","10.08","10.5","23.5",NA,NA,"23.53"
"5","ADDIS","addis ababa","AUGUST","2013","38.793806","9.023748","10","8.33","8.915","10.24","18.5",NA,NA,"20.12"
"6","ADDIS","addis ababa","DECEMBER","2013","38.793806","9.023748","10.49","9.415","10","11",NA,NA,NA,"20.76"
"7","ADDIS","addis ababa","FEBRUARY","2014","38.793806","9.023748","10","9","10","10.32","25",NA,NA,"23.79"
"8","ADDIS","addis ababa","JANUARY","2014","38.793806","9.023748","10.32","9.415","10","10.49","18.945",NA,NA,"23.16"
"9","ADDIS","addis ababa","JULY","2013","38.793806","9.023748","9.905","8.33","8.915","10","18.97",NA,NA,"18.4"
"10","ADDIS","addis ababa","JUNE","2014","38.793806","9.023748","11.24","10","10.49","11.66",NA,NA,NA,"22.75"
"11","ADDIS","addis ababa","MAY","2014","38.793806","9.023748","10.49","9.83","10","11","16",NA,NA,"22.95"
"12","ADDIS","addis ababa","NOVEMBER","2013","38.793806","9.023748","10.66","9.32","10","11","20",NA,NA,"20.26"
"13","ADDIS","addis ababa","OCTOBER","2013","38.793806","9.023748","10.08","8.915","9.57","10","18.97",NA,NA,"19.77"
"14","ADDIS","addis ababa","SEPTEMBER(1)","2013(1)","38.793806","9.023748","10","8.75","9","10","19.31",NA,NA,"19.275"
"15","AMHARA","Chuahit","APRIL","2014","39.311961","10.643157","-","8.50","-","-","-","-","-","13.61"
"16","AMHARA","Gondar","APRIL","2014","37.46149667","12.59878688","9.66","-","-","-","15.00","-","-","-"
"17","AMHARA","Esete","APRIL","2014","37.88657423","10.92298692","7.80","7.84","7.21","8.93","12.20","-","-","10.88"
"18","AMHARA","Debre- Tabor ","APRIL","2014","38.00833967","11.84769551","-","7.86","8.02","10.74","11.27","-","-","20.80"
"19","AMHARA","Kobo","APRIL","2014","39.63127424","12.16406542","8.39","7.94","-","-","-","-","-","21.79"
"20","AMHARA","Weldiya","APRIL","2014","39.6014117","11.82360232","11.67","8.75","8.42","-","19.22","-","-","15.65"
"21","AMHARA","Kombolcha","APRIL","2014","39.73724188","11.07807805","8.82","8.02","8.45","-","22.59","-","-","34.30"
"22","AMHARA","Dessie","APRIL","2014","39.63548793","11.11703902","9.31","8.57","-","-","-","26.00","-","17.44"
"23","AMHARA","Shewa- Robit ","APRIL","2014","39.90269733","10.00580856","9.95","8.81","8.59","9.30","20.00","-","-","10.50"
"24","AMHARA","Debre-¦","APRIL","2014","39.52890047","9.67650294","7.50","7.00","-","8.00","9.52","-","-","22.82"
"25","AMHARA","Chuahit","AUGUST","2013","39.311961","10.643157","-","-","8.00","-","-","-","-","15.08"
"26","AMHARA","Gondar","AUGUST","2013","37.46149667","12.59878688","10.00","-","-","-","14.33","-","-","-"
"27","AMHARA","Esete","AUGUST","2013","37.88657423","10.92298692","8.81","8.97","9.09","8.95","11.78","-","-","10.35"
"28","AMHARA","Debre- Tabor ","AUGUST","2013","38.00833967","11.84769551","-","8.69","8.71","-","12.13","-","-","15.47"
"29","AMHARA","Kobo","AUGUST","2013","39.63127424","12.16406542","10.97","10.31","-","-","-","-","-","20.96"
"30","AMHARA","Weldiya","AUGUST","2013","39.6014117","11.82360232","10.49","8.89","8.59","-","15.38","-","-","20.35"
"31","AMHARA","Kombolcha","AUGUST","2013","39.73724188","11.07807805","9.26","8.20","8.51","-","22.68","-","-","26.82"
"32","AMHARA","Dessie","AUGUST","2013","39.63548793","11.11703902","9.54","7.91","-","-","-","14.00","-","12.95"
"33","AMHARA","Shewa- Robit ","AUGUST","2013","39.90269733","10.00580856","10.10","-","9.01","9.84","17.36","-","-","12.87"
"34","AMHARA","Debre-¦","AUGUST","2013","39.52890047","9.67650294","7.00","7.33","8.55","8.00","9.50","-","-","12.15"
"35","AMHARA","Chuahit","DECEMBER","2013","39.311961","10.643157","-","7.50","-","-","-","-","-","13.61"
"36","AMHARA","Gondar","DECEMBER","2013","37.46149667","12.59878688","10.00","-","-","-","12.83","-","-","15.33"
"37","AMHARA","Esete","DECEMBER","2013","37.88657423","10.92298692","8.77","8.73","6.44","7.38","12.32","-","-","-"
"38","AMHARA","Debre- Tabor ","DECEMBER","2013","38.00833967","11.84769551","-","9.50","9.08","10.25","12.14","-","-","12.05"
"39","AMHARA","Kobo","DECEMBER","2013","39.63127424","12.16406542","9.35","8.89","-","-","-","-","-","21.29"
"40","AMHARA","Weldiya","DECEMBER","2013","39.6014117","11.82360232","10.83","8.50","8.42","-","15.63","-","-","14.78"
"41","AMHARA","Kombolcha","DECEMBER","2013","39.73724188","11.07807805","9.44","8.65","8.67","-","-","-","-","-"
"42","AMHARA","Dessie","DECEMBER","2013","39.63548793","11.11703902","9.49","8.83","-","-","24.54","28.00","-","23.00"
"43","AMHARA","Shewa- Robit ","DECEMBER","2013","39.90269733","10.00580856","9.75","-","10.24","-","15.97","-","-","15.35"
"44","AMHARA","Debre-¦","DECEMBER","2013","39.52890047","9.67650294","7.66","7.16","-","8.75","9.57","-","-","21.06"
"45","AMHARA","Chuahit","FEBRUARY","2014","39.311961","10.643157","-","8.73","-","-","-","-","-","14.14"
"46","AMHARA","Gondar","FEBRUARY","2014","37.46149667","12.59878688","10.00","-","-","-","14.00","-","-","-"
"47","AMHARA","Esete","FEBRUARY","2014","37.88657423","10.92298692","8.85","8.70","7.11","8.50","15.48","-","-","10.23"
"48","AMHARA","Debre- Tabor ","FEBRUARY","2014","38.00833967","11.84769551","-","7.62","7.49","10.66","12.56","-","-","13.61"
"49","AMHARA","Kobo","FEBRUARY","2014","39.63127424","12.16406542","8.13","7.47","-","-","-","-","-","22.56"
"50","AMHARA","Weldiya","FEBRUARY","2014","39.6014117","11.82360232","10.80","8.59","8.42","-","15.63","-","-","14.53"
"51","AMHARA","Kombolcha","FEBRUARY","2014","39.73724188","11.07807805","9.58","8.78","8.68","-","-","-","-","34.01"
"52","AMHARA","Dessie","FEBRUARY","2014","39.63548793","11.11703902","10.32","9.29","-","-","-","20.00","-","16.30"
"53","AMHARA","Shewa- Robit ","FEBRUARY","2014","39.90269733","10.00580856","10.26","-","9.02","10.24","23.18","-","-","14.39"
"54","AMHARA","Debre-¦","FEBRUARY","2014","39.52890047","9.67650294","7.00","6.00","6.76","8.00","7.64","-","-","21.06"
"55","AMHARA","Chuahit","JANUARY","2014","39.311961","10.643157","-","8.00","-","-","-","-","-","15.06"
"56","AMHARA","Gondar","JANUARY","2014","37.46149667","12.59878688","10.16","-","-","-","14.66","-","-","-"
"57","AMHARA","Esete","JANUARY","2014","37.88657423","10.92298692","7.89","7.87","6.56","7.76","12.58","-","-","10.29"
"58","AMHARA","Debre- Tabor ","JANUARY","2014","38.00833967","11.84769551","-","9.37","8.78","10.94","-","-","-","9.93"
"59","AMHARA","Kobo","JANUARY","2014","39.63127424","12.16406542","9.38","8.30","-","-","-","-","-","21.96"
"60","AMHARA","Weldiya","JANUARY","2014","39.6014117","11.82360232","10.83","8.53","8.45","-","15.64","-","-","15.81"
"61","AMHARA","Kombolcha","JANUARY","2014","39.73724188","11.07807805","9.35","8.70","8.45","-","-","-","-","36.01"
"62","AMHARA","Dessie","JANUARY","2014","39.63548793","11.11703902","10.07","8.72","-","-","-","-","-","16.30"
"63","AMHARA","Shewa- Robit ","JANUARY","2014","39.90269733","10.00580856","10.05","-","8.65","9.98","-","-","-","-"
"64","AMHARA","Debre-¦","JANUARY","2014","39.52890047","9.67650294","7.50","7.00","-","8.50","9.56","-","-","19.87"
"65","AMHARA","Chuahit","JULY","2013","39.311961","10.643157","-","8.66","-","-","-","-","-","-"
"66","AMHARA","Gondar","JULY","2013","37.46149667","12.59878688","9.66","-","-","-","14.83","-","-","-"
"67","AMHARA","Esete","JULY","2013","37.88657423","10.92298692","7.62","7.86","7.27","7.55","11.05","-","-","10.28"
"68","AMHARA","Debre- Tabor ","JULY","2013","38.00833967","11.84769551","-","8.61","7.88","-","11.23","-","-","10.17"
"69","AMHARA","Kobo","JULY","2013","39.63127424","12.16406542","10.63","-","-","-","-","-","-","18.85"
"70","AMHARA","Weldiya","JULY","2013","39.6014117","11.82360232","10.78","8.69","8.59","-","12.90","-","-","15.74"
"71","AMHARA","Kombolcha","JULY","2013","39.73724188","11.07807805","9.60","8.70","8.27","-","19.57","-","-","-"
