"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.hullb","pkg.bar.allba"
"713","Snnp","Bodite","May",2019,37.89064905,7.038034865,17.49,17,18,NA,NA,NA,NA,23.59,NA,17.49
"714","Snnp","Jinka","May",2019,36.56441614,5.78310286,18.03,17.83,18.07,NA,20.86,NA,NA,28.85,NA,18.03
"715","Snnp","Dimeka","May",2019,36.45041198,4.892522922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","Snnp","Masha","May",2019,35.47956686,7.741652627,16.82,17.98,18.39,NA,NA,NA,NA,33.9,NA,16.82
"717","Snnp","Tepi","May",2019,35.36770327,7.320015599,NA,14,15,NA,NA,40,NA,29.42,NA,14
"718","Snnp","Boniga","May",2019,36.24008346,7.388535704,16,13,15,NA,NA,NA,NA,32.13,NA,16
"719","Snnp","Chana","May",2019,36.11775846,6.226550231,17,11,11,NA,NA,NA,NA,15.92,NA,17
"720","Snnp","Arbam- Minch ","May",2019,37.5527474,6.024547891,18,NA,17.49,NA,NA,NA,NA,22.22,NA,18
"721","Snnp","Sawla","May",2019,36.87437474,6.300226567,11.62,11.1,14.07,NA,NA,NA,NA,NA,NA,11.62
"722","Snnp","Welayita","November",2018,NA,NA,18.97,16,17,NA,NA,NA,NA,34.15,NA,18.97
"723","Snnp","Bodite","November",2018,37.89064905,7.038034865,18,17,18,NA,NA,NA,NA,22.95,NA,18
"724","Snnp","Jinka","November",2018,36.56441614,5.78310286,18.11,18.07,18.18,NA,28.17,NA,NA,27.68,NA,18.11
"725","Snnp","Dimeka","November",2018,36.45041198,4.892522922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726","Snnp","Masha","November",2018,35.47956686,7.741652627,14.9,15.73,15.73,NA,NA,NA,NA,43.64,NA,14.9
"727","Snnp","Tepi","November",2018,35.36770327,7.320015599,16,13.49,NA,NA,NA,35,40,26.02,NA,16
"728","Snnp","Boniga","November",2018,36.24008346,7.388535704,15,12,14,NA,NA,NA,NA,20.88,NA,15
"729","Snnp","Chana","November",2018,36.11775846,6.226550231,17,13,13,NA,NA,NA,NA,16.29,NA,17
"730","Snnp","Arbam- Minch ","November",2018,37.5527474,6.024547891,17,NA,16.49,NA,NA,NA,NA,19.75,NA,17
"731","Snnp","Sawla","November",2018,36.87437474,6.300226567,17.81,16.6,18.03,NA,34.6,NA,NA,NA,NA,17.81
"732","Snnp","Welayita","October",2018,NA,NA,18,15.49,16,NA,NA,NA,NA,33.33,NA,18
"733","Snnp","Bodite","October",2018,37.89064905,7.038034865,17.49,16,16.49,18,NA,NA,NA,22.43,NA,17.49
"734","Snnp","Jinka","October",2018,36.56441614,5.78310286,18.13,18.05,18.18,NA,26.15,NA,NA,27.69,NA,18.13
"735","Snnp","Dimeka","October",2018,36.45041198,4.892522922,14.93,NA,NA,NA,NA,NA,NA,NA,NA,14.93
"736","Snnp","Masha","October",2018,35.47956686,7.741652627,19.07,17.98,20.33,NA,NA,NA,NA,NA,NA,19.07
"737","Snnp","Tepi","October",2018,35.36770327,7.320015599,16,14,15,NA,NA,35,40,32.79,NA,16
"738","Snnp","Boniga","October",2018,36.24008346,7.388535704,16,14,15,NA,NA,NA,NA,24.49,NA,16
"739","Snnp","Chana","October",2018,36.11775846,6.226550231,17,13,13,NA,NA,NA,NA,17.2,NA,17
"740","Snnp","Arbam- Minch ","October",2018,37.5527474,6.024547891,16.49,NA,16.49,NA,NA,NA,NA,20.99,NA,16.49
"741","Snnp","Sawla","October",2018,36.87437474,6.300226567,17.81,19.75,21.54,NA,24.57,NA,NA,NA,NA,17.81
"742","Snnp","Welayita","September",2018,NA,NA,17.49,13.49,15.49,NA,NA,NA,NA,29.28,NA,17.49
"743","Snnp","Bodite","September",2018,37.89064905,7.038034865,17.49,16,18,18,NA,NA,NA,23.04,NA,17.49
"744","Snnp","Jinka","September",2018,36.56441614,5.78310286,18.05,17.94,18.07,NA,26.53,NA,NA,27.17,NA,18.05
"745","Snnp","Dimeka","September",2018,36.45041198,4.892522922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","Snnp","Masha","September",2018,35.47956686,7.741652627,21.32,20.01,19.07,NA,NA,40,NA,NA,NA,21.32
"747","Snnp","Tepi","September",2018,35.36770327,7.320015599,16,14,15,NA,NA,35,40,32.79,NA,16
"748","Snnp","Boniga","September",2018,36.24008346,7.388535704,16,14,16,NA,NA,NA,NA,24.49,NA,16
"749","Snnp","Chana","September",2018,36.11775846,6.226550231,16,10,10,NA,NA,NA,NA,22.47,NA,16
"750","Snnp","Arbam- Minch ","September",2018,37.5527474,6.024547891,17,NA,17.49,NA,NA,NA,NA,19.75,NA,17
"751","Snnp","Sawla","September",2018,36.87437474,6.300226567,19.88,19.07,21.22,NA,23.21,NA,NA,NA,NA,19.88
"752","Snnp","Shewa- Bench ","April",2019,NA,NA,16,10,12,NA,NA,50,40,39.22,NA,16
"753","Snnp","Mizan- Teferi ","April",2019,35.41120174,6.883477024,15,11.49,12,NA,NA,40,NA,20,NA,15
"754","Snnp","Deri","April",2019,36.28577951,7.384839762,13.02,NA,10.85,NA,NA,NA,NA,NA,NA,13.02
"755","Snnp","Amaro Kele ","April",2019,6.083333333,38.03333333,16.22,NA,16.56,16.22,19.67,NA,NA,NA,NA,16.22
"756","Snnp","Soyama","April",2019,5.7,37.88333333,18.18,17.11,NA,NA,NA,NA,NA,NA,NA,18.18
"757","Snnp","Karate","April",2019,5.25,37.48333333,17.1,NA,NA,NA,NA,NA,NA,NA,NA,17.1
"758","Snnp","Gidola","April",2019,37.34772952,5.647078098,17.07,15.87,16.74,NA,13.15,NA,NA,NA,NA,17.07
"759","Snnp","Tercha","April",2019,37.175334,7.146295,17.44,13.49,13.49,NA,NA,NA,NA,NA,NA,17.44
"760","Snnp","Besite- Chere ","April",2019,NA,NA,20,16.49,NA,NA,NA,NA,NA,NA,NA,20
"761","Snnp","Lasoka","April",2019,36.60777815,6.30774507,9.44,NA,9.62,NA,19.67,NA,NA,18.63,NA,9.44
"762","Snnp","Amaya","April",2019,36.68000727,7.105541206,12.5,12.31,12.31,NA,18.59,NA,NA,NA,NA,12.5
"763","Snnp","Shewa- Bench ","August",2018,NA,NA,16.49,14.49,16.49,NA,NA,38.99,NA,23.84,NA,16.49
"764","Snnp","Mizan- Teferi ","August",2018,35.41120174,6.883477024,16,15,13,NA,NA,NA,NA,20,NA,16
"765","Snnp","Deri","August",2018,36.28577951,7.384839762,12,11.88,NA,NA,NA,NA,NA,NA,NA,12
"766","Snnp","Amaro Kele ","August",2018,6.083333333,38.03333333,15.28,NA,15.49,17.93,19.26,NA,NA,NA,NA,15.28
"767","Snnp","Soyama","August",2018,5.7,37.88333333,16.33,14.67,NA,NA,NA,NA,NA,NA,NA,16.33
"768","Snnp","Karate","August",2018,5.25,37.48333333,16.45,NA,NA,NA,NA,NA,NA,NA,NA,16.45
"769","Snnp","Gidola","August",2018,37.34772952,5.647078098,17.28,14.17,17.29,NA,23.34,NA,NA,NA,NA,17.28
"770","Snnp","Tercha","August",2018,37.175334,7.146295,20,16,NA,NA,NA,NA,NA,NA,NA,20
"771","Snnp","Besite- Chere ","August",2018,NA,NA,20,15,17,NA,NA,NA,NA,NA,NA,20
"772","Snnp","Lasoka","August",2018,36.60777815,6.30774507,15.09,14.39,15.38,NA,22.65,NA,NA,34.5,NA,15.09
"773","Snnp","Amaya","August",2018,36.68000727,7.105541206,10.94,10.71,10.87,NA,NA,NA,NA,NA,NA,10.94
"774","Snnp","Shewa- Bench ","December",2018,NA,NA,16,12,14,NA,NA,45,35,34.5,NA,16
"775","Snnp","Mizan- Teferi ","December",2018,35.41120174,6.883477024,15,13,13,NA,NA,48.99,NA,20,NA,15
"776","Snnp","Deri","December",2018,36.28577951,7.384839762,11.17,12.35,NA,NA,NA,NA,NA,35.96,NA,11.17
"777","Snnp","Amaro Kele ","December",2018,6.083333333,38.03333333,16.67,NA,17.84,NA,19.67,NA,NA,NA,NA,16.67
"778","Snnp","Soyama","December",2018,5.7,37.88333333,16.22,15.01,13.24,NA,NA,NA,NA,NA,NA,16.22
"779","Snnp","Karate","December",2018,5.25,37.48333333,17.09,NA,NA,NA,NA,NA,NA,NA,NA,17.09
"780","Snnp","Gidola","December",2018,37.34772952,5.647078098,19.19,16.09,17.58,NA,21.98,NA,NA,NA,NA,19.19
"781","Snnp","Tercha","December",2018,37.175334,7.146295,20,15.49,16.49,NA,NA,NA,NA,NA,NA,20
"782","Snnp","Besite- Chere ","December",2018,NA,NA,20,16,18,NA,NA,NA,NA,NA,NA,20
"783","Snnp","Lasoka","December",2018,36.60777815,6.30774507,14.98,NA,14.65,NA,37.46,NA,NA,30.87,NA,14.98
"784","Snnp","Amaya","December",2018,36.68000727,7.105541206,14.17,14,14.3,NA,NA,NA,NA,NA,NA,14.17
"785","Snnp","Shewa- Bench ","February",2019,NA,NA,17,15,17,NA,NA,45,40,30.86,NA,17
"786","Snnp","Mizan- Teferi ","February",2019,35.41120174,6.883477024,15,12.49,12,NA,NA,40,NA,20,NA,15
"787","Snnp","Deri","February",2019,36.28577951,7.384839762,NA,10.53,NA,NA,NA,NA,NA,NA,NA,10.53
"788","Snnp","Amaro Kele ","February",2019,6.083333333,38.03333333,14.09,NA,16.02,14.87,17.4,NA,NA,NA,NA,14.09
"789","Snnp","Soyama","February",2019,5.7,37.88333333,18.3,16.77,NA,NA,NA,NA,NA,NA,NA,18.3
"790","Snnp","Karate","February",2019,5.25,37.48333333,17.1,NA,NA,NA,NA,NA,NA,NA,NA,17.1
"791","Snnp","Gidola","February",2019,37.34772952,5.647078098,16.46,14.64,17.58,NA,21.98,NA,NA,NA,NA,16.46
"792","Snnp","Tercha","February",2019,37.175334,7.146295,18.97,16,17.49,NA,NA,NA,NA,NA,NA,18.97
"793","Snnp","Besite- Chere ","February",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","Snnp","Lasoka","February",2019,36.60777815,6.30774507,9.62,10,11.61,NA,31.38,NA,NA,24.84,NA,9.62
"795","Snnp","Amaya","February",2019,36.68000727,7.105541206,10.97,10.66,10.65,NA,NA,NA,NA,NA,NA,10.97
"796","Snnp","Shewa- Bench ","January",2019,NA,NA,16,13,15.49,NA,NA,42.43,35,37.06,NA,16
"797","Snnp","Mizan- Teferi ","January",2019,35.41120174,6.883477024,15,12,12,NA,NA,48.99,NA,25,NA,15
"798","Snnp","Deri","January",2019,36.28577951,7.384839762,11.11,10.87,NA,NA,NA,NA,NA,34.11,NA,11.11
"799","Snnp","Amaro Kele ","January",2019,6.083333333,38.03333333,16.67,NA,19.48,NA,21.74,NA,NA,NA,NA,16.67
"800","Snnp","Soyama","January",2019,5.7,37.88333333,17.22,14.67,NA,NA,NA,NA,NA,NA,NA,17.22
"801","Snnp","Karate","January",2019,5.25,37.48333333,17.1,NA,NA,NA,NA,NA,NA,NA,NA,17.1
"802","Snnp","Gidola","January",2019,37.34772952,5.647078098,16.87,14.81,17.58,NA,20.87,NA,NA,NA,NA,16.87
"803","Snnp","Tercha","January",2019,37.175334,7.146295,20,15.49,18,NA,NA,NA,NA,NA,NA,20
"804","Snnp","Besite- Chere ","January",2019,NA,NA,20,16,17,NA,NA,NA,NA,NA,NA,20
