"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.hullb","pkg.bar.allba"
"870","Snnp","Besite- Chere ","September",2018,NA,NA,20,17,NA,NA,NA,NA,NA,NA,NA,20
"871","Snnp","Lasoka","September",2018,36.60777815,6.30774507,15.69,16,NA,NA,25.42,NA,NA,15.63,NA,15.69
"872","Snnp","Amaya","September",2018,36.68000727,7.105541206,13.89,13.97,14.37,NA,NA,NA,NA,NA,NA,13.89
"873","Somalie","Shinile","April",2019,41.844013,9.686515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874","Somalie","Erere","April",2019,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,17
"875","Somalie","Jigjiga","April",2019,42.792342,9.367259,20,21.21,NA,NA,NA,NA,NA,55,NA,20
"876","Somalie","Kebribeya","April",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"877","Somalie","Dolo","April",2019,42.059257,4.179211,NA,25,NA,NA,NA,NA,NA,NA,NA,25
"878","Somalie","Moyale","April",2019,3.527,39.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879","Benishangul-Gumuz","Mambook","April",2019,NA,NA,17,13,NA,NA,NA,NA,NA,NA,NA,17
"880","Benishangul-Gumuz","Mender- Sebat ","April",2019,NA,NA,17.49,NA,15,NA,NA,NA,NA,NA,NA,17.49
"881","Benishangul-Gumuz","Asossa","April",2019,34.53730603,10.05784932,20,NA,NA,NA,NA,NA,NA,30.52,NA,20
"882","Benishangul-Gumuz","Bambasi","April",2019,34.73046863,9.751504664,20.72,NA,NA,NA,NA,NA,NA,NA,NA,20.72
"883","Benishangul-Gumuz","Kemashi","April",2019,35.85916991,9.515450626,NA,22.32,NA,NA,NA,NA,NA,NA,NA,22.32
"884","Benishangul-Gumuz","Agelo- Meti ","April",2019,35.77048443,9.640776618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","Benishangul-Gumuz","Avera","April",2019,NA,NA,18.74,17.03,15,NA,NA,NA,NA,30.52,NA,18.74
"886","Somalie","Shinile","August",2018,41.844013,9.686515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
