"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw","pkg.wht.allwh"
"2","Addis","Addis Ababa","April",2016,38.793806,9.023748,12.83,NA,14.165,NA,NA,4.445,28.9,12.83
"4","Addis","Addis Ababa","April",2016,38.793806,9.023748,12.83,NA,14.165,NA,NA,4.445,28.9,12.83
"5","Addis","Addis Ababa","August",2015,38.793806,9.023748,12.745,NA,13.915,NA,NA,4.505,31.49,12.745
"6","Addis","Addis Ababa","December",2015,38.793806,9.023748,12.815,NA,14,NA,NA,4.395,28.685,12.815
"7","Addis","Addis Ababa","February",2016,38.793806,9.023748,12.83,NA,14,NA,NA,4.375,29.225,12.83
"8","Addis","Addis Ababa","January",2016,38.793806,9.023748,13,NA,14,NA,NA,4.49,28.275,13
"9","Addis","Addis Ababa","July",2015,38.793806,9.023748,12.49,NA,13.83,NA,NA,4.455,30.39,12.49
"10","Addis","Addis Ababa","June",2016,38.793806,9.023748,12.66,NA,14,NA,NA,4.485,28.69,12.66
"11","Addis","Addis Ababa","March",2016,38.793806,9.023748,12.66,NA,14.15,NA,NA,4.48,27.96,12.66
"12","Addis","Addis Ababa","May",2016,38.793806,9.023748,12.66,NA,14,NA,NA,4.48,32.115,12.66
"13","Addis","Addis Ababa","November",2015,38.793806,9.023748,13,13,13.83,NA,NA,4.435,27.59,13
"14","Addis","Addis Ababa","October",2015,38.793806,9.023748,12.9,NA,13.905,NA,NA,4.465,26.88,12.9
"15","Addis","Addis Ababa","September",2015,38.793806,9.023748,12.745,NA,14,NA,NA,4.48,32.615,12.745
"16","Amhara","Chuahit","April",2016,39.311961,10.643157,NA,NA,NA,NA,NA,4.43,NA,NA
"17","Amhara","Gondar","April",2016,37.46149667,12.59878688,9.33,NA,NA,NA,NA,4.53,15,9.33
"18","Amhara","Esete","April",2016,37.88657423,10.92298692,8.8,NA,6.32,NA,NA,4.08,11.35,8.8
"19","Amhara","Debre- Tabor ","April",2016,38.00833967,11.84769551,10.74,NA,9.43,NA,NA,4.04,13.34,10.74
"20","Amhara","Kobo","April",2016,39.63127424,12.16406542,11.05,NA,13.51,NA,NA,4.53,NA,11.05
"21","Amhara","Weldiya","April",2016,39.6014117,11.82360232,9.63,NA,12.66,NA,NA,4.72,23.37,9.63
"22","Amhara","Kombolcha","April",2016,39.73724188,11.07807805,8.57,NA,NA,NA,NA,3.97,42.02,8.57
"23","Amhara","Dessie","April",2016,39.63548793,11.11703902,7.47,6.92,11.82,NA,NA,3.3,23.62,7.47
"24","Amhara","Shewa- Robit ","April",2016,39.90269733,10.00580856,11.8,NA,NA,NA,NA,5,NA,11.8
"25","Amhara","Debre-¦","April",2016,39.52890047,9.67650294,9.16,8.16,NA,NA,NA,5.48,NA,9.16
"26","Amhara","Chuahit","August",2015,39.311961,10.643157,10,NA,NA,NA,NA,4.43,NA,10
"27","Amhara","Gondar","August",2015,37.46149667,12.59878688,10,NA,NA,NA,NA,4.53,15,10
"28","Amhara","Esete","August",2015,37.88657423,10.92298692,9.44,NA,8.98,NA,NA,4.23,11.33,9.44
"29","Amhara","Debre- Tabor ","August",2015,38.00833967,11.84769551,11.98,NA,8.46,NA,NA,3.19,13.7,11.98
"30","Amhara","Kobo","August",2015,39.63127424,12.16406542,10.41,NA,14.34,NA,NA,4.53,NA,10.41
"31","Amhara","Weldiya","August",2015,39.6014117,11.82360232,10.37,NA,10.68,NA,NA,4.38,24.2,10.37
"32","Amhara","Kombolcha","August",2015,39.73724188,11.07807805,10.33,NA,11.3,NA,NA,4.04,40.45,10.33
"33","Amhara","Dessie","August",2015,39.63548793,11.11703902,9.36,8.96,NA,NA,NA,2.57,20.04,9.36
"34","Amhara","Shewa- Robit ","August",2015,39.90269733,10.00580856,13.27,NA,19.47,NA,NA,5.72,NA,13.27
"35","Amhara","Debre-¦","August",2015,39.52890047,9.67650294,10.53,9.93,NA,NA,NA,5.17,NA,10.53
"36","Amhara","Chuahit","December",2015,39.311961,10.643157,10,NA,NA,NA,NA,4.43,NA,10
"37","Amhara","Gondar","December",2015,37.46149667,12.59878688,10,NA,NA,NA,NA,4.53,15,10
"38","Amhara","Esete","December",2015,37.88657423,10.92298692,8.31,NA,7.5,NA,NA,3.94,10.8,8.31
"39","Amhara","Debre- Tabor ","December",2015,38.00833967,11.84769551,12.12,NA,9.28,NA,NA,3.88,10.61,12.12
"40","Amhara","Kobo","December",2015,39.63127424,12.16406542,10.94,NA,12.26,NA,NA,4.53,NA,10.94
"41","Amhara","Weldiya","December",2015,39.6014117,11.82360232,9.63,NA,13.95,NA,NA,4.38,26.63,9.63
"42","Amhara","Kombolcha","December",2015,39.73724188,11.07807805,9.91,NA,11.93,NA,NA,4.04,38.93,9.91
"43","Amhara","Dessie","December",2015,39.63548793,11.11703902,10.04,9.48,11.8,NA,NA,3.5,36.69,10.04
"44","Amhara","Shewa- Robit ","December",2015,39.90269733,10.00580856,12.01,NA,NA,NA,NA,4.96,NA,12.01
"45","Amhara","Debre-¦","December",2015,39.52890047,9.67650294,10,9.9,NA,NA,NA,5.82,NA,10
"46","Amhara","Chuahit","February",2016,39.311961,10.643157,NA,NA,NA,NA,NA,4.41,NA,NA
"47","Amhara","Gondar","February",2016,37.46149667,12.59878688,10.16,NA,NA,NA,NA,4.53,15,10.16
"48","Amhara","Esete","February",2016,37.88657423,10.92298692,8.52,NA,7.1,NA,NA,4.12,12.28,8.52
"49","Amhara","Debre- Tabor ","February",2016,38.00833967,11.84769551,11.73,NA,7.51,NA,NA,4.57,NA,11.73
"50","Amhara","Kobo","February",2016,39.63127424,12.16406542,9.66,NA,14.49,NA,NA,4.88,NA,9.66
"51","Amhara","Weldiya","February",2016,39.6014117,11.82360232,11.97,NA,12.4,NA,NA,4.38,24.2,11.97
"52","Amhara","Kombolcha","February",2016,39.73724188,11.07807805,9.83,NA,NA,NA,NA,3.97,38.93,9.83
"53","Amhara","Dessie","February",2016,39.63548793,11.11703902,8.86,8.06,12.34,NA,NA,2.93,26.83,8.86
"54","Amhara","Shewa- Robit ","February",2016,39.90269733,10.00580856,11.86,NA,NA,NA,NA,5.15,NA,11.86
"55","Amhara","Debre-¦","February",2016,39.52890047,9.67650294,9.83,8.99,NA,NA,NA,5.82,NA,9.83
"56","Amhara","Chuahit","January",2016,39.311961,10.643157,10,NA,NA,NA,NA,4.43,NA,10
"57","Amhara","Gondar","January",2016,37.46149667,12.59878688,10,NA,NA,NA,NA,4.53,15,10
"58","Amhara","Esete","January",2016,37.88657423,10.92298692,8.14,NA,7.36,NA,NA,4.17,13.21,8.14
"59","Amhara","Debre- Tabor ","January",2016,38.00833967,11.84769551,11.76,NA,8.34,NA,NA,3.93,15.4,11.76
"60","Amhara","Kobo","January",2016,39.63127424,12.16406542,10.13,NA,11.15,NA,NA,4.53,NA,10.13
"61","Amhara","Weldiya","January",2016,39.6014117,11.82360232,9.58,NA,11.88,NA,NA,4.72,24.2,9.58
"62","Amhara","Kombolcha","January",2016,39.73724188,11.07807805,10.04,NA,NA,NA,NA,3.69,40.4,10.04
"63","Amhara","Dessie","January",2016,39.63548793,11.11703902,10.54,9.72,12.69,NA,NA,3.4,35.13,10.54
"64","Amhara","Shewa- Robit ","January",2016,39.90269733,10.00580856,11.92,NA,NA,NA,NA,5.14,NA,11.92
"65","Amhara","Debre-¦","January",2016,39.52890047,9.67650294,10.33,9.5,NA,NA,NA,5.82,NA,10.33
"66","Amhara","Chuahit","July",2015,39.311961,10.643157,10,NA,NA,NA,NA,4.41,NA,10
"67","Amhara","Gondar","July",2015,37.46149667,12.59878688,10.32,NA,NA,NA,NA,4.53,15,10.32
"68","Amhara","Esete","July",2015,37.88657423,10.92298692,9.56,NA,8,NA,NA,3.99,12.49,9.56
"69","Amhara","Debre- Tabor ","July",2015,38.00833967,11.84769551,12.22,NA,9.13,NA,NA,3.51,14.59,12.22
"70","Amhara","Kobo","July",2015,39.63127424,12.16406542,10.11,9.6,12.49,NA,NA,4.53,NA,10.11
"71","Amhara","Weldiya","July",2015,39.6014117,11.82360232,10,NA,10.46,NA,NA,4.38,22.47,10
"72","Amhara","Kombolcha","July",2015,39.73724188,11.07807805,9.26,NA,11.43,NA,NA,4.47,34.62,9.26
"73","Amhara","Dessie","July",2015,39.63548793,11.11703902,8.97,8.81,13.25,NA,NA,3.78,23.61,8.97
"74","Amhara","Shewa- Robit ","July",2015,39.90269733,10.00580856,13,NA,12.87,NA,NA,5.69,NA,13
"75","Amhara","Debre-¦","July",2015,39.52890047,9.67650294,10.5,9.77,NA,NA,NA,4.81,NA,10.5
"76","Amhara","Chuahit","June",2016,39.311961,10.643157,NA,NA,NA,NA,NA,4.43,14.37,NA
