"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"512","Oromiya","Asebe- Teferi ","June",2018,40.86319806,9.072493603,17.49,14,15,18,NA,NA,NA,39.07,17.49
"513","Oromiya","Bedessa","June",2018,40.77378712,8.902011546,17.49,NA,NA,NA,NA,NA,NA,NA,17.49
"514","Oromiya","Haromaya","June",2018,42.01641123,9.379383214,18,NA,NA,18.49,NA,NA,NA,NA,18
"515","Oromiya","Boreda","June",2018,41.278686,9.331067,16.49,NA,NA,NA,NA,NA,NA,NA,16.49
"516","Oromiya","Adaba","June",2018,39.3890878,7.004454253,12.35,11.38,11.69,13.08,NA,NA,NA,NA,12.35
"517","Oromiya","Robe","June",2018,39.631104,7.860619,16.64,11.07,NA,15.93,NA,NA,NA,NA,16.64
"518","Oromiya","Hagere- Mariam ","June",2018,38.23373735,5.63380625,13,NA,11.49,17.49,NA,NA,NA,16.67,13
"519","Oromiya","Negele- Borena ","June",2018,39.577385,5.33699,12,12,NA,13,NA,40,35,NA,12
"520","Oromiya","Adama","March",2018,39.26941988,8.535362997,15.97,12.75,13,16.49,12.96,24.49,NA,24.49,15.97
"521","Oromiya","Shashe- Mene ","March",2018,38.608142,7.205388,12,12,14,15,NA,NA,NA,26.97,12
"522","Oromiya","Diksise","March",2018,39.55824,8.059179,10.14,8.41,8.55,12.32,NA,NA,NA,NA,10.14
"523","Oromiya","Asella","March",2018,39.12972322,7.949589951,13,11,10.49,12,NA,NA,NA,27.42,13
"524","Oromiya","Asebe- Teferi ","March",2018,40.86319806,9.072493603,16.97,12,NA,NA,NA,NA,NA,38.62,16.97
"525","Oromiya","Bedessa","March",2018,40.77378712,8.902011546,15.49,NA,NA,NA,NA,NA,NA,NA,15.49
"526","Oromiya","Haromaya","March",2018,42.01641123,9.379383214,17.49,NA,NA,18,NA,NA,NA,NA,17.49
"527","Oromiya","Boreda","March",2018,41.278686,9.331067,14,NA,NA,NA,NA,NA,NA,NA,14
"528","Oromiya","Adaba","March",2018,39.3890878,7.004454253,11.54,9.58,NA,12.62,NA,NA,NA,NA,11.54
