"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA"
"935","SNNP","Karate","October","2017","5.25","37.48333333","11.27","-","-","-","-","-","-","-"
"936","SNNP","Gidola","October","2017","37.34772952","5.647078098","14.09","-","14.50","-","14.09","-","-","-"
"937","SNNP","Tercha","October","2017","37.175334","7.146295","20.00","16.00","16.00","-","-","-","-","-"
"938","SNNP","Besite- chere ","October","2017",NA,NA,"15.00","14.00","14.00","-","-","-","-","-"
"939","SNNP","Lasoka","October","2017","36.60777815","6.30774507","6.64","6.51","-","-","21.07","-","-","15.16"
"940","SNNP","Amaya","October","2017","36.68000727","7.105541206","8.60","8.25","8.25","-","-","-","-","-"
"941","SNNP","Shewa- Bench ","September","2017",NA,NA,"15.00","10.00","13.00","-","-","-","-","22.36"
"942","SNNP","Mizan- Teferi ","September","2017","35.41120174","6.883477024","16.00","-","11.00","-","-","-","-","18.00"
"943","SNNP","Deri","September","2017","36.28577951","7.384839762","18.82","18.39","18.39","-","-","-","-","24.02"
"944","SNNP","Amaro Kele ","September","2017","6.083333333","38.03333333","10.88","-","12.24","-","17.49","-","-","-"
"945","SNNP","Soyama","September","2017","5.7","37.88333333","13.07","10.60","-","-","-","-","-","-"
"946","SNNP","Karate","September","2017","5.25","37.48333333","10.71","-","-","-","-","-","-","-"
"947","SNNP","Gidola","September","2017","37.34772952","5.647078098","10.23","-","9.67","-","20.78","-","-","-"
"948","SNNP","Tercha","September","2017","37.175334","7.146295","16.00","15.00","15.00","-","-","-","-","-"
"949","SNNP","Besite- chere ","September","2017",NA,NA,"15.00","14.00","14.00","-","-","-","-","-"
"950","SNNP","Lasoka","September","2017","36.60777815","6.30774507","7.84","-","9.62","-","23.08","-","-","15.16"
"951","SNNP","Amaya","September","2017","36.68000727","7.105541206","-","-","-","-","-","-","-","-"
"952","SOMALIE","Shinile","April","2018","41.844013","9.686515","-","-","-","-","-","-","-","-"
"953","SOMALIE","Erere","April","2018",NA,NA,"18.00","-","-","-","-","-","-","-"
"954","SOMALIE","Jigjiga","April","2018","42.792342","9.367259","20.00","17.90","-","-","-","-","-","74.54"
"955","SOMALIE","Kebribeya","April","2018",NA,NA,"-","-","-","-","-","-","-","-"
"956","SOMALIE","Dolo","April","2018","42.059257","4.179211","-","20.00","-","-","-","-","-","-"
"957","SOMALIE","Moyale","April","2018","3.527","39.056","18.00","-","-","18.00","-","-","-","-"
"958","BENISHANGUL-GUMUZ","Mambook","April","2018",NA,NA,"-","13.00","-","-","-","-","-","23.63"
"959","BENISHANGUL-GUMUZ","Mender- Sebat ","April","2018",NA,NA,"15.49","-","12.49","-","-","-","-","-"
"960","BENISHANGUL-GUMUZ","Asossa","April","2018","34.53730603","10.05784932","16.49","-","-","-","-","-","-","31.75"
"961","BENISHANGUL-GUMUZ","Bambasi","April","2018","34.73046863","9.751504664","19.03","-","-","-","-","-","-","-"
"962","BENISHANGUL-GUMUZ","Kemashi","April","2018","35.85916991","9.515450626","19.34","13.60","-","-","-","-","-","-"
"963","BENISHANGUL-GUMUZ","Agelo- meti ","April","2018","35.77048443","9.640776618","15.73","15.87","-","-","-","-","-","-"
"964","BENISHANGUL-GUMUZ","AVERA","April","2018",NA,NA,"17.14","14.10","12.49","-","-","-","-","27.39"
"965","SOMALIE","Shinile","August","2017","41.844013","9.686515","-","-","-","-","-","-","-","-"
"966","SOMALIE","Erere","August","2017",NA,NA,"15.00","-","-","-","-","-","-","-"
"967","SOMALIE","Jigjiga","August","2017","42.792342","9.367259","14.49","16.61","-","17.00","-","-","-","36.50"
"968","SOMALIE","Kebribeya","August","2017",NA,NA,"-","-","-","-","-","-","-","-"
"969","SOMALIE","Dolo","August","2017","42.059257","4.179211","-","20.00","-","-","-","-","-","-"
"970","SOMALIE","Moyale","August","2017","3.527","39.056","14.00","12.00","-","14.00","-","27.39","-","-"
"971","BENISHANGUL-GUMUZ","Mambook","August","2017",NA,NA,"12.00","-","12.00","-","-","-","-","29.42"
"972","BENISHANGUL-GUMUZ","Mender- Sebat ","August","2017",NA,NA,"15.00","-","12.00","-","-","-","-","-"
"973","BENISHANGUL-GUMUZ","Asossa","August","2017","34.53730603","10.05784932","15.00","-","-","-","-","-","-","44.25"
"974","BENISHANGUL-GUMUZ","Bambasi","August","2017","34.73046863","9.751504664","15.92","-","-","-","-","-","-","-"
"975","BENISHANGUL-GUMUZ","Kemashi","August","2017","35.85916991","9.515450626","-","13.86","-","-","-","-","-","-"
"976","BENISHANGUL-GUMUZ","Agelo- meti ","August","2017","35.77048443","9.640776618","15.28","15.55","-","-","-","-","-","-"
"977","BENISHANGUL-GUMUZ","AVERA","August","2017",NA,NA,"14.57","14.68","12.00","-","-","-","-","36.08"
"978","SOMALIE","Shinile","December","2017","41.844013","9.686515","-","-","-","-","-","-","-","-"
"979","SOMALIE","Erere","December","2017",NA,NA,"-","-","-","-","-","16.00","-","-"
"980","SOMALIE","Jigjiga","December","2017","42.792342","9.367259","20.00","17.47","-","-","-","-","-","50.00"
"981","SOMALIE","Kebribeya","December","2017",NA,NA,"-","-","-","-","-","-","-","-"
"982","SOMALIE","Dolo","December","2017","42.059257","4.179211","-","20.00","-","-","-","-","-","-"
"983","SOMALIE","Moyale","December","2017","3.527","39.056","16.00","-","-","16.00","-","37.42","-","-"
"984","BENISHANGUL-GUMUZ","Mambook","December","2017",NA,NA,"11.00","12.00","10.00","-","-","-","-","23.54"
"985","BENISHANGUL-GUMUZ","Mender- Sebat ","December","2017",NA,NA,"-","-","10.49","16.00","-","-","-","-"
"986","BENISHANGUL-GUMUZ","Asossa","December","2017","34.53730603","10.05784932","18.00","-","-","-","-","-","-","39.78"
"987","BENISHANGUL-GUMUZ","Bambasi","December","2017","34.73046863","9.751504664","19.98","13.62","-","-","-","-","-","-"
"988","BENISHANGUL-GUMUZ","Kemashi","December","2017","35.85916991","9.515450626","-","13.86","-","-","-","-","-","-"
"989","BENISHANGUL-GUMUZ","Agelo- meti ","December","2017","35.77048443","9.640776618","15.70","15.47","-","-","-","-","-","-"
"990","BENISHANGUL-GUMUZ","AVERA","December","2017",NA,NA,"15.79","13.68","10.24","16.00","-","-","-","30.60"
"991","SOMALIE","Shinile","February","2018","41.844013","9.686515","-","-","-","-","-","-","-","-"
"992","SOMALIE","Erere","February","2018",NA,NA,"-","-","-","17.00","-","-","-","-"
"993","SOMALIE","Jigjiga","February","2018","42.792342","9.367259","15.00","-","-","18.00","-","-","-","36.50"
"994","SOMALIE","Kebribeya","February","2018",NA,NA,"-","-","-","-","-","-","-","-"
"995","SOMALIE","Dolo","February","2018","42.059257","4.179211","-","20.00","-","-","-","-","-","-"
"996","SOMALIE","Moyale","February","2018","3.527","39.056","16.97","-","-","16.97","-","32.40","-","-"
"997","BENISHANGUL-GUMUZ","Mambook","February","2018",NA,NA,"-","13.50","10.00","-","-","-","-","18.21"
"998","BENISHANGUL-GUMUZ","Mender- Sebat ","February","2018",NA,NA,"14.00","-","11.49","-","-","-","-","-"
"999","BENISHANGUL-GUMUZ","Asossa","February","2018","34.53730603","10.05784932","15.49","-","-","-","-","-","-","31.20"
"1000","BENISHANGUL-GUMUZ","Bambasi","February","2018","34.73046863","9.751504664","19.03","-","-","-","-","-","-","-"
"1001","BENISHANGUL-GUMUZ","Kemashi","February","2018","35.85916991","9.515450626","16.98","15.23","-","-","-","-","-","-"
"1002","BENISHANGUL-GUMUZ","Agelo- meti ","February","2018","35.77048443","9.640776618","-","13.48","-","-","-","-","-","-"
"1003","BENISHANGUL-GUMUZ","AVERA","February","2018",NA,NA,"16.27","14.05","10.72","-","-","-","-","23.84"
"1004","SOMALIE","Shinile","January","2018","41.844013","9.686515","-","-","-","-","-","-","-","-"
"1005","SOMALIE","Erere","January","2018",NA,NA,"16.00","-","-","-","-","-","-","-"
"1006","SOMALIE","Jigjiga","January","2018","42.792342","9.367259","20.00","17.68","-","-","-","-","-","50.00"
"1007","SOMALIE","Kebribeya","January","2018",NA,NA,"-","-","-","-","-","-","-","-"
"1008","SOMALIE","Dolo","January","2018","42.059257","4.179211","-","20.00","-","-","-","-","-","-"
"1009","SOMALIE","Moyale","January","2018","3.527","39.056","16.00","-","-","16.00","-","35.00","-","-"
"1010","BENISHANGUL-GUMUZ","Mambook","January","2018",NA,NA,"-","13.00","13.00","-","100.00","-","-","21.45"
"1011","BENISHANGUL-GUMUZ","Mender- Sebat ","January","2018",NA,NA,"15.00","-","12.00","15.00","-","-","-","-"
"1012","BENISHANGUL-GUMUZ","Asossa","January","2018","34.53730603","10.05784932","18.00","-","-","-","-","-","-","29.85"
"1013","BENISHANGUL-GUMUZ","Bambasi","January","2018","34.73046863","9.751504664","19.82","15.25","-","-","-","-","-","-"
"1014","BENISHANGUL-GUMUZ","Kemashi","January","2018","35.85916991","9.515450626","-","13.86","-","-","-","-","-","-"
"1015","BENISHANGUL-GUMUZ","Agelo- meti ","January","2018","35.77048443","9.640776618","-","15.71","-","-","-","-","-","-"
"1016","BENISHANGUL-GUMUZ","AVERA","January","2018",NA,NA,"17.49","14.41","12.49","15.00","100.00","-","-","25.30"
"1017","SOMALIE","Shinile","July","2017","41.844013","9.686515","-","-","-","-","-","-","-","-"
"1018","SOMALIE","Erere","July","2017",NA,NA,"14.00","-","-","-","-","-","-","-"
"1019","SOMALIE","Jigjiga","July","2017","42.792342","9.367259","16.00","22.60","-","-","-","-","-","36.00"
"1020","SOMALIE","Kebribeya","July","2017",NA,NA,"-","-","-","-","-","-","-","-"
"1021","SOMALIE","Dolo","July","2017","42.059257","4.179211","-","20.00","-","-","-","-","-","-"
"1022","SOMALIE","Moyale","July","2017","3.527","39.056","14.49","12.00","-","14.00","-","30.00","-","-"
"1023","BENISHANGUL-GUMUZ","Mambook","July","2017",NA,NA,"12.00","-","12.00","-","-","-","-","29.13"
"1024","BENISHANGUL-GUMUZ","Mender- Sebat ","July","2017",NA,NA,"11.00","-","10.75","-","-","-","-","-"
"1025","BENISHANGUL-GUMUZ","Asossa","July","2017","34.53730603","10.05784932","15.00","13.49","-","-","-","-","-","29.60"
"1026","BENISHANGUL-GUMUZ","Bambasi","July","2017","34.73046863","9.751504664","16.47","-","-","-","-","-","-","-"
"1027","BENISHANGUL-GUMUZ","Kemashi","July","2017","35.85916991","9.515450626","-","10.84","-","-","-","-","-","-"
"1028","BENISHANGUL-GUMUZ","Agelo- meti ","July","2017","35.77048443","9.640776618","15.49","16.75","-","-","-","-","-","-"
"1029","BENISHANGUL-GUMUZ","AVERA","July","2017",NA,NA,"13.83","13.48","11.36","-","-","-","-","29.36"
"1030","SOMALIE","Shinile","June","2018","41.844013","9.686515","-","-","-","-","-","-","-","-"
"1031","SOMALIE","Erere","June","2018",NA,NA,"18.00","-","-","-","-","-","-","-"
"1032","SOMALIE","Jigjiga","June","2018","42.792342","9.367259","20.00","18.79","-","-","-","-","-","50.00"
"1033","SOMALIE","Kebribeya","June","2018",NA,NA,"-","-","-","-","-","-","-","-"
"1034","SOMALIE","Dolo","June","2018","42.059257","4.179211","-","20.00","-","-","-","-","-","-"
"1035","SOMALIE","Moyale","June","2018","3.527","39.056","18.00","-","-","18.00","-","35.00","-","-"
"1036","BENISHANGUL-GUMUZ","Mambook","June","2018",NA,NA,"16.00","13.00","13.00","-","-","-","-","25.14"
"1037","BENISHANGUL-GUMUZ","Mender- Sebat ","June","2018",NA,NA,"16.00","-","13.00","-","-","-","-","-"
"1038","BENISHANGUL-GUMUZ","Asossa","June","2018","34.53730603","10.05784932","18.00","-","-","-","-","-","-","38.58"
"1039","BENISHANGUL-GUMUZ","Bambasi","June","2018","34.73046863","9.751504664","18.61","-","-","-","-","-","-","-"
"1040","BENISHANGUL-GUMUZ","Kemashi","June","2018","35.85916991","9.515450626","-","13.79","-","-","-","-","-","-"
"1041","BENISHANGUL-GUMUZ","Agelo- meti ","June","2018","35.77048443","9.640776618","18.06","16.96","-","-","-","-","-","-"
"1042","BENISHANGUL-GUMUZ","AVERA","June","2018",NA,NA,"17.30","14.49","13.00","-","-","-","-","31.14"
"1043","SOMALIE","Shinile","March","2018","41.844013","9.686515","-","-","-","-","-","-","-","-"
"1044","SOMALIE","Erere","March","2018",NA,NA,"18.00","-","-","-","-","-","-","-"
"1045","SOMALIE","Jigjiga","March","2018","42.792342","9.367259","20.00","18.54","-","-","-","-","-","50.00"
"1046","SOMALIE","Kebribeya","March","2018",NA,NA,"-","-","-","-","-","-","-","-"
"1047","SOMALIE","Dolo","March","2018","42.059257","4.179211","-","25.00","-","-","-","-","-","-"
"1048","SOMALIE","Moyale","March","2018","3.527","39.056","17.49","-","-","18.00","-","35.00","-","-"
"1049","BENISHANGUL-GUMUZ","Mambook","March","2018",NA,NA,"17.00","13.00","-","-","-","-","-","27.63"
"1050","BENISHANGUL-GUMUZ","Mender- Sebat ","March","2018",NA,NA,"15.00","-","12.00","-","-","-","-","-"
"1051","BENISHANGUL-GUMUZ","Asossa","March","2018","34.53730603","10.05784932","18.00","-","-","-","-","-","-","30.64"
"1052","BENISHANGUL-GUMUZ","Bambasi","March","2018","34.73046863","9.751504664","19.49","-","-","-","-","-","-","-"
"1053","BENISHANGUL-GUMUZ","Kemashi","March","2018","35.85916991","9.515450626","16.00","13.33","-","-","-","-","-","-"
"1054","BENISHANGUL-GUMUZ","Agelo- meti ","March","2018","35.77048443","9.640776618","15.80","17.36","-","-","-","-","-","-"
"1055","BENISHANGUL-GUMUZ","AVERA","March","2018",NA,NA,"16.82","14.44","12.00","-","-","-","-","29.10"
"1056","SOMALIE","Shinile","May","2018","41.844013","9.686515","-","-","-","-","-","-","-","-"
"1057","SOMALIE","Erere","May","2018",NA,NA,"18.00","-","-","-","-","-","-","-"
"1058","SOMALIE","Jigjiga","May","2018","42.792342","9.367259","20.00","20.83","-","-","-","-","-","47.96"
"1059","SOMALIE","Kebribeya","May","2018",NA,NA,"-","-","-","-","-","-","-","-"
"1060","SOMALIE","Dolo","May","2018","42.059257","4.179211","-","20.00","-","-","-","-","-","-"
"1061","SOMALIE","Moyale","May","2018","3.527","39.056","18.00","-","-","18.00","-","35.00","-","-"
"1062","BENISHANGUL-GUMUZ","Mambook","May","2018",NA,NA,"-","13.00","-","-","-","-","-","21.38"
"1063","BENISHANGUL-GUMUZ","Mender- Sebat ","May","2018",NA,NA,"-","-","13.00","-","-","-","-","-"
"1064","BENISHANGUL-GUMUZ","Asossa","May","2018","34.53730603","10.05784932","17.00","-","-","-","-","-","-","37.66"
"1065","BENISHANGUL-GUMUZ","Bambasi","May","2018","34.73046863","9.751504664","19.61","-","-","-","-","-","-","-"
"1066","BENISHANGUL-GUMUZ","Kemashi","May","2018","35.85916991","9.515450626","19.23","13.74","-","-","-","-","-","-"
"1067","BENISHANGUL-GUMUZ","Agelo- meti ","May","2018","35.77048443","9.640776618","17.86","15.83","-","-","-","-","-","-"
"1068","BENISHANGUL-GUMUZ","AVERA","May","2018",NA,NA,"18.39","14.14","13.00","-","-","-","-","28.38"
"1069","SOMALIE","Shinile","November","2017","41.844013","9.686515","-","-","-","-","-","-","-","-"
"1070","SOMALIE","Erere","November","2017",NA,NA,"-","-","-","-","-","16.00","-","-"
"1071","SOMALIE","Jigjiga","November","2017","42.792342","9.367259","20.00","-","-","20.00","-","-","-","50.00"
"1072","SOMALIE","Kebribeya","November","2017",NA,NA,"-","-","-","-","-","-","-","-"
"1073","SOMALIE","Dolo","November","2017","42.059257","4.179211","-","20.00","-","-","-","-","-","-"
"1074","SOMALIE","Moyale","November","2017","3.527","39.056","20.00","-","-","20.00","-","-","-","-"
"1075","BENISHANGUL-GUMUZ","Mambook","November","2017",NA,NA,"-","-","10.00","-","-","-","-","22.75"
"1076","BENISHANGUL-GUMUZ","Mender- Sebat ","November","2017",NA,NA,"-","-","-","-","-","-","-","-"
"1077","BENISHANGUL-GUMUZ","Asossa","November","2017","34.53730603","10.05784932","17.00","-","-","-","-","-","-","41.18"
"1078","BENISHANGUL-GUMUZ","Bambasi","November","2017","34.73046863","9.751504664","20.04","16.20","-","-","-","-","-","-"
"1079","BENISHANGUL-GUMUZ","Kemashi","November","2017","35.85916991","9.515450626","-","13.86","-","-","-","-","-","-"
"1080","BENISHANGUL-GUMUZ","Agelo- meti ","November","2017","35.77048443","9.640776618","-","15.73","-","-","-","-","-","-"
"1081","BENISHANGUL-GUMUZ","AVERA","November","2017",NA,NA,"18.46","15.23","10.00","-","-","-","-","30.61"
"1082","SOMALIE","Shinile","October","2017","41.844013","9.686515","-","-","-","-","-","-","-","-"
"1083","SOMALIE","Erere","October","2017",NA,NA,"17.00","-","-","-","-","-","-","-"
"1084","SOMALIE","Jigjiga","October","2017","42.792342","9.367259","15.00","-","-","17.00","-","-","-","40.00"
"1085","SOMALIE","Kebribeya","October","2017",NA,NA,"-","-","-","-","-","-","-","-"
"1086","SOMALIE","Dolo","October","2017","42.059257","4.179211","-","18.97","-","-","-","-","-","-"
"1087","SOMALIE","Moyale","October","2017","3.527","39.056","16.97","-","-","16.97","-","37.42","-","-"
"1088","BENISHANGUL-GUMUZ","Mambook","October","2017",NA,NA,"-","-","-","-","-","-","-","-"
"1089","BENISHANGUL-GUMUZ","Mender- Sebat ","October","2017",NA,NA,"-","-","12.00","-","-","-","-","-"
"1090","BENISHANGUL-GUMUZ","Asossa","October","2017","34.53730603","10.05784932","17.49","-","-","-","-","-","-","39.78"
"1091","BENISHANGUL-GUMUZ","Bambasi","October","2017","34.73046863","9.751504664","20.10","15.96","-","-","-","-","-","-"
"1092","BENISHANGUL-GUMUZ","Kemashi","October","2017","35.85916991","9.515450626","-","13.86","-","-","-","-","-","-"
"1093","BENISHANGUL-GUMUZ","Agelo- meti ","October","2017","35.77048443","9.640776618","15.48","15.73","-","-","-","-","-","-"
"1094","BENISHANGUL-GUMUZ","AVERA","October","2017",NA,NA,"17.59","15.15","12.00","-","-","-","-","39.78"
"1095","SOMALIE","Shinile","September","2017","41.844013","9.686515","-","-","-","-","-","-","-","-"
"1096","SOMALIE","Erere","September","2017",NA,NA,"15.00","-","-","-","-","-","-","-"
"1097","SOMALIE","Jigjiga","September","2017","42.792342","9.367259","15.00","-","-","17.00","-","-","-","35.00"
"1098","SOMALIE","Kebribeya","September","2017",NA,NA,"-","-","-","-","-","-","-","-"
"1099","SOMALIE","Dolo","September","2017","42.059257","4.179211","-","18.97","-","-","-","-","-","-"
"1100","SOMALIE","Moyale","September","2017","3.527","39.056","16.97","-","-","16.00","-","32.40","-","-"
"1101","BENISHANGUL-GUMUZ","Mambook","September","2017",NA,NA,"-","-","12.00","-","-","-","-","35.29"
"1102","BENISHANGUL-GUMUZ","Mender- Sebat ","September","2017",NA,NA,"12.00","-","-","-","-","-","-","28.58"
"1103","BENISHANGUL-GUMUZ","Asossa","September","2017","34.53730603","10.05784932","16.00","-","-","-","-","-","-","51.26"
"1104","BENISHANGUL-GUMUZ","Bambasi","September","2017","34.73046863","9.751504664","18.34","-","-","-","-","-","-","-"
"1105","BENISHANGUL-GUMUZ","Kemashi","September","2017","35.85916991","9.515450626","14.00","14.15","-","-","-","-","-","-"
"1106","BENISHANGUL-GUMUZ","Agelo- meti ","September","2017","35.77048443","9.640776618","14.55","16.09","-","-","-","-","-","-"
"1107","BENISHANGUL-GUMUZ","AVERA","September","2017",NA,NA,"14.83","15.09","12.00","-","-","-","-","37.25"
"1108","TIGRAY","Enda- silase ","April","2018","38.27211005","14.08944251","15.64","-","-","-","-","-","-","35.88"
"1109","TIGRAY","Enda- baguna ","April","2018","38.19317204","13.97860867","-","-","-","-","-","-","-","14.63"
"1110","TIGRAY","Adwa","April","2018","38.88818805","14.14845458","11.13","-","-","-","18.04","-","-","27.40"
"1111","TIGRAY","Axum","April","2018","38.71879888","14.11130791","14.23","-","-","-","-","-","-","26.09"
"1112","TIGRAY","Adigrat","April","2018","39.46033457","14.26667752","12.00","-","13.49","15.00","-","-","-","26.52"
"1113","TIGRAY","Wukiro","April","2018","39.599747","13.796083","12.62","-","9.74","-","13.89","-","-","34.22"
"1114","TIGRAY","Mai- chew ","April","2018","39.541533","12.78792086","10.00","11.47","-","-","-","-","-","16.50"
"1115","TIGRAY","Mekelle","April","2018","39.47221911","13.48719005","11.49","-","10.00","-","-","-","-","26.67"
"1116","AFAR","Ayisaeta","April","2018","41.43333","11.56667","17.00","-","-","-","-","-","-","-"
"1117","AFAR","Semera Logia ","April","2018",NA,NA,"15.00","-","-","14.00","-","-","-","32.00"
"1118","AFAR","Melka Werers ","April","2018","40.18154914","9.340880502","13.49","-","-","14.00","-","-","-","26.35"
"1119","AFAR","Sebat killo ","April","2018","8.983333333","40.16666667","13.75","13.00","13.00","13.49","-","-","-","20.00"
"1120","TIGRAY","Enda- silase ","August","2017","38.27211005","14.08944251","11.35","-","-","-","-","-","-","31.12"
"1121","TIGRAY","Enda- baguna ","August","2017","38.19317204","13.97860867","11.50","-","-","-","-","-","-","11.54"
"1122","TIGRAY","Adwa","August","2017","38.88818805","14.14845458","11.13","-","-","-","18.04","-","-","21.92"
"1123","TIGRAY","Axum","August","2017","38.71879888","14.11130791","14.51","-","-","-","31.59","-","-","21.74"
"1124","TIGRAY","Adigrat","August","2017","39.46033457","14.26667752","10.00","-","12.27","-","-","-","-","24.08"
"1125","TIGRAY","Wukiro","August","2017","39.599747","13.796083","8.03","-","8.18","-","11.85","-","-","25.98"
"1126","TIGRAY","Mai- chew ","August","2017","39.541533","12.78792086","10.30","11.04","-","-","-","-","-","29.00"
"1127","TIGRAY","Mekelle","August","2017","39.47221911","13.48719005","11.00","-","11.49","-","-","-","-","30.00"
"1128","AFAR","Ayisaeta","August","2017","41.43333","11.56667","15.49","-","11.00","-","-","-","-","-"
"1129","AFAR","Dubti","August","2017","41.08260323","11.72765333","13.00","-","12.00","12.00","-","-","-","30.00"
"1130","AFAR","Melka Werers ","August","2017","40.18154914","9.340880502","13.75","-","-","13.75","-","-","-","17.32"
"1131","AFAR","Sebat killo ","August","2017","8.983333333","40.16666667","11.49","-","9.49","12.00","-","-","-","17.49"
"1132","TIGRAY","Enda- silase ","December","2017","38.27211005","14.08944251","12.28","-","-","-","-","-","-","31.25"
"1133","TIGRAY","Enda- baguna ","December","2017","38.19317204","13.97860867","9.92","-","-","-","-","-","-","15.39"
"1134","TIGRAY","Adwa","December","2017","38.88818805","14.14845458","11.13","-","-","-","17.28","-","-","21.92"
"1135","TIGRAY","Axum","December","2017","38.71879888","14.11130791","12.43","-","-","-","21.07","-","-","20.63"
"1136","TIGRAY","Adigrat","December","2017","39.46033457","14.26667752","10.49","-","11.64","-","-","-","-","22.10"
"1137","TIGRAY","Wukiro","December","2017","39.599747","13.796083","8.62","-","10.52","-","14.18","-","-","31.58"
"1138","TIGRAY","Mai- chew ","December","2017","39.541533","12.78792086","-","8.43","-","-","-","-","-","11.22"
"1139","TIGRAY","Mekelle","December","2017","39.47221911","13.48719005","11.00","-","10.49","-","-","-","-","27.39"
"1140","AFAR","Ayisaeta","December","2017","41.43333","11.56667","15.49","-","12.49","-","-","-","-","-"
"1141","AFAR","Semera Logia ","December","2017",NA,NA,"15.00","14.00","-","-","-","-","-","32.86"
"1142","AFAR","Melka Werers ","December","2017","40.18154914","9.340880502","14.49","-","-","13.49","-","-","-","25.00"
"1143","AFAR","Sebat killo ","December","2017","8.983333333","40.16666667","13.49","10.49","12.00","14.00","-","-","-","17.49"
"1144","TIGRAY","Enda- silase ","February","2018","38.27211005","14.08944251","16.69","-","-","-","-","-","-","37.22"
"1145","TIGRAY","Enda- baguna ","February","2018","38.19317204","13.97860867","11.78","-","-","-","-","-","-","15.46"
"1146","TIGRAY","Adwa","February","2018","38.88818805","14.14845458","-","-","-","-","17.91","-","-","21.92"
"1147","TIGRAY","Axum","February","2018","38.71879888","14.11130791","14.08","-","-","-","-","-","-","26.09"
"1148","TIGRAY","Adigrat","February","2018","39.46033457","14.26667752","12.00","-","11.00","15.00","-","-","-","23.95"
"1149","TIGRAY","Wukiro","February","2018","39.599747","13.796083","10.35","-","8.62","-","13.51","-","-","31.17"
"1150","TIGRAY","Mai- chew ","February","2018","39.541533","12.78792086","9.05","10.44","-","-","-","-","-","14.22"
"1151","TIGRAY","Mekelle","February","2018","39.47221911","13.48719005","12.00","10.49","10.49","-","-","-","-","26.67"
"1152","AFAR","Ayisaeta","February","2018","41.43333","11.56667","16.49","-","11.00","-","-","-","-","-"
"1153","AFAR","Semera Logia ","February","2018",NA,NA,"15.00","-","14.00","14.00","-","-","-","30.00"
"1154","AFAR","Melka Werers ","February","2018","40.18154914","9.340880502","13.49","-","-","13.49","-","-","-","26.35"
"1155","AFAR","Sebat killo ","February","2018","8.983333333","40.16666667","13.00","9.00","10.00","13.00","-","-","-","20.00"
"1156","TIGRAY","Enda- silase ","January","2018","38.27211005","14.08944251","16.04","-","-","-","-","-","-","38.19"
"1157","TIGRAY","Enda- baguna ","January","2018","38.19317204","13.97860867","11.67","-","-","-","-","-","-","14.94"
"1158","TIGRAY","Adwa","January","2018","38.88818805","14.14845458","11.13","-","-","-","-","-","-","21.92"
"1159","TIGRAY","Axum","January","2018","38.71879888","14.11130791","14.08","-","-","-","25.65","-","-","15.48"
"1160","TIGRAY","Adigrat","January","2018","39.46033457","14.26667752","11.00","-","11.05","-","-","-","-","21.98"
"1161","TIGRAY","Wukiro","January","2018","39.599747","13.796083","8.69","-","9.24","-","13.89","-","-","31.17"
"1162","TIGRAY","Mai- chew ","January","2018","39.541533","12.78792086","7.14","9.59","-","-","-","-","-","12.41"
"1163","TIGRAY","Mekelle","January","2018","39.47221911","13.48719005","10.49","-","10.49","-","-","-","-","26.46"
"1164","AFAR","Ayisaeta","January","2018","41.43333","11.56667","15.75","-","10.00","-","-","-","-","-"
"1165","AFAR","Semera Logia ","January","2018",NA,NA,"13.00","-","-","12.00","-","-","-","-"
"1166","AFAR","Melka Werers ","January","2018","40.18154914","9.340880502","13.49","-","-","14.00","-","-","-","20.00"
"1167","AFAR","Sebat killo ","January","2018","8.983333333","40.16666667","12.75","9.00","12.00","13.00","-","-","-","20.00"
"1168","TIGRAY","Enda- silase ","July","2017","38.27211005","14.08944251","11.71","-","-","-","-","-","-","31.11"
"1169","TIGRAY","Enda- baguna ","July","2017","38.19317204","13.97860867","10.43","-","-","-","-","-","-","11.06"
"1170","TIGRAY","Adwa","July","2017","38.88818805","14.14845458","-","-","-","-","18.04","-","-","19.18"
"1171","TIGRAY","Axum","July","2017","38.71879888","14.11130791","14.23","-","-","-","25.48","-","-","20.41"
"1172","TIGRAY","Adigrat","July","2017","39.46033457","14.26667752","10.49","-","9.82","-","-","-","-","21.62"
"1173","TIGRAY","Wukiro","July","2017","39.599747","13.796083","10.45","-","7.82","-","12.33","-","-","23.38"
"1174","TIGRAY","Mai- chew ","July","2017","39.541533","12.78792086","9.58","10.56","-","-","-","-","-","15.15"
"1175","TIGRAY","Mekelle","July","2017","39.47221911","13.48719005","10.00","-","10.00","-","-","-","-","30.00"
