"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA"
"767","SNNP","Chana","June","2018","36.11775846","6.226550231","16.00","15.00","15.00","-","-","-","-","22.73"
"768","SNNP","Arbam- minch ","June","2018","37.5527474","6.024547891","15.00","-","15.00","-","-","-","-","18.52"
"769","SNNP","Sawla","June","2018","36.87437474","6.300226567","12.35","12.20","13.52","-","20.41","-","-","-"
"770","SNNP","Welayita","March","2018",NA,NA,"17.00","14.00","13.49","-","-","-","-","34.79"
"771","SNNP","Bodite","March","2018","37.89064905","7.038034865","16.00","15.00","15.49","-","-","-","-","15.57"
"772","SNNP","Jinka","March","2018","36.56441614","5.78310286","12.16","12.18","12.19","-","15.60","-","-","21.66"
"773","SNNP","Dimeka","March","2018","36.45041198","4.892522922","14.82","-","-","-","-","-","-","-"
"774","SNNP","Masha","March","2018","35.47956686","7.741652627","11.11","10.99","11.23","-","-","-","-","23.81"
"775","SNNP","Tepi","March","2018","35.36770327","7.320015599","15.00","12.00","14.00","-","12.00","35.00","-","28.08"
"776","SNNP","Boniga","March","2018","36.24008346","7.388535704","12.00","9.00","11.00","-","-","-","-","16.53"
"777","SNNP","Chana","March","2018","36.11775846","6.226550231","16.00","10.00","10.00","-","-","-","-","13.96"
"778","SNNP","Arbam- minch ","March","2018","37.5527474","6.024547891","15.00","-","14.00","-","-","-","-","18.52"
"779","SNNP","Sawla","March","2018","36.87437474","6.300226567","9.63","9.74","11.57","-","16.33","-","-","-"
"780","SNNP","Welayita","May","2018",NA,NA,"18.00","14.00","14.49","-","-","-","-","29.28"
"781","SNNP","Bodite","May","2018","37.89064905","7.038034865","15.49","15.00","14.00","-","-","-","-","16.67"
"782","SNNP","Jinka","May","2018","36.56441614","5.78310286","18.09","16.87","18.12","-","22.94","-","-","29.07"
"783","SNNP","Dimeka","May","2018","36.45041198","4.892522922","14.18","-","-","-","-","-","-","-"
"784","SNNP","Masha","May","2018","35.47956686","7.741652627","11.23","11.23","11.23","-","-","-","-","24.15"
"785","SNNP","Tepi","May","2018","35.36770327","7.320015599","15.00","13.00","-","-","-","-","-","27.60"
"786","SNNP","Boniga","May","2018","36.24008346","7.388535704","14.00","12.00","13.00","-","-","-","-","19.83"
"787","SNNP","Chana","May","2018","36.11775846","6.226550231","16.00","13.00","13.00","-","-","-","-","17.28"
"788","SNNP","Arbam- minch ","May","2018","37.5527474","6.024547891","17.00","-","15.00","-","-","-","-","18.52"
"789","SNNP","Sawla","May","2018","36.87437474","6.300226567","12.21","13.58","11.89","-","19.18","-","-","-"
"790","SNNP","Welayita","November","2017",NA,NA,"17.00","14.00","17.49","-","-","-","-","30.32"
"791","SNNP","Bodite","November","2017","37.89064905","7.038034865","17.49","15.49","18.00","18.00","-","-","-","17.92"
"792","SNNP","Jinka","November","2017","36.56441614","5.78310286","12.22","12.17","12.23","-","15.22","-","-","21.24"
"793","SNNP","Dimeka","November","2017","36.45041198","4.892522922","18.18","-","-","-","-","-","-","-"
"794","SNNP","Masha","November","2017","35.47956686","7.741652627","10.99","12.31","12.31","-","25.00","-","-","24.15"
"795","SNNP","Tepi","November","2017","35.36770327","7.320015599","18.00","11.00","14.00","-","-","-","-","26.67"
"796","SNNP","Boniga","November","2017","36.24008346","7.388535704","15.00","10.00","12.00","-","-","-","-","20.51"
"797","SNNP","Chana","November","2017","36.11775846","6.226550231","17.00","9.00","9.00","-","-","-","-","13.48"
"798","SNNP","Arbam- minch ","November","2017","37.5527474","6.024547891","15.00","-","15.00","-","-","-","-","16.05"
"799","SNNP","Sawla","November","2017","36.87437474","6.300226567","12.85","14.85","16.74","-","20.43","-","-","-"
"800","SNNP","Welayita","October","2017",NA,NA,"18.00","14.49","16.00","-","-","-","-","33.11"
"801","SNNP","Bodite","October","2017","37.89064905","7.038034865","15.00","13.00","14.00","-","-","-","-","17.61"
"802","SNNP","Jinka","October","2017","36.56441614","5.78310286","12.18","12.21","12.22","-","15.34","-","-","21.20"
"803","SNNP","Dimeka","October","2017","36.45041198","4.892522922","-","-","-","-","-","-","-","-"
"804","SNNP","Masha","October","2017","35.47956686","7.741652627","12.31","13.48","12.17","-","25.00","-","-","24.15"
"805","SNNP","Tepi","October","2017","35.36770327","7.320015599","17.00","10.00","12.00","-","-","30.00","40.00","26.67"
"806","SNNP","Boniga","October","2017","36.24008346","7.388535704","15.00","11.00","13.00","-","-","-","-","22.22"
"807","SNNP","Chana","October","2017","36.11775846","6.226550231","17.00","8.00","8.00","-","-","-","-","10.53"
"808","SNNP","Arbam- minch ","October","2017","37.5527474","6.024547891","14.00","-","13.00","-","-","-","-","18.52"
"809","SNNP","Sawla","October","2017","36.87437474","6.300226567","13.50","14.69","16.74","-","20.48","-","-","14.29"
"810","SNNP","Welayita","September","2017",NA,NA,"14.49","12.00","14.00","-","-","-","-","22.13"
"811","SNNP","Bodite","September","2017","37.89064905","7.038034865","14.00","13.00","13.00","-","-","-","-","22.73"
"812","SNNP","Jinka","September","2017","36.56441614","5.78310286","12.20","12.17","12.22","-","14.79","-","-","20.84"
"813","SNNP","Dimeka","September","2017","36.45041198","4.892522922","-","-","-","-","-","-","-","-"
"814","SNNP","Masha","September","2017","35.47956686","7.741652627","13.33","13.18","13.33","-","24.00","-","-","27.60"
"815","SNNP","Tepi","September","2017","35.36770327","7.320015599","17.00","12.00","14.00","-","-","25.00","-","26.67"
"816","SNNP","Boniga","September","2017","36.24008346","7.388535704","12.00","10.00","11.00","-","-","-","-","22.04"
"817","SNNP","Chana","September","2017","36.11775846","6.226550231","15.00","8.00","8.00","-","-","-","-","13.48"
"818","SNNP","Arbam- minch ","September","2017","37.5527474","6.024547891","12.00","-","12.00","-","-","-","-","16.05"
"819","SNNP","Sawla","September","2017","36.87437474","6.300226567","13.06","12.43","12.85","-","17.76","-","-","14.44"
"820","SNNP","Shewa- Bench ","April","2018",NA,NA,"15.00","12.00","15.00","-","-","-","-","24.40"
"821","SNNP","Mizan- Teferi ","April","2018","35.41120174","6.883477024","15.00","12.00","12.00","-","-","-","-","20.00"
"822","SNNP","Deri","April","2018","36.28577951","7.384839762","17.91","16.90","17.39","-","-","-","-","-"
